"NOME ASSOCIAZIONE","PROVINCIA","LOCALITÀ","INDIRIZZO","EMAIL","TELEFONO","SITO WEB","FACEBOOK","INSTAGRAM"
"Rifugio Snupi - Rocca di Papa","RM","Rocca di Papa (RM)","Via dei Corsi, 00040 Rocca di Papa","elisa.vasselli@yahoo.it","347 3460751 / 331 7183290","","",""
"Rifugio Francoise - Montelibretti","RM","Montelibretti (RM)","Montelibretti (RM)","datemiunazampa@libero.it","339 7755954 / 347 5879364","","",""
"Ass. Antonio Huete y Aranda - Santa Marinella","RM","Santa Marinella (RM)","Via Aurelia km. 48,900 Loc. Furbara, 00058 Santa Marinella","igorlaila@alice.it","339 4152000 / 334 7202064","","",""
"Dog Village - Scorano Capena","RM","Scorano Capena (RM)","Via delle Pesche 9, Scorano Capena (RM)","mi.elena@yahoo.it","333 8473936","","",""
"Arcipelago 2000 ONLUS","RM","Roma (RM)","Roma (RM)","","","https://www.arcipelago2000.it","",""
"LIPU Roma - Lega Italiana Protezione Uccelli","RM","Roma (RM)","Via Trevisani 35, Roma","roma@lipu.it","","https://www.lipu.it","",""
"WWF Lazio - Sezione Regionale","RM","Roma (RM)","Via Po 25/c, 00198 Roma","lazio@wwf.it","06 8558251","https://www.wwf.it","",""
"── PROVINCIA DI LATINA (LT) ──","","","","","","","",""
"ENPA Latina","LT","Latina (LT)","","latina@enpa.org","","https://www.enpa.org","",""
"Ass. Amici del Cane di Latina - Canile","LT","Latina (LT)","Via Congiunte dx, 04100 Latina","","","","https://www.facebook.com/CanileLatina",""
"Canile Pellini Rachele - Aprilia","LT","Aprilia (LT)","Via Torre del Padiglione 73, 04011 Aprilia","1961marcorubino@libero.it","06 9280822","","",""
"Canile Galileo Galilei - Latina","LT","Latina (LT)","Via Bassianese 36, 04100 Latina","","","","",""
"Ass. Oltre i Confini di Specie ODV","LT","Latina (LT)","Via Casella 1, 04100 Latina","","","https://www.oltreiconfinidispecie.it","",""
"Borgo Hermada - Terracina","LT","Terracina (LT)","Strada Migliara 57, 04019 Terracina","","347 4827380","","https://www.facebook.com/angelia4zampe",""
"OIPA - Sezione Latina","LT","Latina (LT)","","latina@oipa.org","","https://www.oipa.org/italia/delegazioni/latina/","",""
"LAV - Lega Anti Vivisezione, sportello Latina","LT","Latina (LT)","","latina@lav.it","","https://www.lav.it","",""
"── PROVINCIA DI FROSINONE (FR) ──","","","","","","","",""
"ENPA Frosinone","FR","Frosinone (FR)","","frosinone@enpa.org","","https://www.enpa.org","",""
"Canile Iafrate Mara - Arpino","FR","Arpino (FR)","Via Vagni 43, 03033 Arpino","anna.aclonlus@gmail.com","0776 218416 / 333 9321894","","",""
"Canile Recchia Maria Teresa - Arpino","FR","Arpino (FR)","Via Pallisco 6, 03033 Arpino","anna.aclonlus@gmail.com","0776 849506 / 348 2378100","","",""
"Rifugio LAPA - Cassino","FR","Cassino (FR)","Via Cimarosa 12, 03043 Cassino","megdambrosio@gmail.com","320 4418463 / 338 2834789","","",""
"Hotel Dog - Ceccano","FR","Ceccano (FR)","Via Gaeta 392, 03023 Ceccano","aclonlus2@gmail.com","333 8108746","","",""
"Rifugio Le Orme - Ferentino","FR","Ferentino (FR)","Ferentino (FR)","","339 4469690","https://www.rifugioleorme.altervista.org","",""
"A.N.P.A.N.A. Frosinone","FR","Frosinone (FR)","Via Cavour, 03100 Frosinone","frosinone@anpana.it","","https://www.anpana.it","",""
"OIPA - Sezione Frosinone","FR","Frosinone (FR)","","frosinone@oipa.org","","https://www.oipa.org/italia/delegazioni/frosinone/","",""
"LAV - Lega Anti Vivisezione, sportello Frosinone","FR","Frosinone (FR)","","frosinone@lav.it","","https://www.lav.it","",""
"── PROVINCIA DI RIETI (RI) ──","","","","","","","",""
"Canile Sanitario di Rieti","RI","Rieti (RI)","P.za del Mercato c/o ex Mattatoio Foro Boario, 02100 Rieti","","0746 201704","","",""
"ENPA Rieti","RI","Rieti (RI)","","rieti@enpa.org","","https://www.enpa.org","",""
"OIPA - Sezione Rieti","RI","Rieti (RI)","","rieti@oipa.org","","https://www.oipa.org/italia/delegazioni/rieti/","",""
"LAV - Lega Anti Vivisezione, sportello Rieti","RI","Rieti (RI)","","rieti@lav.it","","https://www.lav.it","",""
"── PROVINCIA DI VITERBO (VT) ──","","","","","","","",""
"Canile Comunale di Viterbo / Bagnaia - Ass. Animali Amici","VT","Bagnaia - Viterbo (VT)","Strada Novepani, Bagnaia, 01100 Viterbo","animaliamici@gmail.com","0761 288837 / 340 0667754","","",""
"Canile La Quercia Rossa - Viterbo","VT","Grotte Santo Stefano - Viterbo (VT)","Strada Grottana Km 2,400, Loc. S. Maria, Viterbo","laquerciarossa@gmail.com","0761 367656 / 349 3230088","","",""
"Canile Bartolomei - Viterbo","VT","Viterbo (VT)","Via San Quirico, Viterbo","lavocedelcane@yahoo.it","340 9644767 / 347 4374795","","",""
"Rifugio Gli Adorabili Bastardini - Villa San Giovanni in Tuscia","VT","Villa San Giovanni in Tuscia (VT)","Villa San Giovanni in Tuscia (VT)","","338 3239430 / 342 3250918","","",""
"Rifugio Valle Faul - Vetralla","VT","Vetralla (VT)","SS Aurelia Bis Km. 23,600, 01019 Vetralla","","335 5377187","","",""
"Ass. Garibaldi - L'Isola che c'è - Vetralla","VT","Cura di Vetralla (VT)","Via Cassia 2/c, Cura di Vetralla, 01019 Vetralla","associazione_garibaldi@yahoo.it","338 9383581","","",""
"ENPA Viterbo","VT","Viterbo (VT)","","viterbo@enpa.org","","https://www.enpa.org","",""
"OIPA - Sezione Viterbo","VT","Viterbo (VT)","","viterbo@oipa.org","","https://www.oipa.org/italia/delegazioni/viterbo/","",""
"LAV - Lega Anti Vivisezione, sportello Viterbo","VT","Viterbo (VT)","","viterbo@lav.it","","https://www.lav.it","",""
