COUNTRY,MAP COORDINATES,NAME,WEB PAGE,EMAIL,EMAIL 2,EMAIL 3,EMAIL 4,EMAIL 5,EMAIL 6,EMAIL 7,EMAIL 8,EMAIL 9,EMAIL 10,EMAIL 11,EMAIL 12,EMAIL 13,EMAIL 14,EMAIL 15
UK +44 ,"51.41639389077118, 0.07865376590483387","World Animal Protection - Chislehurst, Regno Unito",https://www.worldanimalprotection.org/,info@worldanimalprotection.org,,,,,,,,,,,,,,
UK +44 ,"-1.2545021471818356, 36.794958396842034","World Animal Protection - Nairobi, Kenya",https://www.worldanimalprotection.org/,africaenquiries@worldanimalprotection.org,,,,,,,,,,,,,,
UK +44 ,"-33.821019058195866, 151.1947853550857","World Animal Protection - NSW, Australia",https://www.worldanimalprotection.org/,info@worldanimalprotection.org.au,,,,,,,,,,,,,,
UK +44 ,"-23.56977407372379, -46.639626025114","World Animal Protection - SP, Brazil",https://www.worldanimalprotection.org/,contato@worldanimalprotection.org.br,,,,,,,,,,,,,,
UK +44 ,"43.707654503116444, -79.3959430766736","World Animal Protection - Toronto, Canada",https://www.worldanimalprotection.org/,info@worldanimalprotection.ca,,,,,,,,,,,,,,
UK +44 ,"39.94427729241931, 116.44502140115205","World Animal Protection - Beijing, China",https://www.worldanimalprotection.org/,info@worldanimalprotection.org.cn,,,,,,,,,,,,,,
UK +44 ,"55.678607542684524, 12.576890808765897","World Animal Protection - Copenaghen, Denmark",https://www.worldanimalprotection.org/,infola@worldanimalprotection.org,,,,,,,,,,,,,,
UK +44 ,,World Animal Protection - Denmark,https://www.worldanimalprotection.org/,info@worldanimalprotection.dk,,,,,,,,,,,,,,
UK +44 ,"28.566474571355002, 77.07437746205989","World Animal Protection - New Delhi, India",https://www.worldanimalprotection.org/,info@worldanimalprotection.org.in,,,,,,,,,,,,,,
UK +44 ,"52.085225233480394, 4.308915628460861","World Animal Protection - Den Haag, Holland",https://www.worldanimalprotection.org/,info@worldanimalprotection.nl,,,,,,,,,,,,,,
UK +44 ,,World Animal Protection - New Zeland,https://www.worldanimalprotection.org/,info@worldanimalprotection.org.nz,,,,,,,,,,,,,,
UK +44 ,,World Animal Protection - Sweden,https://www.worldanimalprotection.org/,info@worldanimalprotection.se,,,,,,,,,,,,,,
UK +44 ,,World Animal Protection - Thailand,https://www.worldanimalprotection.org/,info@worldanimalprotection.or.th,,,,,,,,,,,,,,
UK +44 ,,World Animal Protection - UK,https://www.worldanimalprotection.org/,pressofficer@worldanimalprotection.org.uk,,,,,,,,,,,,,,
UK +44 ,,World Animal Protection -US,https://www.worldanimalprotection.org/,info@worldanimalprotection.us,,,,,,,,,,,,,,
UK +44 ,"52.12235164271779, -0.2613772444822931",Royal Society for the Protection of Birds,https://rspb.org.uk/,membership@rspb.org.uk,,,,,,,,,,,,,,
UK +44 ,,African Conservation Foundation,https://africanconservation.org/,,,,,,,,,,,,,,,
UK +44 ,"50.72850007660706, -1.8329587099700788",Amphibian and Reptile Conservation Trust,https://www.arc-trust.org/,enquiries@arc-trust.org,,,,,,,,,,,,,,
UK +44 ,"51.52079251531156, -0.12205030747195407",Animal Free Research UK,https://www.animalfreeresearchuk.org/,hello@animalfreeresearchuk.org,,,,,,,,,,,,,,
UK +44 ,,The Aspinall Foundation,https://www.aspinallfoundation.org/,https://share.hsforms.com/1TyTesSqdQOKePCsODiTOSA1n2zx,,,,,,,,,,,,,,
UK +44 ,"52.37791165899927, -2.0555270736050675",Blue Cross (animal charity),https://www.bluecross.org.uk/,https://bluecrosseu.freshdesk.com/support/tickets/new,,,,,,,,,,,,,,
UK +44 ,"51.06352319248869, -0.32798541846277746",Born Free Foundation,https://www.bornfree.org.uk/,info@bornfree.org.uk,,,,,,,,,,,,,,
UK +44 ,"50.97411585388779, 0.0977426037212297",British Divers Marine Life Rescue,https://bdmlr.org.uk/,info@bdmlr.org.uk,,,,,,,,,,,,,,
UK +44 ,"50.96301670234111, -3.7150106445285167",British Hen Welfare Trust,https://www.bhwt.org.uk/,info@bhwt.co.uk,,,,,,,,,,,,,,
UK +44 ,"56.714940022117396, -2.4687680290336567",British Herpetological Society,https://www.thebhs.org/,info@thebhs.org,,,,,,,,,,,,,,
UK +44 ,"52.40634914564698, 0.7521792020656278",British Trust for Ornithology,https://www.bto.org/,info@bto.org,,,,,,,,,,,,,,
UK +44 ,"51.221076698903865, 0.551410518060403",Buttercups Sanctuary for Goats,https://www.buttercups.org.uk/,,,,,,,,,,,,,,,
UK +44 ,"51.05516347356753, 0.022857793253735097",Cats Protection,https://www.cats.org.uk/,https://www.cats.org.uk/find-us/contact-us,,,,,,,,,,,,,,
UK +44 ,"51.30646227963204, -0.34255744102709806",Uncaged Campaigns,http://www.uncaged.co.uk/,https://www.casj.org.uk/contact,,,,,,,,,,,,,,
UK +44 ,"50.19172954062115, -5.408425078195537",The Cinnamon Trust,https://cinnamon.org.uk/cinnamon-trust/,https://cinnamon.org.uk/contact-us/,,,,,,,,,,,,,,
UK +44 ,"51.185605419336106, -0.6187929438895975",Compassion in World Farming,https://www.ciwf.org.uk/,https://www.ciwf.org.uk/contact-us/,,,,,,,,,,,,,,
UK +44 ,"51.53032728706481, -0.10224368809521622",Dogs Trust,https://www.dogstrust.org.uk/#main-content,info@dogstrust.org.uk,,,,,,,,,,,,,,
UK +44 ,"51.58338078682, -0.6049498390246494",The Donkey Sanctuary,https://www.thedonkeysanctuary.org.uk/,https://www.thedonkeysanctuary.org.uk/contact,,,,,,,,,,,,,,
UK +44 ,"51.5139063147079, -0.22270371431690855",Elephant Family,https://elephant-family.org/,https://elephant-family.org/contact-us/,,,,,,,,,,,,,,
UK +44 ,"50.86384913345136, -3.0304020733682653",Ferne Animal Sanctuary,https://www.ferneanimalsanctuary.org/,info@ferneanimalsanctuary.org,,,,,,,,,,,,,,
UK +44 ,"53.481079014043466, -2.226142893196813",Freedom for Animals,https://www.freedomforanimals.org.uk/,office@freedomforanimals.org.uk,,,,,,,,,,,,,,
UK +44 ,"52.54046032728638, -0.31529162645081044",Froglife,https://www.froglife.org/,info@froglife.org,,,,,,,,,,,,,,
UK +44 ,"52.94981123170166, -1.1420571989405912",Fund for the Replacement of Animals in Medical Experiments,https://frame.org.uk/,hello@frame.org.uk,,,,,,,,,,,,,,
UK +44 ,"53.30656765769635, 0.099467698420004",Hedgehog Care,https://hedgehogcare.org.uk/,https://hedgehogcare.org.uk/contact/,,,,,,,,,,,,,,
UK +44 ,"52.70394773775026, 1.337208090499227",Hillside Animal Sanctuary,https://www.hillside.org.uk/,contact@hillside.org.uk,,,,,,,,,,,,,,
UK +44 ,"51.686822315531145, -0.7995115339002524",The Horse Trust,https://horsetrust.org.uk/,info@horsetrust.org.uk,,,,,,,,,,,,,,
UK +44 ,,How Many Elephants,https://howmanyelephants.org/,gulp@howmanyelephants.org,,,,,,,,,,,,,,
UK +44 ,"51.185843359516, -0.6330505399834078",Humanimal Trust,https://www.humanimaltrust.org.uk/,info@humanimaltrust.org.uk,,,,,,,,,,,,,,
UK +44 ,"50.97410501271062, 0.09771624592635524",International Animal Rescue,https://www.internationalanimalrescue.org/,info@internationalanimalrescue.org,info@internationalanimalrescue.org,info@internationalanimalrescue.org,,,,,,,,,,,,
UK +44 ,"51.1843319134307, -0.6166045276816255",League Against Cruel Sports,https://www.league.org.uk/,info@league.org.uk,,,,,,,,,,,,,,
UK +44 ,"53.367051171055735, -2.5209298934324536",Manchester and Cheshire Dogs' Home,https://dogshome.net/,https://dogshome.net/contact/,,,,,,,,,,,,,,
UK +44 ,"50.36541516867752, -4.4134722303045395",Monkey Sanctuary,https://www.monkeysanctuary.org/,info@wildfutures.org,,,,,,,,,,,,,,
UK +44 ,"51.65545985372154, -0.3458189010366675",National Animal Welfare Trust,https://www.nawt.org.uk/,https://www.nawt.org.uk/about/contact-us/,,,,,,,,,,,,,,
UK +44 ,"51.51987087778815, -0.15963885085245505",NoToDogMeat,https://notodogmeat.com/,info@notodogmeat.com,,,,,,,,,,,,,,
UK +44 ,"54.92271732441189, -1.4190679841293332",People's Dispensary for Sick Animals,https://www.pdsa.org.uk/,https://www.pdsa.org.uk/contact-us/contact-us,,,,,,,,,,,,,,
UK +44 ,"51.47746675256808, -0.14646751867806088",People's Trust for Endangered Species,https://ptes.org/,enquiries@ptes.org,,,,,,,,,,,,,,
UK +44 ,"50.90926714397711, 0.10353601007474919",Raystede,https://www.raystede.org/,info@raystede.org,,,,,,,,,,,,,,
UK +44 ,"52.52440605004708, 1.21964049285896",Redwings Horse Sanctuary,https://www.redwings.org.uk/,https://www.redwings.org.uk/contact-us,,,,,,,,,,,,,,
UK +44 ,"51.48835609942832, -1.4868410423607863",Retraining of Racehorses,https://ror.org.uk/,tvaughan@ror.org.uk,dcatlow@ror.org.uk,,,,,,,,,,,,,
UK +44 ,,Royal Society for the Prevention of Cruelty to Animals,https://www.rspca.org.uk/,https://www.rspca.org.uk/utilities/contactus/askus/online,,,,,,,,,,,,,,
UK +44 ,"50.971227076454056, -0.090757339083449",Safe Haven for Donkeys in the Holy Land,https://www.safehaven4donkeys.org/,info@safehaven4donkeys.org,,,,,,,,,,,,,,
UK +44 ,,Save the Elephants,https://www.savetheelephants.org/,info@savetheelephants.org,,,,,,,,,,,,,,
UK +44 ,"51.49883616624259, -0.08348644515984872",Save the Rhino,https://www.savetherhino.org/,info@savetherhino.org,,,,,,,,,,,,,,
UK +44 ,"56.08297620138367, -3.401368542786967",Scottish Society for Prevention of Cruelty to Animals,https://www.scottishspca.org/,https://www.scottishspca.org/contact-us,,,,,,,,,,,,,,
UK +44 ,"51.20593866531972, -2.9639143733547293",Secret World wildlife rescue,https://www.secretworld.org/,https://www.secretworld.org/contact-us,,,,,,,,,,,,,,
UK +44 ,,Shark Trust,https://www.sharktrust.org/,https://www.sharktrust.org/forms/general-enquiries,,,,,,,,,,,,,,
UK +44 ,"53.436023352445595, -2.309643454566002",Society for Abandoned Animals,https://www.saarescue.co.uk/,office@saarescue.co.uk,,,,,,,,,,,,,,
UK +44 ,"51.51392174440884, -0.10278073087637753",Society for the Protection of Animals Abroad,https://spana.org/,hello@spana.org,,,,,,,,,,,,,,
UK +44 ,,Sussex Ornithological Society,https://www.sos.org.uk/,secretary@sos.org.uk,membership@sos.org.uk,,,,,,,,,,,,,
UK +44 ,"51.39332913392776, -0.42999562731740965","Swan Sanctuary, Shepperton",https://www.theswansanctuary.org.uk/,https://www.theswansanctuary.org.uk/contact-us/,,,,,,,,,,,,,,
UK +44 ,"51.17355455194357, 0.08513701155199026",Last Chance Animal Rescue,https://www.lastchanceanimalrescue.co.uk/kennel/dog.php,https://www.lastchanceanimalrescue.co.uk/contact/index.php,,,,,,,,,,,,,,
UK +44 ,"50.9877355093323, 0.9368031240600786",Last Chance Animal Rescue 2,https://www.lastchanceanimalrescue.co.uk/kennel/dog.php,,,,,,,,,,,,,,,
UK +44 ,"53.43979196382, -1.2590258130154939",Thornberry Animal Sanctuary,https://www.thornberryanimalsanctuary.org/,info@thornberryanimalsanctuary.org,,,,,,,,,,,,,,
UK +44 ,"51.766270818853464, -0.9210802794631713",Tiggywinkles,https://www.sttiggywinkles.org.uk/,mail@tiggywinkles.org,,,,,,,,,,,,,,
UK +44 ,"54.1961619451479, -6.345910179961654",Ulster Society for the Prevention of Cruelty to Animals,https://www.uspca.co.uk/,enquiries@uspca.co.uk,,,,,,,,,,,,,,
UK +44 ,,Whale and Dolphin Conservation,https://uk.whales.org/,info@whales.org,,,,,,,,,,,,,,
UK +44 ,"51.30318642197388, -0.34577506914271094",Wildlife Aid Foundation,https://www.wildlifeaid.org.uk/,https://www.wildlifeaid.org.uk/contact-us,,,,,,,,,,,,,,
UK +44 ,,Willows Animal Sanctuary,https://www.willowsanimals.com/,kate@willowsanimals.com,info@willowsanimals.com,,,,,,,,,,,,,
UK +44 ,"52.29937831820098, -0.15054077746959263",Woodgreen Pets Charity,https://woodgreen.org.uk/,info@woodgreen.org.uk,,,,,,,,,,,,,,
UK +44 ,"51.37394129271204, -0.6457041946896017",Save Me,https://savemetrust.co.uk/,info@savemetrust.org,,,,,,,,,,,,,,
UK +44 ,"51.19409829682314, 0.27317601668145153",Animal Aid,https://www.animalaid.org.uk/,info@animalaid.org.uk,,,,,,,,,,,,,,
UK +44 ,"49.32100032142459, -123.09715321874732",Animal Defence and Anti-Vivisection Society,https://adavsociety.org/,info@adavsociety.org,,,,,,,,,,,,,,
UK +44 ,"52.19794001360841, 0.14115984123660652",Animal Rights Cambridge,https://animalrightscambridge.wordpress.com/,animalrightscambridge54@gmail.com,,,,,,,,,,,,,,
UK +44 ,"53.809661693110534, -1.5743153713456859",Anti-Vivisection Coalition,https://web.archive.org/web/20140225231857/http://www.stopvivisection.org.uk/,info@stopvivisection.org.uk,sophie.kennerley@stopvivisection.org.uk,,,,,,,,,,,,,
UK +44 ,,Badger Trust,https://www.badgertrust.org.uk/,https://www.badgertrust.org.uk/you,,,,,,,,,,,,,,
UK +44 ,"51.47731575627709, -0.14650293635823733",Bat Conservation Trust,https://www.bats.org.uk/,enquiries@bats.org.uk,,,,,,,,,,,,,,
UK +44 ,"51.306471259526724, -0.3425581767662633",Centre for Animals and Social Justice,https://www.casj.org.uk/,https://www.casj.org.uk/contact,,,,,,,,,,,,,,
UK +44 ,"51.51326093820828, -0.14110891143196258",Conservative Animal Welfare Foundation,https://www.conservativeanimalwelfarefoundation.org/,info@conservativeanimalwelfarefoundation.org,,,,,,,,,,,,,,
UK +44 ,"51.54646526021142, -0.10683335031569816",Cruelty Free International,https://crueltyfreeinternational.org/,info@CrueltyFreeInternational.org,,,,,,,,,,,,,,
UK +44 ,,Dogs Blog dot Com,https://www.dogsblog.com/,https://www.dogsblog.com/contact/,,,,,,,,,,,,,,
UK +44 ,,Hunt Saboteurs Association,https://www.huntsabs.org.uk/,https://www.huntsabs.org.uk/contact/,,,,,,,,,,,,,,
UK +44 ,"51.48607915562103, -0.11862635125235266",Lord Dowding Fund for Humane Research,https://www.ldf.org.uk/research/,https://www.ldf.org.uk/contact_us/?s=ldf,,,,,,,,,,,,,,
UK +44 ,"50.69763155292661, -2.21714593307329",Monkey World,https://monkeyworld.org/,apes@monkeyworld.org,,,,,,,,,,,,,,
UK +44 ,"51.486069331498584, -0.1186250957174467",National Anti-Vivisection Society,https://www.navs.org.uk/home/,https://www.navs.org.uk/contact_us/,,,,,,,,,,,,,,
UK +44 ,"55.95688700397698, -3.171011044423448",OneKind,https://www.onekind.org/,https://www.onekind.org/contact,,,,,,,,,,,,,,
UK +44 ,"51.46145405647182, -2.5883167540722374",Viva!,https://viva.org.uk/,https://viva.org.uk/about-us/contact-us/,,,,,,,,,,,,,,
UK +44 ,"51.36814350847924, -0.09944487881099497",Cat Action Trust,http://www.catactiontrust.org.uk/,info@catactiontrust.org.uk,,,,,,,,,,,,,,
UK +44 ,"51.516312402054474, -0.11157744810665797","RCVS Knowledge
Advancing veterinary care for the benefit of animals",https://www.rcvsknowledge.org/,info@rcvsknowledge.org,,,,,,,,,,,,,,
UK +44 ,"52.42721632605309, -1.7333079931275828",Birmingham Dogs' Home,https://www.birminghamdogshome.org.uk/,https://birminghamdogshome.org.uk/contact/,,,,,,,,,,,,,,
UK +44 ,"52.38712588372707, -1.9055536594124942",Wythall Animal Sanctuary,https://wythallanimalsanctuary.org/,info@wythallanimalsanctuary.org,,,,,,,,,,,,,,
UK +44 ,"50.41651579006908, -4.045333228420821",Woodside Animal Welfare Trust,http://www.woodsidesanctuary.org.uk/,management@woodsidesanctuary.org.uk,,,,,,,,,,,,,,
UK +44 ,"51.06227698134207, 0.33940059847638965",Celia Hammond Animal Trust,https://www.celiahammond.org/,info@celiahammond.org,,,,,,,,,,,,,,
UK +44 ,"51.05506799832443, 0.022840215177868967",Cats Protection (CP),http://www.cats.org.uk/,giftsinwills@cats.org.uk,Catrescuewestwales@gmail.com,,,,,,,,,,,,,
UK +44 ,"54.59942767832564, -1.0935961873706475",Saltburn Animal Rescue Association,http://www.s-a-r-a.org.uk/,sara.foxrushfarm@gmail.com,,,,,,,,,,,,,,
UK +44 ,"53.81094581093909, -2.1753387674184337",Horses and Ponies Protection Association (HAPPA),https://www.happa.org.uk/,enquiries@happa.org.uk,,,,,,,,,,,,,,
UK +44 ,"54.86404479379964, -2.8380720732054128",Oak Tree Animals' Charity,https://www.oaktreeanimals.org.uk/,info@oaktreeanimals.org.uk,,,,,,,,,,,,,,
UK +44 ,"55.976157569110235, -3.183789555946635",Canine Concern Scotland Trust,https://www.canineconcernscotland.org.uk/,info@canineconcernscotland.org.uk,,,,,,,,,,,,,,
UK +44 ,"51.506791288061066, -0.144840984371902",The Kennel Club Charitable Trust,http://www.kennelclubcharitabletrust.org/,fundraising@kennelclubcharitabletrust.org,,,,,,,,,,,,,,
UK +44 ,,Cats Protection,https://www.cats.org.uk/bridgwater,dominic.sullivan@cats.org.uk,,,,,,,,,,,,,,
UK +44 ,"57.1225924536916, -2.171962750807952",Scottish Greyhound Sanctuary,https://www.scottishgreyhoundsanctuary.org/,scottishgreyhoundsanctuary@gmail.com,,,,,,,,,,,,,,
UK +44 ,,ROSINA ANIMAL CENTRE,https://rosinaanimalcentre.weebly.com/,https://rosinaanimalcentre.weebly.com/contact-us-07950023286.html,,,,,,,,,,,,,,
UK +44 ,,First For Dogs Foundation,http://www.firstfordogs.org/,admin@firstfordogs.org,,,,,,,,,,,,,,
UK +44 ,"53.3400861430646, -2.8080835029620728",Shetland Rescue,https://shetlandrescue.org.uk/,ShetlandRescue1984@yahoo.com,,,,,,,,,,,,,,
UK +44 ,,The Edward Foundation,https://www.theedwardfoundation.co.uk/,https://www.theedwardfoundation.co.uk/contact-us,,,,,,,,,,,,,,
UK +44 ,,Harvey's Army,http://www.harveysarmy.com/,info@harveysarmy.com,,,,,,,,,,,,,,
UK +44 ,"51.511751574695886, -0.1122626351505848",The Bulldog Trust Limited,https://www.bulldogtrust.org/,info@bulldogtrust.org,,,,,,,,,,,,,,
UK +44 ,"52.738896110047335, -1.569611009110419",St Francis Hospice For Cats,https://www.sfhfc.org.uk/,cathospice@sky.com,,,,,,,,,,,,,,
UK +44 ,"51.14568469342507, 1.068987361596263",The Rhodes Minnis Cat Sanctuary,https://www.rhodesminniscatsanctuary.com/,rminniscats@gmail.com,,,,,,,,,,,,,,
UK +44 ,"50.78605404490332, -0.7852973956348851",The Cat and Rabbit Rescue Centre,https://crrc.co.uk/,info@crrc.co.uk,,,,,,,,,,,,,,
UK +44 ,"52.66483857195981, -2.7725836922051514",Shropshire Cat Rescue,https://www.shropshirecatrescue.org.uk/,info@shropshirecatrescue.org.uk,,,,,,,,,,,,,,
UK +44 ,"53.515822339661504, -2.4414266104004616",Prevent Unwanted Pets,https://www.preventunwantedpets.co.uk/,alison@preventunwantedpets.co.uk,,,,,,,,,,,,,,
UK +44 ,"51.587033389344946, -3.33603225813944",The Fforest Uchaf Horse and Pony Rehabilitation Centre Charitable Trust,https://www.pitponies.co.uk/,info@pitponies.co.uk,,,,,,,,,,,,,,
UK +44 ,"50.90827261920598, 0.38250053040442933",Brownbread Horse Rescue,https://brownbreadhorserescue.org/,bbhrescue@gmail.com,,,,,,,,,,,,,,
UK +44 ,"53.84987898972252, -3.0520690283172627",Easterleigh Animal Sanctuary,https://www.easterleigh.org.uk/,easterleighanimalcharity@gmail.com,,,,,,,,,,,,,,
UK +44 ,"52.19560326140868, 0.7606531257405912",Bury's Stray Cat Fund,https://www.burystraycatfund.co.uk/,info@burystraycatfund.co.uk,,,,,,,,,,,,,,
UK +44 ,"53.23955966364162, -0.5430606764637155",Lincolnshire Greyhound Trust,https://www.lincolnshiregreyhoundtrust.co.uk/,kev@lincolnshiregreyhoundtrust.com,,,,,,,,,,,,,,
UK +44 ,,Cats Protection - Tamworth & Atherstones Branch,https://www.tamcats.co.uk/,tamcats@talktalk.net,,,,,,,,,,,,,,
UK +44 ,,Cat Protection and Rescue,,cpr@longfram.net,,,,,,,,,,,,,,
UK +44 ,,Pet Fostering Service Scotland,https://www.pfss.org.uk/,fosterenquiry@pfss.org.uk,east@pfss.org.uk,west@pfss.org.uk,north@pfss.org.uk,southwest@pfss.org.uk,,,,,,,,,,
UK +44 ,,7th Heaven Animal Rescue Trust,http://www.7thheaven.org.uk/,animalrescuetrust@hotmail.com,,,,,,,,,,,,,,
UK +44 ,"51.5969718881843, -3.0659835109404874",Greyhound Welfare and Rescue,https://www.greyhoundsinwales.moonfruit.co.uk/,greyhoundwelfarewales@gmail.com,,,,,,,,,,,,,,
UK +44 ,,"Cats Protection - Crawley, Reigate & District",,enquiries@catsprotection.co.uk,,,,,,,,,,,,,,
UK +44 ,,The People's Dispensary For Sick Animals,https://www.pdsa.org.uk/,knee.simon@pdsa.org.uk,,,,,,,,,,,,,,
UK +44 ,"51.5190559731216, -0.14611336624204896",British Veterinary Association Animal Welfare Foundation,https://www.animalwelfarefoundation.org.uk/,enquiries@animalwelfarefoundation.org.uk,,,,,,,,,,,,,,
UK +44 ,,Cat Lovers Animal Welfare Society,https://www.c-l-a-w-s.org.uk/,info@c-l-a-w-s.org.uk,,,,,,,,,,,,,,
UK +44 ,"50.95454409580135, 0.3622838471496249",Catastrophies Cat Rescue,https://www.catastrophescat.org/,alan@internationalanimalrescue.org,,,,,,,,,,,,,,
UK +44 ,"51.713729667467845, -0.21010519197611513",Animal Care Trust,https://www.rvc.ac.uk/act,act@rvc.ac.uk,,,,,,,,,,,,,,
UK +44 ,,Blue Cross,https://www.bluecross.org.uk/,info@bluecross.org.uk,,,,,,,,,,,,,,
UK +44 ,"55.96428611180403, -3.129515954396662",Edinburgh Dog and Cat Home,https://www.edch.org.uk/,https://edch.org.uk/contact-us/,,,,,,,,,,,,,,
UK +44 ,"52.51076959016524, -0.7218826585304758",The Shire Horse Society,https://www.shire-horse.org.uk/,info@shire-horse.org.uk,,,,,,,,,,,,,,
UK +44 ,,The British Thoroughbred Retraining Centre,https://www.thetrc.co.uk/,enquiries@thetrc.co.uk,,,,,,,,,,,,,,
UK +44 ,"53.360743147293725, -1.5580874182683409",The Mill House Animal Sanctuary,https://www.millhouseanimalsanctuary.co.uk/,shelter@millhouseanimalsanctuary.co.uk,,,,,,,,,,,,,,
UK +44 ,"51.60697281226416, 0.22298091696909617",Royal Society For The Prevention of Cruelty To Animals,http://www.rspca.org.uk/local/essex-havering-and-harold-hill-branch/,info@rspca-essexhavering.org,,,,,,,,,,,,,,
UK +44 ,"52.20363349915732, -3.0286447336260593",Rabbit Welfare Fund,https://www.rabbitwelfare.co.uk/,info@rabbitwelfare.co.uk,,,,,,,,,,,,,,
UK +44 ,"51.97311245512083, -0.5210232184627751",Stray Cat Rescue,http://www.straycatrescue.org.uk/,leona@leonabrown.co.uk,,,,,,,,,,,,,,
UK +44 ,"50.8479811304318, -1.7896099816458462",Marmaris Cat Welfare Trust,https://www.facebook.com/profile.php?id=100069203284039,canim682@hotmail.co.uk,,,,,,,,,,,,,,
UK +44 ,"53.09245408755595, 0.15820430013244563",Fen Bank Greyhound Sanctuary,https://www.fenbankgreyhounds.co.uk/,info@fenbankgreyhounds.co.uk,,,,,,,,,,,,,,
UK +44 ,"51.105351761468675, -0.8792127014632428",Happycats Rescue,https://www.happycatsrescue.co.uk/,enquiries@happycatsrescue.co.uk,,,,,,,,,,,,,,
UK +44 ,"51.85039611085924, -0.5017849019684978",Central Bedfordshire Canine Trust,https://www.centralbedfordshirecaninetrust.com/,info@centralbedfordshirecaninetrust.com,,,,,,,,,,,,,,
UK +44 ,"53.39179628578103, -2.7390846142662677",Cats In Need Menorca,https://catsinneedmenorca.org/,catsinneed1999@aol.com,,,,,,,,,,,,,,
UK +44 ,"53.35515723372362, -1.503553058632665",8 Lives Cat Rescue,http://www.8livescatrescue.org/,eightlives@outlook.com,,,,,,,,,,,,,,
UK +44 ,"51.19654283992189, 0.275302481515551",Kent Horse Rescue,https://www.kenthorserescue.org/,https://www.kenthorserescue.org/contact-khr/,,,,,,,,,,,,,,
UK +44 ,,Stronger Together Animal Rescue,https://www.staradopt.org/,hello@staradopt.org,,,,,,,,,,,,,,
UK +44 ,"53.3760236089658, -1.4851151429397753",The Sheffield Cats Shelter,https://www.thesheffieldcatsshelter.org/,INFO@THESHEFFIELDCATSSHELTER.ORG.UK,,,,,,,,,,,,,,
UK +44 ,,Galgos Del Sol UK,https://www.galgosdelsol.org/,galgosdelsoluk@gmail.com,,,,,,,,,,,,,,
UK +44 ,"50.47284849875513, -4.728834027952818",Bodmin Moorland Pony Rehabilitation,https://www.bodminmoorlandpony.org/,bmpr@outlook.com,,,,,,,,,,,,,,
UK +44 ,,Durham District Retired Greyhounds,https://www.durhamretiredgreyhounds.co.uk/,durhamhollinhall@gmail.com,,,,,,,,,,,,,,
UK +44 ,"50.87487052668409, -1.2440142710279234",The Cat Welfare Group Ltd,https://thecatwelfaregroup.org/what-we-do,Contact@TheCatWelfareGroup.org,,,,,,,,,,,,,,
UK +44 ,"51.363924828874644, 0.5104725096371069",Wisteria Cat Rescue,https://wisteriacatrescue.org/,billy@wisteriacatrescue.org,,,,,,,,,,,,,,
UK +44 ,"50.86503841352645, 0.5522294990788634",Hastings Cat Lovers (hcl),https://www.hastingscatlovers.co.uk/,info.hastingscatlovers@gmail.com,,,,,,,,,,,,,,
UK +44 ,"53.274860839493996, -2.7668225261725548",Chorlton Cats Charity,https://www.chorltoncats.org/,colette@chorltoncats.org,,,,,,,,,,,,,,
UK +44 ,"54.04656974465919, -2.888494911185181",Lancaster and Morecambe Cat Rescue,https://www.lancasterandmorecambecatrescue.com/,lancasterandmorecambecatrescue@hotmail.com,,,,,,,,,,,,,,
