,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,NAME,WEB PAGE,EMAIL,,,,,,,,,,,,,,
,Compassion in World Farming,https://www.ciwf.org.uk/,https://www.ciwf.org.uk/contact-us/,,,,,,,,,,,,,,
,Dogs Trust,https://www.dogstrust.org.uk/#main-content,info@dogstrust.org.uk,,,,,,,,,,,,,,
,The Donkey Sanctuary,https://www.thedonkeysanctuary.org.uk/,https://www.thedonkeysanctuary.org.uk/contact,,,,,,,,,,,,,,
,Elephant Family,https://elephant-family.org/,https://elephant-family.org/contact-us/,,,,,,,,,,,,,,
,Ferne Animal Sanctuary,https://www.ferneanimalsanctuary.org/,info@ferneanimalsanctuary.org,,,,,,,,,,,,,,
,Freedom for Animals,https://www.freedomforanimals.org.uk/,office@freedomforanimals.org.uk ,,,,,,,,,,,,,,
,Froglife,https://www.froglife.org/,info@froglife.org,,,,,,,,,,,,,,
,Fund for the Replacement of Animals in Medical Experiments,https://frame.org.uk/,hello@frame.org.uk,,,,,,,,,,,,,,
,Hedgehog Care,https://hedgehogcare.org.uk/,https://hedgehogcare.org.uk/contact/,,,,,,,,,,,,,,
,Hillside Animal Sanctuary,https://www.hillside.org.uk/,contact@hillside.org.uk,,,,,,,,,,,,,,
,The Horse Trust,https://horsetrust.org.uk/,info@horsetrust.org.uk,,,,,,,,,,,,,,
,How Many Elephants,https://howmanyelephants.org/,gulp@howmanyelephants.org ,,,,,,,,,,,,,,
,Humanimal Trust,https://www.humanimaltrust.org.uk/,info@humanimaltrust.org.uk  ,,,,,,,,,,,,,,
,International Animal Rescue,https://www.internationalanimalrescue.org/,info@internationalanimalrescue.org,info@internationalanimalrescue.org,info@internationalanimalrescue.org,,,,,,,,,,,,
,League Against Cruel Sports,https://www.league.org.uk/,info@league.org.uk,,,,,,,,,,,,,,
,Manchester and Cheshire Dogs' Home,https://dogshome.net/,https://dogshome.net/contact/,,,,,,,,,,,,,,
,Monkey Sanctuary,https://www.monkeysanctuary.org/,info@wildfutures.org,,,,,,,,,,,,,,
,National Animal Welfare Trust,https://www.nawt.org.uk/,https://www.nawt.org.uk/about/contact-us/,,,,,,,,,,,,,,
,NoToDogMeat,https://notodogmeat.com/,info@notodogmeat.com,,,,,,,,,,,,,,
,People's Dispensary for Sick Animals,https://www.pdsa.org.uk/,https://www.pdsa.org.uk/contact-us/contact-us,,,,,,,,,,,,,,
,People's Trust for Endangered Species,https://ptes.org/,enquiries@ptes.org,,,,,,,,,,,,,,
,Raystede,https://www.raystede.org/,info@raystede.org ,,,,,,,,,,,,,,
,Redwings Horse Sanctuary,https://www.redwings.org.uk/,https://www.redwings.org.uk/contact-us,,,,,,,,,,,,,,
,Retraining of Racehorses,https://ror.org.uk/,tvaughan@ror.org.uk,dcatlow@ror.org.uk,,,,,,,,,,,,,
,Royal Society for the Prevention of Cruelty to Animals,https://www.rspca.org.uk/,https://www.rspca.org.uk/utilities/contactus/askus/online,,,,,,,,,,,,,,
,Safe Haven for Donkeys in the Holy Land,https://www.safehaven4donkeys.org/,info@safehaven4donkeys.org,,,,,,,,,,,,,,
,Save the Elephants,https://www.savetheelephants.org/,info@savetheelephants.org,,,,,,,,,,,,,,
,Save the Rhino,https://www.savetherhino.org/,info@savetherhino.org,,,,,,,,,,,,,,
,Scottish Society for Prevention of Cruelty to Animals,https://www.scottishspca.org/,https://www.scottishspca.org/contact-us,,,,,,,,,,,,,,
,Secret World wildlife rescue,https://www.secretworld.org/,https://www.secretworld.org/contact-us,,,,,,,,,,,,,,
,Shark Trust,https://www.sharktrust.org/,https://www.sharktrust.org/forms/general-enquiries,,,,,,,,,,,,,,
,Society for Abandoned Animals,https://www.saarescue.co.uk/,office@saarescue.co.uk,,,,,,,,,,,,,,
,Society for the Protection of Animals Abroad,https://spana.org/,hello@spana.org,,,,,,,,,,,,,,
,Sussex Ornithological Society,https://www.sos.org.uk/,secretary@sos.org.uk,membership@sos.org.uk,,,,,,,,,,,,,
,"Swan Sanctuary, Shepperton",https://www.theswansanctuary.org.uk/,https://www.theswansanctuary.org.uk/contact-us/,,,,,,,,,,,,,,
,Last Chance Animal Rescue,https://www.lastchanceanimalrescue.co.uk/kennel/dog.php,https://www.lastchanceanimalrescue.co.uk/contact/index.php,,,,,,,,,,,,,,
,Thornberry Animal Sanctuary,https://www.thornberryanimalsanctuary.org/,info@thornberryanimalsanctuary.org ,,,,,,,,,,,,,,
,Tiggywinkles,https://www.sttiggywinkles.org.uk/,mail@tiggywinkles.org,,,,,,,,,,,,,,
,Ulster Society for the Prevention of Cruelty to Animals,https://www.uspca.co.uk/,enquiries@uspca.co.uk ,,,,,,,,,,,,,,
,Whale and Dolphin Conservation,https://uk.whales.org/,info@whales.org,,,,,,,,,,,,,,
,Wildlife Aid Foundation,https://www.wildlifeaid.org.uk/,https://www.wildlifeaid.org.uk/contact-us,,,,,,,,,,,,,,
,Willows Animal Sanctuary,https://www.willowsanimals.com/,kate@willowsanimals.com,info@willowsanimals.com,,,,,,,,,,,,,
,Woodgreen Pets Charity,https://woodgreen.org.uk/,info@woodgreen.org.uk,,,,,,,,,,,,,,
,Save Me,https://savemetrust.co.uk/,info@savemetrust.org,,,,,,,,,,,,,,
,Animal Aid,https://www.animalaid.org.uk/,info@animalaid.org.uk,,,,,,,,,,,,,,
,Animal Defence and Anti-Vivisection Society,https://adavsociety.org/,info@adavsociety.org ,,,,,,,,,,,,,,
,Animal Rights Cambridge,https://animalrightscambridge.wordpress.com/,animalrightscambridge54@gmail.com,,,,,,,,,,,,,,
,Anti-Vivisection Coalition,https://web.archive.org/web/20140225231857/http://www.stopvivisection.org.uk/,info@stopvivisection.org.uk,sophie.kennerley@stopvivisection.org.uk,,,,,,,,,,,,,
,Badger Trust,https://www.badgertrust.org.uk/,https://www.badgertrust.org.uk/you,,,,,,,,,,,,,,
,Bat Conservation Trust,https://www.bats.org.uk/,enquiries@bats.org.uk,,,,,,,,,,,,,,
,Centre for Animals and Social Justice,https://www.casj.org.uk/,https://www.casj.org.uk/contact,,,,,,,,,,,,,,
,Conservative Animal Welfare Foundation,https://www.conservativeanimalwelfarefoundation.org/,info@conservativeanimalwelfarefoundation.org,,,,,,,,,,,,,,
,Cruelty Free International,https://crueltyfreeinternational.org/,info@CrueltyFreeInternational.org,,,,,,,,,,,,,,
,DogsBlog.com,https://www.dogsblog.com/,https://www.dogsblog.com/contact/,,,,,,,,,,,,,,
,Hunt Saboteurs Association,https://www.huntsabs.org.uk/,https://www.huntsabs.org.uk/contact/,,,,,,,,,,,,,,
,Lord Dowding Fund for Humane Research,https://www.ldf.org.uk/research/,https://www.ldf.org.uk/contact_us/?s=ldf,,,,,,,,,,,,,,
,Monkey World,https://monkeyworld.org/,apes@monkeyworld.org,,,,,,,,,,,,,,
,National Anti-Vivisection Society,https://www.navs.org.uk/home/,https://www.navs.org.uk/contact_us/,,,,,,,,,,,,,,
,OneKind,https://www.onekind.org/,https://www.onekind.org/contact,,,,,,,,,,,,,,
,Viva!,https://viva.org.uk/,https://viva.org.uk/about-us/contact-us/,,,,,,,,,,,,,,
,Cat Action Trust ,http://www.catactiontrust.org.uk/,info@catactiontrust.org.uk,,,,,,,,,,,,,,
," RCVS Knowledge
Advancing veterinary care for the benefit of animals ",https://www.rcvsknowledge.org/,info@rcvsknowledge.org,,,,,,,,,,,,,,
,Birmingham Dogs' Home,https://www.birminghamdogshome.org.uk/,https://birminghamdogshome.org.uk/contact/,,,,,,,,,,,,,,
,Wythall Animal Sanctuary,https://wythallanimalsanctuary.org/,info@wythallanimalsanctuary.org,,,,,,,,,,,,,,
,Woodside Animal Welfare Trust,http://www.woodsidesanctuary.org.uk/,management@woodsidesanctuary.org.uk,,,,,,,,,,,,,,
,Celia Hammond Animal Trust,https://www.celiahammond.org/,info@celiahammond.org,,,,,,,,,,,,,,
,Cats Protection (CP),http://www.cats.org.uk/,giftsinwills@cats.org.uk,Catrescuewestwales@gmail.com,,,,,,,,,,,,,
,Saltburn Animal Rescue Association,http://www.s-a-r-a.org.uk/,sara.foxrushfarm@gmail.com,,,,,,,,,,,,,,
,Horses and Ponies Protection Association (HAPPA),https://www.happa.org.uk/,enquiries@happa.org.uk,,,,,,,,,,,,,,
,Oak Tree Animals' Charity,https://www.oaktreeanimals.org.uk/,info@oaktreeanimals.org.uk,,,,,,,,,,,,,,
,Canine Concern Scotland Trust,https://www.canineconcernscotland.org.uk/,info@canineconcernscotland.org.uk,,,,,,,,,,,,,,
,The Kennel Club Charitable Trust,http://www.kennelclubcharitabletrust.org/,fundraising@kennelclubcharitabletrust.org,,,,,,,,,,,,,,
,Cats Protection,https://www.cats.org.uk/bridgwater,dominic.sullivan@cats.org.uk,,,,,,,,,,,,,,
,Scottish Greyhound Sanctuary,https://www.scottishgreyhoundsanctuary.org/,scottishgreyhoundsanctuary@gmail.com,,,,,,,,,,,,,,
,ROSINA ANIMAL CENTRE,https://rosinaanimalcentre.weebly.com/,https://rosinaanimalcentre.weebly.com/contact-us-07950023286.html,,,,,,,,,,,,,,
,First For Dogs Foundation,http://www.firstfordogs.org/,admin@firstfordogs.org,,,,,,,,,,,,,,
,Shetland Rescue,https://shetlandrescue.org.uk/,ShetlandRescue1984@yahoo.com,,,,,,,,,,,,,,
,The Edward Foundation,https://www.theedwardfoundation.co.uk/,https://www.theedwardfoundation.co.uk/contact-us,,,,,,,,,,,,,,
,Harvey's Army,http://www.harveysarmy.com/,info@harveysarmy.com ,,,,,,,,,,,,,,
,The Bulldog Trust Limited,https://www.bulldogtrust.org/,info@bulldogtrust.org,,,,,,,,,,,,,,
,St Francis Hospice For Cats,https://www.sfhfc.org.uk/,cathospice@sky.com,,,,,,,,,,,,,,
,The Rhodes Minnis Cat Sanctuary,https://www.rhodesminniscatsanctuary.com/,rminniscats@gmail.com,,,,,,,,,,,,,,
,The Cat and Rabbit Rescue Centre,https://crrc.co.uk/,info@crrc.co.uk,,,,,,,,,,,,,,
,Shropshire Cat Rescue,https://www.shropshirecatrescue.org.uk/,info@shropshirecatrescue.org.uk,,,,,,,,,,,,,,
,Prevent Unwanted Pets,https://www.preventunwantedpets.co.uk/,alison@preventunwantedpets.co.uk,,,,,,,,,,,,,,
,The Fforest Uchaf Horse and Pony Rehabilitation Centre Charitable Trust,https://www.pitponies.co.uk/,info@pitponies.co.uk,,,,,,,,,,,,,,
,Brownbread Horse Rescue ,https://brownbreadhorserescue.org/,bbhrescue@gmail.com,,,,,,,,,,,,,,
,Easterleigh Animal Sanctuary,https://www.easterleigh.org.uk/,easterleighanimalcharity@gmail.com,,,,,,,,,,,,,,
,Bury's Stray Cat Fund,https://www.burystraycatfund.co.uk/,info@burystraycatfund.co.uk,,,,,,,,,,,,,,
,Lincolnshire Greyhound Trust,https://www.lincolnshiregreyhoundtrust.co.uk/,kev@lincolnshiregreyhoundtrust.com,,,,,,,,,,,,,,
,Cats Protection - Tamworth & Atherstones Branch,https://www.tamcats.co.uk/,tamcats@talktalk.net,,,,,,,,,,,,,,
,Cat Protection and Rescue,,cpr@longfram.net,,,,,,,,,,,,,,
,Pet Fostering Service Scotland,https://www.pfss.org.uk/,fosterenquiry@pfss.org.uk,east@pfss.org.uk,west@pfss.org.uk,north@pfss.org.uk,southwest@pfss.org.uk,,,,,,,,,,
,7th Heaven Animal Rescue Trust,http://www.7thheaven.org.uk/,animalrescuetrust@hotmail.com,,,,,,,,,,,,,,
,Greyhound Welfare and Rescue,https://www.greyhoundsinwales.moonfruit.co.uk/,greyhoundwelfarewales@gmail.com,,,,,,,,,,,,,,
,"Cats Protection - Crawley, Reigate & District",,enquiries@catsprotection.co.uk,,,,,,,,,,,,,,
,The People's Dispensary For Sick Animals,https://www.pdsa.org.uk/,knee.simon@pdsa.org.uk,,,,,,,,,,,,,,
,British Veterinary Association Animal Welfare Foundation,https://www.animalwelfarefoundation.org.uk/,enquiries@animalwelfarefoundation.org.uk,,,,,,,,,,,,,,
,Cat Lovers Animal Welfare Society,https://www.c-l-a-w-s.org.uk/,info@c-l-a-w-s.org.uk,,,,,,,,,,,,,,
,Catastrophies Cat Rescue,https://www.catastrophescat.org/,alan@internationalanimalrescue.org,,,,,,,,,,,,,,
,Animal Care Trust,https://www.rvc.ac.uk/act,act@rvc.ac.uk,,,,,,,,,,,,,,
,Blue Cross,https://www.bluecross.org.uk/,info@bluecross.org.uk,,,,,,,,,,,,,,
,Edinburgh Dog and Cat Home,https://www.edch.org.uk/,https://edch.org.uk/contact-us/,,,,,,,,,,,,,,
,The Shire Horse Society,https://www.shire-horse.org.uk/,info@shire-horse.org.uk,,,,,,,,,,,,,,
,The British Thoroughbred Retraining Centre,https://www.thetrc.co.uk/,enquiries@thetrc.co.uk,,,,,,,,,,,,,,
,The Mill House Animal Sanctuary,https://www.millhouseanimalsanctuary.co.uk/,shelter@millhouseanimalsanctuary.co.uk,,,,,,,,,,,,,,
,Royal Society For The Prevention of Cruelty To Animals,http://www.rspca.org.uk/local/essex-havering-and-harold-hill-branch/,info@rspca-essexhavering.org,,,,,,,,,,,,,,
,Rabbit Welfare Fund,https://www.rabbitwelfare.co.uk/,info@rabbitwelfare.co.uk,,,,,,,,,,,,,,
,Stray Cat Rescue,http://www.straycatrescue.org.uk/,leona@leonabrown.co.uk,,,,,,,,,,,,,,
,Marmaris Cat Welfare Trust,https://www.facebook.com/profile.php?id=100069203284039,canim682@hotmail.co.uk,,,,,,,,,,,,,,
,Fen Bank Greyhound Sanctuary,https://www.fenbankgreyhounds.co.uk/,info@fenbankgreyhounds.co.uk,,,,,,,,,,,,,,
,Happycats Rescue,https://www.happycatsrescue.co.uk/,enquiries@happycatsrescue.co.uk,,,,,,,,,,,,,,
,Central Bedfordshire Canine Trust,https://www.centralbedfordshirecaninetrust.com/,info@centralbedfordshirecaninetrust.com,,,,,,,,,,,,,,
,The Emile Faurie Foundation,https://www.emilefauriefoundation.org.uk/,emilefaurie@hotmail.co.uk,,,,,,,,,,,,,,
,Cats In Need Menorca,https://catsinneedmenorca.org/,catsinneed1999@aol.com,,,,,,,,,,,,,,
,8 Lives Cat Rescue,http://www.8livescatrescue.org/,eightlives@outlook.com,,,,,,,,,,,,,,
,Kent Horse Rescue,https://www.kenthorserescue.org/,https://www.kenthorserescue.org/contact-khr/,,,,,,,,,,,,,,
,Stronger Together Animal Rescue,https://www.staradopt.org/,hello@staradopt.org,,,,,,,,,,,,,,
,The Sheffield Cats Shelter,https://www.thesheffieldcatsshelter.org/,INFO@THESHEFFIELDCATSSHELTER.ORG.UK,,,,,,,,,,,,,,
,Galgos Del Sol UK,https://www.galgosdelsol.org/,galgosdelsoluk@gmail.com,,,,,,,,,,,,,,
,Bodmin Moorland Pony Rehabilitation,https://www.bodminmoorlandpony.org/,bmpr@outlook.com,,,,,,,,,,,,,,
,Durham District Retired Greyhounds,https://www.durhamretiredgreyhounds.co.uk/,durhamhollinhall@gmail.com,,,,,,,,,,,,,,
,The Cat Welfare Group Ltd,https://thecatwelfaregroup.org/what-we-do,Contact@TheCatWelfareGroup.org,,,,,,,,,,,,,,
,Wisteria Cat Rescue,https://wisteriacatrescue.org/,billy@wisteriacatrescue.org,,,,,,,,,,,,,,
,Hastings Cat Lovers (hcl),https://www.hastingscatlovers.co.uk/,info.hastingscatlovers@gmail.com,,,,,,,,,,,,,,
,Chorlton Cats Charity,https://www.chorltoncats.org/,colette@chorltoncats.org,,,,,,,,,,,,,,
,Lancaster and Morecambe Cat Rescue,https://www.lancasterandmorecambecatrescue.com/,lancasterandmorecambecatrescue@hotmail.com,,,,,,,,,,,,,,
,Feline Friends Limited,https://www.felinefriendscharity.co.uk/,felinefriendscharity@gmail.com,,,,,,,,,,,,,,
,Cat Squad South East,https://catsquad.org/,CATSQUADESSEX@ICLOUD.COM,,,,,,,,,,,,,,
,Portsmouth Cats Lost Found & Rehomed,http://www.portsmouthcatslostfoundandrehomed.co.uk/,portsmouthcats@hotmail.com,,,,,,,,,,,,,,
,A Purrfect Friend,https://purrfectfriendcatrescue.org/,apurrfectfriend@gmail.com,,,,,,,,,,,,,,
,Hampshire Spirit Horse Rescue,https://www.hampshirespirithorserescue.co.uk/,hampshirespirithorserescue@outlook.com,,,,,,,,,,,,,,
,Ceredigion Cat Rescue,,ceredigioncatrescue@gmail.com,,,,,,,,,,,,,,
,The Colchester and District Cat Rescue and Homing Society,https://www.colchestercatrescue.org.uk/,mail@colchestercatrescue.org.uk,,,,,,,,,,,,,,
,Stray Cat Rescue,https://www.straycatrescue.org.uk/,enquiries@straycatrescue.org.uk,,,,,,,,,,,,,,
,Feline Welfare,https://www.felinewelfareiow.co.uk/,felinewelfareiow@hotmail.co.uk,,,,,,,,,,,,,,
,The Marjorie Nash Cat Rescue,https://www.marjorienashcatrescue.org.uk/,info@marjorienashcatrescue.org.uk,,,,,,,,,,,,,,
,The Siamese Cat Welfare Trust,https://www.siameserescue.org.uk/,sccwt@siameserescue.org.uk,,,,,,,,,,,,,,
,Moulton Chapel Cat Shelter,https://www.moultonchaplecatshelter.org/,ray.digby@talktalk.net,,,,,,,,,,,,,,
,Costa Blanca Feral Cat Trust,https://www.paulinefirks.co.uk/,emma.reid21@btinternet.com,,,,,,,,,,,,,,
,Crescent Cat Rescue,https://crescentcatrescue.org/,crescentcatrescue@gmail.com,,,,,,,,,,,,,,
,Cat Watch Rescue Shelter,https://www.cwwrescue.org/,info@cwwrescue.org,,,,,,,,,,,,,,
,Bow Lodge Cat Rescue,https://www.bowlodgecatrescue.com/,bowlodge@gmail.com,,,,,,,,,,,,,,
,Mansfield Cat Rescue,https://mansfieldcatrescue.co.uk/,admin@mansfieldcatrescue.co.uk,,,,,,,,,,,,,,
,Cat-ching,https://cat-ching.com/,cat-ching@hotmail.com,,,,,,,,,,,,,,
,Italian Greyhound Rescue,https://www.italiangreyhoundrescuecharity.org.uk/,info@italiangreyhoundrescuecharity.org.uk,,,,,,,,,,,,,,
,Cat Welfare Fund (wisbech),https://www.catwelfarewisbech.co.uk/,catwelfarewisbech@gmail.com,,,,,,,,,,,,,,
,Lymington Cat and Kitten Rescue,https://www.lymicat.org/,info@lymicat.org,,,,,,,,,,,,,,
,Catwel (cardiff),https://www.catwel-blogspot.com/,catwelcardiff@hotmail.co.uk,,,,,,,,,,,,,,
,Furry Friends,https://catrescue.dore/,TINKERBELL300@ICLOUD.COM,,,,,,,,,,,,,,
,Liverpool Cat Welfare and Sanctuary,https://liverpoolcatwelfare.com/,liverpoolcatwelfare@hotmail.co.uk,,,,,,,,,,,,,,
,Bedford and Biggleswade Cats Protection ,https://www.cats.org.uk/bedford,https://www.cats.org.uk/bedford/contact-us,,,,,,,,,,,,,,
,Stray Cat Rescue (Dunstable),http://www.straycatrescue.org.uk/,fundraising@straycatrescue.org.uk,enquiries@straycatrescue.org.uk,,,,,,,,,,,,,
,Homeless Cat Rescue (Luton),https://www.homelesscatrescue.co.uk/,homelesscatrescue@hotmail.com,,,,,,,,,,,,,,
,"TVAW, Thames Valley Animal Welfare (Wycombe)",https://www.tvaw.org.uk/,tvaw@btconnect.com,,,,,,,,,,,,,,
,"Wood Green, The Animals Charity (Godmanchester)",https://woodgreen.org.uk/,info@woodgreen.org.uk,,,,,,,,,,,,,,
,Animal Helpline Dog Rescue (Wansford),http://homes4dogs.co.uk/,Homes4Dogs@outlook.com,,,,,,,,,,,,,,
,Chester Cat Care ,https://www.rescuereview.co.uk/rescue/chester-cat-care-417/,info@chestercatcare.com,,,,,,,,,,,,,,
,Warrington Animal Welfare,https://www.facebook.com/warringtonanimalwelfare/info/,info@warringtonanimalwelfare.org.uk ,,,,,,,,,,,,,,
,Paws Inn (Weaverham),http://www.pawsinncatrescue.co.uk/,pawsinn@aol.com,,,,,,,,,,,,,,
,LFDR - Le Fonti Dog Rescue (Carlisle),http://www.lefontidogrescuecarlislecumbria.org/,http://www.lefontidogrescuecarlislecumbria.org/contact-us.html,,,,,,,,,,,,,,
,Animal Rescue Cumbria ,https://www.animalrescuecumbria.co.uk/,https://www.animalrescuecumbria.co.uk/contact-us/,,,,,,,,,,,,,,
,Chesterfield Animal Rescue ,https://www.chesterfieldanimalrescue.org.uk/#pageFooter,https://www.chesterfieldanimalrescue.org.uk/#pageFooter,,,,,,,,,,,,,,
,Just For Dogs,https://www.facebook.com/DogRescueDerbyshire/,adoption@justfordogsrescue.co.uk,,,,,,,,,,,,,,
,Second Chance Rescue (Derby),http://www.secondchancerescuekennels.co.uk/,secondchancedogs@btinternet.com,,,,,,,,,,,,,,
,Pet Samaritans (Chesterfield) ,https://www.petsamaritans.co.uk/,https://www.petsamaritans.co.uk/contact-us/,,,,,,,,,,,,,,
,Animals in Distress Rescue Centre (Newton Abbot),https://animalsindistress.uk.com/,info@animalsindistress.uk.com,,,,,,,,,,,,,,
,Feline Network (Paignton),http://felinenetwork.org.uk/,felinenetwork2009@gmail.com,,,,,,,,,,,,,,
,Gables Farm Dogs and Cats Home,https://www.gablesfarm.org.uk/,info@gablesfarm.org.uk,,,,,,,,,,,,,,
,Oldies Club (Plymouth) ,https://www.oldies.org.uk/,oldies@oldies.org.uk ,,,,,,,,,,,,,,
,Holly Hedge Animal Sanctuary (Barrow Gurney) ,https://hollyhedge.org.uk/,https://hollyhedge.org.uk/contact-us/email-form/,,,,,,,,,,,,,,
,Bristol's League for Cats (Barrs Court),https://blfc.weebly.com/,Senior Co-ordinator (Karen) on 0117 9600304 ,,,,,,,,,,,,,,
,Just Whippets Rescue,https://www.justwhippetsrescue.co.uk/,team@justwhippetsrescue.co.uk,,,,,,,,,,,,,,
,Waggy Tails Rescue (Wimborne),https://waggytails.org.uk/,https://waggytails.org.uk/contact/,,,,,,,,,,,,,,
,Wetheriggs Animal Rescue & Conservation Centre (Barnard) ,https://www.wetheriggsanimalrescue.co.uk/,info@wetheriggsanimalrescue.co.uk,,,,,,,,,,,,,,
,Stray Aid Ltd (Coxhoe),https://strayaid.org.uk/,reception@strayaid.org.uk,,,,,,,,,,,,,,
,Stray Action for Dogs (Langley Moor) ,https://www.strayaction.com/,info@strayaction.com,,,,,,,,,,,,,,
,"NASSL, National Animal Sanctuaries Support League (Newton Aycliffe) ",https://nassl.co.uk/,nassl@nassl.org.uk,,,,,,,,,,,,,,
,Lost Cats (Brighton),https://lostcatsbrighton.org.uk/,info@lostcatsbrighton.org.uk,,,,,,,,,,,,,,
,"C.H.A.T, Celia Hammond Animal Trust (Hastings) ",https://www.celiahammond.org/,headoffice@celiahammond.org,,,,,,,,,,,,,,
,Catastrophes Cat Rescue (Heathfield) ,https://www.catastrophescats.org/,https://www.catastrophescats.org/contact-us,,,,,,,,,,,,,,
,Cat Welfare Sussex (Portslade) ,https://catwelfaresussex.com/cws/,julie@catwelfaresussex.com,,,,,,,,,,,,,,
,Raystede Centre for Animal Welfare (Ringmer),https://www.raystede.org/,info@raystede.org,,,,,,,,,,,,,,
,Gloucestershire Animal Welfare Association & Cheltenham Animal Shelter ,https://gawa.org.uk/,reception@gawa.org.uk,,,,,,,,,,,,,,
,Oak and Furrows Wildlife Rescue (Cirencester) ,https://www.rspcaoandf.org.uk/,info@rspcaoandf.org.uk,,,,,,,,,,,,,,
,Teckels Animal Sanctuaries (Gloucester) ,https://teckelsanimalsanctuaries.co.uk/,enquiries@teckelsanimalsanctuaries.co.uk,,,,,,,,,,,,,,
,5 Valley Cat Rescue (Stroud) ,https://www.5valleycatrescue.org/,Enquiries@5valleycatrescue.org,,,,,,,,,,,,,,
,Lea Valley Dog Rescue ,https://leavalleydogrescue.co.uk/,Info@leavalleydogrescue.co.uk ,,,,,,,,,,,,,,
,Dog Trust (Bolton) ,https://www.dogstrust.org.uk/,info@dogstrust.org.uk,,,,,,,,,,,,,,
,Pro Dogs Direct (Catford),https://prodogsdirect.org.uk/,https://prodogsdirect.org.uk/contact/,,,,,,,,,,,,,,
,"GAR, Greek Animal Rescue (Hendon) ",https://greekanimalrescue.com/,info@greekanimalrescue.com,,,,,,,,,,,,,,
,The Mayhew Animal Home (Kensal Green) ,https://themayhew.org/,vetclinic@mayhewanimalhome.org,,,,,,,,,,,,,,
,Animal Aid and Advice North London,https://www.facebook.com/AnimalAidAndAdvice/,info@animalaidandadvice.org ,,,,,,,,,,,,,,
,Cat Action Trust 1977 Central London ,https://cat77.org.uk/,https://cat77.org.uk/contact,,,,,,,,,,,,,,
,Hounslow Animal Welfare Society ,https://www.haws-animals.org.uk/,cats@haws-animals.org.uk,otheranimals@haws-animals.org.uk,,,,,,,,,,,,,
