code,name,address,city,email,phone,website
GBR0211,Paws Inn (Weaverham),,,pawsinn@aol.com,,http://www.pawsinncatrescue.co.uk/
GBR0212,LFDR - Le Fonti Dog Rescue (Carlisle),,,http://www.lefontidogrescuecarlislecumbria.org/contact-us.html,,http://www.lefontidogrescuecarlislecumbria.org/
GBR0216,Second Chance Rescue (Derby),,,secondchancedogs@btinternet.com,,http://www.secondchancerescuekennels.co.uk/
GBR0238,5 Valley Cat Rescue (Stroud),,,Enquiries@5valleycatrescue.org,,https://www.5valleycatrescue.org/
GBR0239,Lea Valley Dog Rescue,,,Info@leavalleydogrescue.co.uk,,https://leavalleydogrescue.co.uk/
GBR0242,"GAR, Greek Animal Rescue (Hendon)",,,info@greekanimalrescue.com,,https://greekanimalrescue.com/
GBR0245,Cat Action Trust 1977 Central London,,,https://cat77.org.uk/contact,,https://cat77.org.uk/
GBR0247,Little Angels Rabbit Rescue (Romford),,,admin@littleangelsrabbitrescue.com,,https://www.rescuereview.co.uk/rescue/little-angels-rabbit-rescue-967/
GBR0256,Futures For Dogs,,,futuresfordogs@aol.com,,https://www.facebook.com/futuresfordogs/
GBR0259,Kent Greyhound Rescue (Hythe),,,https://www.kentgreyhoundrescue.com/contact-us/,,https://www.kentgreyhoundrescue.com/
GBR0260,All Dogs Rescue,,,alldogsrescue@rocketmail.com,,https://www.alldogsrescue.com/
GBR0261,Streetkatz Rescue (Lamberhurst),,,streetkatzinfo@gmail.com,,https://www.streetkatzrescue.com/
GBR0274,Second Chance Cat Rescue (Keelby),,,info@secondchancecatrescue.org.uk,,https://northlincsweb.net/SCCR/
GBR0275,Lincoln Rat Rescue,,,lincolnratrescue@googlemail.com,,https://lincolnratrescue.webs.com/
GBR0283,Boxer Dog Rescue Northern England,,,https://www.boxerdogrescue.co.uk/contact,,https://www.boxerdogrescue.co.uk/
GBR0290,Northamptonshire Animals Needing Nurturing & Adoption (Irthlingborough),,,nanna04@btinternet.com,,https://www.facebook.com/NANNAANIMALRESCUE1/
GBR0302,Pet Welfare (Kirkby),,,Info@petwelfare.co.uk,,http://www.petwelfare.co.uk/
GBR0303,One Paw At a Time Dog Rescue UK & Romania,,,onepawatatimedogrescue@gmail.com,,https://onepawatatimedogrescue.co.uk/
GBR0311,Somerset & Dorset Animal Rescue (Wincanton),,,https://www.somersetanddorsetanimalrescue.co.uk/contact/,,https://www.somersetanddorsetanimalrescue.co.uk/
GBR0313,Animal Lifeline (Stoke on Trent),,,https://www.animallifeline.org.uk/wp/contact-us/,,https://www.animallifeline.org.uk/wp/
GBR0318,"Lurcher SOS, Lurcher and Greyhound Rescue (Esher)",,,https://www.lurchersos.org.uk/contact-us,,https://www.lurchersos.org.uk/
GBR0320,Greyhounds4u (Hersham),,,homing@greyhounds4u.co.uk,,https://www.greyhounds4u.co.uk/
GBR0321,Epsom Canine Rescue (Horley),,,admin@epsomcaninerescue.org.uk,,http://www.epsomcaninerescue.co.uk/
GBR0322,Dogs Walk This Way Rescue,,,dogswalkthiswayrescue@mail.com,,https://dogswalkthiswayrescue.com/index.html
GBR0323,Rescue Remedies (Richmond),,,https://rescueremedies.wufoo.com/forms/rescue-remedies-contact-form/,,https://www.rescueremedies.co.uk/
GBR0324,Animal Mission (Tadworth),,,telephone +44 0 1737 243472,,http://www.animalmission.org.uk/
GBR0325,"STAR, Starlight Trust Animal Rescue (Wallington)",,,contact@starlighttrust.org.uk,,https://starlighttrust.org.uk/
GBR0327,Mid Sussex Happy Breed Dog Rescue Society (Burgess Hill),,,carole@happybreed.co.uk,,http://www.happybreed.co.uk/
GBR0329,Paws & Claws Animal Rescue Service (Sayers Common),,,info@pawsandclaws-ars.org.uk,,https://www.pawsandclaws-ars.org.uk/
GBR0336,Wild Acre Rescue (Cradley Heath),,,wildacrerescue@aol.com,,http://wildacrerescue.co.uk/
GBR0337,Cocker And English Springer Spaniel Rescue (River Mersey),,,ian@caessr.org.uk,,https://www.caessr.org.uk/
GBR0338,Dog Watch UK (Sutton Coldfield),,,https://dogwatchuk.wufoo.com/forms/dogwatch-uk-enquiries/,,http://www.dogwatchuk.com/
GBR0339,"AVAR, Aldridge Voluntary Animal Rescue",,,info@aldridgerescue.co.uk,,http://www.aldridgerescue.co.uk/
GBR0343,Wagtails Dog Rescue,,,wagtailsrescue@mail.com,,https://www.facebook.com/WagtailsRescueEssex/
GBR0345,Evesham Greyhound & Lurcher Rescue (Ashton Under Hill),,,mail@lurcher.org.uk,,https://lurcher.org.uk/
GBR0352,Keighley Cat Care (Bradford),,,kcccats@gmail.com,,http://www.keighleycatcare.co.uk/
GBR0353,Yorkshire Rose Dog Rescue (Gomersal),,,https://yrdr.co.uk/contact/,,https://yrdr.co.uk/
GBR0357,Mayflower Sanctuary (Nr Doncaster),,,info@mayflowersanctuary.co.uk,,https://mayflowersanctuary.co.uk/
