,,,,,,,,
,,,MAP,NAME,WEB,EMAIL,,
,,,,Clear Creek Cat Rescue (Wasilla) ,http://clearcreekcatrescue.org/,clearcreekkitties@gmail.com,,
,,,,,,,,
,,ARIZONA,,,,,,
,,,,Buckeye Animal Rescue and Kennel (BARK),https://buckeyeanimalrescueandkennel.webs.com/,bark.animalrescue@yahoo.com,,
,,,,SAINT - Saving Animals In Need Together ,https://www.bhcsaint.org/,contact@bhcsaint.org,,
,,,"32.83291197122993, -111.73603901578682",Valley Humane Society (Casa Grande) ,https://www.valleyhumane.net/,Valleyhumane@yahoo.com,,
,,,"33.74816775728464, -111.93664285533949",Healing Hearts Animal Rescue (Cave Creek) ,https://healingheartsaz.org/,JBrumbaugh@healingheartsaz.org,,
,,,"33.93474048654486, -112.11577718249467",Hoof and Paw Rescue Inc,http://www.hoofandpawrescue.com/,yvette@hoofandpawrescue.com,,
,,,,Cooper's Chance Animal Rescue (Chandler) ,https://cooperschance.org/,cooperschance@yahoo.com,info@cooperschance.org,
,,,,Cow Cats Pet Adoption Center (Chandler),http://www.cowcats.com/home,meow@cowcats.com,,
,,,"33.280869704729135, -111.87870533680824",Hope for Cats (Chandler) ,http://www.hopeforcats.org/,hopeforcats@cox.net,,
,,,,Kattered Tails ,https://katteredtails.com/,katteredtails@colello.org,,
,,,"33.3079738833419, -111.89085235650087",RAIN - Rescuing Animals in Need formerly Kit Kat Rescue (Chandler) ,https://azrain.rescuegroups.org/,azrainrescue@gmail.com,,
,,,,Saving One Life (Chandler),https://www.savingonelife.org/,info@savingonelife.org,,
,,,"34.772100712106436, -112.46722481250009",Chino Valley Animal Shelter,https://www.facebook.com/cvanimalshelter/,cvas@chinoaz.net,,
,,,,LOLA- Lots of Love For Animals (Chloride),https://lotsofloveforanimals.org/,info@lolathesanctuary.org,lotsofloveforanimals@yahoo.com,
,,,,Pets Return Home,www.petsreturnhome.org,info@petsreturnhome.org,,
,,,"34.34173428632744, -109.79233565335831",Star Ranch Animal Sanctuary (Concho),https://starranchanimalsanctuary.com/,Info@StarRanchAnimalSanctuary.org,keithrobinsonsr@gmail.com,
,,,,SOS Cat Rescue AZ - Saving Orphans and Seniors (Cortaro),https://soscatrescueaz.org/,info@SOScatrescueAZ.org,,
,,,"34.729520145372355, -112.04432326775601",VVHS - Verde Valley Humane Society ,https://verdevalleyhumane.org/,frontdesk@verdevalleyhumanesociety.org,,
,,,,ACDR - Arizona Cattle Dog Rescue (Flagstaff) ,https://arizonacattledogrescue.org/,acdr@arizonacattledogrescue.org,,
,,,,Ark Cat Sanctuary ,https://www.arkcatsanctuary.org/,info@arkcatsanctuary.org,,
,,,"35.19021650131502, -111.6019493493155",Coconino Humane Association (Flagstaff) ,https://www.coconinohumane.org/,kindcrew@coconinohumane.org,,
,,,"35.30729219129866, -111.54180002418438",High Country Humane,https://highcountryhumane.org/,support@highcountryhumane.org,,
,,,"33.60427815232879, -111.71697081493605",Fearless Kitty Rescue (Fountain Hills),https://fearlesskittyrescue.org/,info@fearlesskittyrescue.org,,
,,,"33.30534475725335, -111.7875542868039",BTBPR - Back The Blue Pet Rescue ,https://backthebluepetrescue.org/,btbpr@backthebluepetrescue.org,,
,,,,Carrie On Rescue (Gilbert) ,http://www.carrieonrescue.org/index.html,carrieonrescuers@hotmail.com,,
,,,"33.35583204175086, -111.79320319004742",Friends For Life Animal Sanctuary ,https://azfriends.org/,info@azfriends.org,,
,,,,Rotten Rottie Rescue,https://www.rottenrottie.com/,rottenrottierescue@gmail.com,,
,,,"33.432910907405116, -111.86902044883868",Save the Cats Arizona ,https://savethecatsaz.org/,info@savethecatsaz.org,,
,,,,Valley Dogs Rescue (Gilbert) ,https://www.valleydogs.org/,valleydogs@valleydogs.org,,
,,,"33.31848602357211, -111.89202244495925",We're The Cat's Meow Pet Rescue (Chandler),https://werethecatsmeow.com/,azcatsmeow@gmail.com ,,
,,,"33.340794549685846, -111.77216043946633",Wildhorse Ranch Rescue (Gilbert) ,https://www.wildhorseranchrescue.com/who-we-are.html,info@whrr.org,,
,,,,All About Animals Rescue (Glendale) ,http://www.allaboutanimalsaz.com/,allaboutanimalsaz@gmail.com,,
,,,"33.640423248284186, -112.17485309165309",Arizona Golden Rescue ,https://www.arizonagoldenrescue.org/,info@arizonagoldenrescue.org,,
,,,"33.61206365827918, -112.1835051618344",Blues Kitty Rescue ,https://blueskittyrescue.org/,info@blueskittyrescue.org,,
,,,,Robin Hood Animal Rescue (Glendale) ,https://www.petfinder.com/member/us/az/phoenix/robin-hood-animal-rescue-az168/,rhar4all@yahoo.com,,
,,,,Saving Orphan Souls Rescue (S.O.S) ,https://www.savingorphansouls.org/,savingorphansouls@yahoo.com,,
,,,"33.70042130971888, -112.14527280643321",Stealing Hearts Rescue,https://www.stealingheartsrescue.com/,AZBULLYGIRL@HOTMAIL.COM,,
,,,"33.53926979659808, -112.29724584003729","Sun Valley Animal Shelter, Inc. (Glendale) ",https://sunvalleypets.org/,contact@sunvalleypets.org,,
,,,"35.03174486154077, -114.31827597763754","For the Luv of Paws II, Inc. (Golden Valley) ",https://www.fortheluvofpaws.org/,flppupskits@yahoo.com,,
,,,"33.452047577944704, -112.39430611313746",Yorkie Luv Rescue (Goodyear),https://yorkieluvrescue.com/,Andrew@yorkieluvrescue.com,yorkieluvrescue-secretary@hotmail.com,
,,,"31.898961648619387, -110.99921582259579","TALGV, The Animal League of Green Valley",https://talgv.org/,info@talgv.org,,
,,,"31.438482915128002, -110.09784843551319",Little Lotus Rescue & Sanctuary ,https://littlelotusrescueandsanctuary.org/,littleleaguerescue@gmail.com,,
,,,"34.933758584127304, -110.14207034147344",Friends of the Holbrook Animal Shelter ,http://friendsoftheholbrookanimalshelter.org/,http://friendsoftheholbrookanimalshelter.org/contact-us/,,
,,,"35.18303825947342, -114.042160727144",Mutt Matchers & Friends,https://www.muttmatchers.org/,muttmatchers@frontiernet.net,,
,,,,Safe Haven Animal Rescue of AZ,https://www.facebook.com/groups/1405138936478168/about,safe_haven_animal_rescue@live.com,,
,,,"33.675149336804, -112.04749310168044",Arizona Poodle Rescue (Maricopa) ,https://arizonapoodlerescue.org/,aprvolunteers@gmail.com,,
,,,,Freedom Tails Rescue ,https://freedomtailsrescue.com/,freedomtailsrescue@gmail.com,,
,,,"33.968557186484105, -84.41027172267829",Good Mews Animal Foundation (Marietta) ,https://www.goodmews.org/,admin@goodmews.org,,
,,,,"Animal Rescue Friends, Ltd",https://www.animalrescuefriends.org/,admin@animalrescuefriends.org,,
,,,"33.365805138381695, -111.75480781134125",Cat-A-Do Cat Co-op (Mesa),http://www.catado.org/,info@catado.org,,
,,,"33.326755196055096, -111.68982456909195",Desert Paws Rescue (Mesa) ,https://desertpawsrescue.org/,info@desertpawsrescue.org,,
,,,"33.39093141705194, -111.68933306348346",Follow Your Heart Animal Rescue (Mesa) ,https://www.followyourheartanimalrescue.org/,followyourheartfoundation@gmail.com,healthypawsmarketmesa@gmail.com,
,,,,GTDR - Ghost Town Dog Rescue (Mesa) ,https://www.ghosttowndogrescue.com/,ghosttowndogrescue@gmail.com,,
,,,,Lucky Angel Animal Rescue ,,cristina@luckyangel.org,,
,,,"33.37487262138251, -111.88475547496911",P.A.W.S. (Pound Animals Worth Saving) Fur the Cause ,http://poundanimalsworthsaving.org/,karmikus@cox.net,,
,,,,Standing Proud Pit Bull Rescue (Mesa),https://www.standingproudpitbulls.org/,info@standingproudpitbulls.org,,
,,,,VOTSDR - Valley of the Sun Dog Rescue (Mesa) ,https://www.valleyofthesundogrescue.org/,votsdradoptions@gmail.com,,
,,,"33.89558537144734, -112.04714029383207",Saint Francis Feline Sanctuary (New River),https://felinesanctuary.org/,Info@felinesanctuary.org,,
,,,"31.350649016883203, -110.92239829850747",SCHS - Santa Cruz Humane Society (Nogales),https://santacruzhumanesociety.org/,schs5654@gmail.com,,
,,,,Lifeline Oro Valley Animal Rescue ,https://www.lovar.org/,janders@lovar.org,,
,,,"36.909757491941555, -111.48541075007698",Page Animal Adoption Agency ,https://pageanimaladoptionagency.com/,pageanimaladoption@gmail.com,,
,,,,Arizona Desert Rottie & Pals Rescue (Patagonia) ,http://azdesertrotti.com/,azdesertrottis@aol.com,suebergier49@gmail.com,
,,,"34.22938054747142, -111.33667549748145",HSCAZ - Humane Society of Central Arizona ,https://humanesocietycentralaz.org/,hs@humanesocietycentralaz.org,,
,,,"33.617197224988296, -112.22272410027692",AZK9 Rescue ,https://www.azk9.org/,azk9org@gmail.com,,
,,,,Blistered Whiskers (Peoria),https://www.facebook.com/BlisteredWhiskers,blisteredwhiskers@gmail.com,,
,,,"33.51424232847912, -112.13370950086379",HALO Animal Rescue (Pheonix) ,https://www.halorescue.org/,info@halorescue.org,,
,,,"33.44831836400242, -111.96299001015088",2 Da Rescue (Phoenix),,karen@2darescue.org,,
,,,,Adorable Dog Rescue (Phoenix),https://www.facebook.com/AdorableDogRescue/,AdorableDogRescue@yahoo.com,,
,,,"33.49426858445909, -112.02559934743176",Almost There: A Mom + Pups Rescue ,https://www.almostthererescue.org/,info@almostthererescue.org,,
,,,"33.64635480071917, -112.0152380361245",Animals Benefit Club of Arizona (Phoenix),https://animalsbenefitclub.com/,info@animalsbenefitclub.com,,
,,,"33.449245094322784, -111.99410176347753",Arizona Animal Welfare League ,https://aawl.org/,marketing@aawl.org,info@aawl.org,
,,,,Arizona Basset Hound Rescue (Phoenix),https://azbassetrescue.org/,intake@azbassetrescue.org,,
,,,,Arizona Cocker Rescue (Phoenix) ,,AZcockerRescue@aol.com,,
,,,"33.3604448632242, -112.09304206100065",Arizona Humane Society (Phoenix),https://www.azhumane.org/,https://www.azhumane.org/contact-us/,,
,,,"33.571437937082706, -112.08724134070275",Arizona Small Dog Rescue (Phoenix) ,https://azsmalldog.org/,info@AZsmalldog.org,,
,,,,AZ CLAWS Animal Rescue,https://azclaws.org/,azclaws@cox.net,,
,,,,AZBR - Arizona Beagle Rescue (Phoenix) ,https://azbeaglerescue.com/,info@azbeaglerescue.com,pr-media@azbeaglerescue.org,
,,,,Caring for Canines,https://caringforcanines.org/,info@caringforcanines.org,,
,,,,Citizens For North Phoenix Strays,,CNPSrescue@gmail.com,,
,,,,Cool Cats Rescue AZ ,https://coolcatsrescue-az.org/,coolcatsrescueaz@gmail.com,,
,,,,DHDR - Desert Harbor Doberman Rescue (Phoenix),https://azdoberescue.org/,contact@azdoberescue.org,,
,,,,Four Peaks Animal Rescue (Phoenix) ,http://www.fourpeaksanimalrescue.org/,4par@desertinet.com,,
,,,,Freedom Brothers Rescue and Recovery ,https://freedombrothersrescueandrecovery.com/,Robertmurtaugh2@aol.com,,
,,,"33.57967911878349, -112.01347107658093",Home 'Fur' Good No-Kill Animal Rescue & Adoption (Phoenix) ,https://homefurgood.org/,info@homefurgood.org,,
,,,,Little Rascals Rescue (Phoenix),https://www.littlerascalsrescue.com/,bu.ter.fly@hotmail.com,,
,,,,Mayday Pit Bull Rescue & Advocacy (Phoenix) ,https://www.maydaypitbullrescue.org/,info@maydaypitbullrescue.org,,
,,,,Mini Mighty Mutts Rescue ,http://www.minimightymutts.com/,info@minimightymutts.com,,
,,,,Povertys Pets ,https://www.povertyspets.org/,info@povertyspets.org,,
,,,,Rockstar Canine Rescue & Sanctuary ,https://www.facebook.com/RockstarRescueAz/,info@rockstarrescue.org,,
,,,,Ruby Ranch Pet Rescue and Sanctuary,http://www.rubyranchrescue.org/,info@rubyranchrescue.org,,
,,,,Rustys Angels Sanctuary,https://www.rustysangelssanctuary.org,rustysangelssanctuary@gmail.com,,
,,,,Saving Paws Rescue Arizona (Phoenix) ,https://www.savingpawsrescueaz.org/,savingpawsrescueaz@gmail.com,,
,,,"33.671395622212714, -112.10506335448875",The Foundation for Homeless Cats (Phoenix),https://www.thefoundationforhomelesscats.org/,Jewell@TheFoundationForHomelessCats.org,,
,,,,VSGSR - Valley of the Sun Giant Schnauzer Rescue,https://www.vsgiantschnauzerrescue.org/,phxgsrescue@hotmail.com,,
,,,,Cochise Canine Rescue,https://www.cochisecaninerescue.org/,info@cochisecaninerescue.org,,
,,,"34.545545745324446, -112.46601227050272",Miss Kitty's Cat House (Prescott),,misskittyscathouse@gmail.com,,
,,,"34.574380196268315, -112.42699771582964","YHS, Yavapai Humane Society (Prescott) ",https://yavapaihumane.org/,demo@example.com,,
,,,"34.65347133975771, -112.31237342116654",Circle L Ranch Animal Rescue & Sanctuary (Prescott Valley) ,https://www.circlel.org/,circlelranchdogs@gmail.com,,
,,,"32.9626674008823, -111.66825285201914",2nd Chance Dog Rescue ,https://2ndchance.rescuegroups.org/,cdczar96@aol.com,,
,,,,DCRSA - Desert Cat Rescue & Sanctuary of Arizona (Safford) ,https://www.facebook.com/DesertCatRescueAndSanctuaryArizona,desertcatrescue@gmail.com,,
,,,,AZ CARE- AZ Center for Animal Rescue and Education (San Tan Valley),https://azcarerescue.org/,AZCARE@azcarerescue.org,,
,,,,San Tan Animal Rescue,https://santananimalrescue.org/,starrescue1@gmail.com,,
,,,"33.74126087775753, -111.84393306836955",Fedwell Farm Rescue Inc. (Scottsdale),https://www.fedwellfarm.com/,fedwellfarm@yahoo.com,,
,,,"33.63965782713504, -111.86283431367485",Foothills Animal Rescue (Scottsdale),https://foothillsanimal.org/,support@foothillsanimal.org,,
,,,,Forever Loved Pet Sanctuary (Scottsdale) ,https://www.foreverlovedpets.org/,info@foreverlovedpets.org,,
,,,"33.593788356133516, -111.93077626879003","Liberty Wildlife Rehabilitaion Foundation, Inc. (Scottsdale)",https://libertywildlife.org/,info@libertywildlife.org,,
,,,"33.40334794825402, -111.95176621858758",Lost Our Home Pet Foundation (Scottsdale),https://www.lostourhome.org/,info@LostOurhome.org,,
,,,,LOVE FOR DOGS,https://www.lovefordogs.org/,info@lovefordogs.org,,
,,,,Lucky Dog Rescue (Scottsdale) ,http://www.luckydogrescue.org/home,info@luckydogrescue.org,,
,,,,Safe Haven for Animals (Scottsdale) ,https://www.azshfa.org/,shinfo@azshfa.org,,
,,,,Sky Sanctuary Rescue,https://skysanctuaryrescue.org/,skysanctuaryrescue@gmail.com,,
,,,"34.85355277077091, -111.79702652036282",HSS - Humane Society of Sedona,https://humanesocietyofsedona.org/,info@humanesocietyofsedona.org,,
,,,"34.21250527746718, -110.02838353396808",Pet Allies (Show Low),https://petalliesaz.org/,https://petalliesaz.org/who-we-are/contact.html,,
,,,,Great Spirit Animal Sanctuary Inc,https://www.greatspiritanimalsanctuary.org/,INFO@GREATSPIRITANIMALSANCTUARY.ORG,,
,,,,Round Valley Animal Rescue (Springerville),https://www.roundvalleyanimalrescue.org/,https://www.roundvalleyanimalrescue.org/contact.html,,
,,,,Chance Shelter (Surprise) ,https://www.facebook.com/chanceshelter,info@chanceshelter.org ,,
,,,"33.42717273055552, -111.9086151788913",Ohana Animal Rescue (Tempe),https://www.ohanaanimalrescue.org/,info@ohanaanimalrescue.com,,
,,,,Paw Kindness,https://pkars.weebly.com/,pawkindness@gmail.com,,
,,,"31.704926653468114, -110.05414450428214",Tombstone Small Animal Shelter,,Tombstoneanimalshelter@gmail.com,,
,,,"33.408270149339295, -112.7903700180353",Living Water Ranch Rescue,http://www.livingwaterranchrescue.com/,chartipton1@msn.com,,
,,,,Claws and Paws Rescue (Tucson) ,https://www.clawsandpawsaz.org/,info@clawsandpawsaz.org,,
,,,,FAIR: Foundation for Animals in Risk (Tuczon),https://www.facebook.com/profile.php?id=100064777353928,info@faircares.org,,
,,,"32.369439880907635, -111.09387459509466",HOPE Animal Shelter in Tucson,https://www.hopeanimalshelter.net/,info@hopeanimalshelter.net,,
,,,,Moon & Stars Animal Rescue,https://www.moonandstarsanimalrescue.org/,moonandstarsanimalrescue@gmail.com,,
,,,,No Kill Pima County (Tucson) ,https://www.nokillpimacounty.org,admin@nokillpimacounty.org,,
,,,,Pathways for Paws,https://pathwaysforpaws.com/,pathwaysforpaws@yahoo.com,,
,,,"32.237080230248026, -110.87793337194317",PAWSitively Cats,https://pawsitivelycats.org/,savecats@pawsitivelycats.org ,,
,,,,Pima Paws for Life,https://www.pimapawsforlife.org/home.html,Info@PimaPawsForLife.org,,
,,,,SAFE - Saving Animals From Euthanasia (Tucson) ,http://safeanimals.com/,bekind2animalstucson@gmail.com ,,
,,,,SARA - Saving At Risk Animals (Tucson),https://savingatriskanimals.org/,rescuesara@earthlink.net,,
,,,,SDR - Smiling Dog Rescue (Tucson) ,https://www.smilingdogrescue.com/,SmilingDogRescue@gmail.com,,
,,,,"SoAZBR, Southern Arizona Beagle Rescue (Tucson) ",https://soazbeaglerescue.com/,Information@soazbeaglerescue.com,,
,,,,Southwest Oasis Lab Rescue,https://solraz.org/,SouthwestOasisLabRescue@gmail.com,,
,,,"32.20815677422687, -110.87949812606585",The Hermitage Cat Shelter,https://www.hermitagecatshelter.org/,info@hermitagecatshelter.org,,
,,,"32.42388198175964, -110.93774896409194",BARK (Baby Animal Rescue Koalition),https://www.facebook.com/BARKTucson,barkntucson@aol.com,,
,,,"33.96858249614476, -112.80493156568244",Humane Society of Wickenburg ,https://wickenburghumane.com/,https://wickenburghumane.com/contact-us,,
,,,"33.95954041660998, -112.71297730474862",K9 Konnection,https://www.k9konnectionrescue.org/,shirleyk9konnection@mail.com,k9konnectionrescue@gmail.com,
,,,,Tara's Babies Animal Welfare,,info@tarasbabies.org,,
,,,"33.59204769581778, -112.29885144835353","Cat's World Rescue, Inc",https://www.facebook.com/catsworldrescue/,catsworldrescue@yahoo.com,,
,,"33.58318636644392, -112.2649799746851","33.603973057284364, -112.30017484264549",Sun Cities 4 Paws Rescue (Youngtown),https://4pawsrescue.org/,info@4pawsrescue.org ,laura.parker@4pawsrescue.org,deb.heise@4pawsrescue.org
,,,,,,,,
,,ARKANSAS,,,,,,
,,,"34.18005920121496, -93.15908529187031",Give Me A Chance Equine Rescue,https://givemeachanceequinerescue.org/,tomcat0808@yahoo.com,,
,,,"34.11343273914554, -93.05458565656048",Humane Society Of Clark County,https://www.facebook.com/HSCCArkadelphia/about?ref=page_internal,humanesocietyclarkcounty@yahoo.com,,
,,,"33.672710055168196, -94.09800691332237",A&B Animal Rescue of SW Arkansas,https://www.abanimalrescue.org/,abanimalrescue@gmail.com,,
,,,,Pug Rescue of Northwest Arkansas,https://pugrescuenwa.org/,pugrescuenwa@yahoo.com,info@pugrescuenwa.org,
,,,"36.36033788404239, -94.29503041825687",Lone Pine Ranch Animal Shelter (Centerton),,lonepineshelter@yahoo.com,,
,,,"35.29304405524918, -94.05267652242142",The Charleston Dog Shelter (Charleston Animal Interest Group),https://www.charlestondogshelter.com/contact-us,?charlestondogshelter@gmail.com,,
,,,,Needy Paws Animal Shelter,https://www.needypawsanimalshelter.org/,info@needypawsanimalshelter.org,,
,,,,ArkanPaws Animal Rescue (Conway),http://arkanpaws.org/,ArkanPaws@gmail.com,ArkanPawsNE@gmail.com,
,,,"35.019174747284325, -92.41498923701985","FCSPCA, Faulkner County Society For The Prevention Of Cruelty (Conway)",https://www.facebook.com/fcspca/,onedog2many@msn.com,,
,,,,Humane Society of Faulkner County (Conway),,contact@humane-fc.org,,
,,,"33.18409867564469, -92.6476622656441",Union County Animal Protection Society,https://www.ucapsshelter.org/,ucaps1@yahoo.com,,
,,,"36.39684664558524, -93.69279241408434",Good Shepherd Humane Society (Eureka Springs),https://www.goodshepherd-hs.org/,adoptioncenter@goodshepherdhumane.org,info@goodshepherdhumane.org,
,,,,Fuzzy Hearts Animal Rescue,https://fuzzyheartsrescue.yolasite.com/,fuzzyheartshome@gmail.com,,
,,,,Animal League of Washington County ,https://animalleagueofwashingtoncounty.org/,animalleaguewc@gmail.com,,
,,,,"House of Little Dogs, Inc.",https://www.houseoflittledogs.com/,houseoflittledogs@gmail.com,,
,,,,Humane Society of the Ozarks,https://hsozarks.org/,hsoadmin@hsozarks.com,,
,,,,LLAR - Lost Love Animal Rescue,https://www.facebook.com/profile.php?id=100057340214663,lostloveanimalrescue@gmail.com,,
,,,"36.115786026995096, -94.2267080242992",Spenser's Legacy Animal Rescue (Fayetteville),http://www.spenserslegacy.org/,Contact@SpensersLegacy.org,,
,,,"34.99900140532832, -90.8172812018171",Forrest City Area Humane Society,https://www.fcahumane.org/,fcadiva@sbcglobal.net,,
,,,"36.26088219018596, -93.16946904025606",Ozark Humane Society,https://www.facebook.com/SaveARescue,ozarkhumanesociety18@gmail.com,,
,,,"34.51506754728219, -90.63980739563436",Humane Society of the Delta,,info@humanesocietyofthedelta.org,,
,,,"34.49780663801959, -93.0693080108957",Guardian Angels Cat Rescue and Adoption Shelter (Hot Springs),https://www.guardianangelscatshelter.org/,gacr@att.net,,
,,,,Humane Society of Garland County (Hot Springs),https://hsgconline.org/,garlandcountyhumane@gmail.com,,
,,,"34.620371758466234, -92.90215351596152",Hot Springs Village Animal Welfare League,https://hsvawl.org/,hsvawlpr@gmail.com,,
,,,"34.86235157248913, -92.13483391765158","Jacksonville Friends of the Animals, Inc / Jacksonville Animal Shelter",https://jacksonvillefriendsoftheanimals.org/,clhenderson1@gmail.com ,,
,,,"35.79309462938341, -90.67042609109022",A Love For Animals Rescue,,admin@alfarescue.com,,
,,,,Searcy County Humane Society ,https://www.facebook.com/SearcyCountyHumaneSociety/,operationkindnessschs@gmail.com,,
,,,,Feline Rescue and Rehome (Little Rock),http://www.teamfurr.org/,saveacat@teamfurr.org,,
,,,"34.71152570789916, -92.44006370745717",Humane Society Of Pulaski County (HSPC),https://warmhearts.org/,info@warmhearts.org,,
,,,,Out Of The Woods Animal Rescue of Arkansas (Little Rock),https://www.ootwrescue.org/,contact@ootwrescue.org,,
,,,"34.49786891810213, -93.06855347353559",Stop Animal Cruelty in Hot Spring/Garland County (Malvern),https://www.sachsgc.com/,mataft@netscape.com,,
,,,"34.51624795738259, -94.04837177088328","Dogtired Ranch Small Dog Rescue and Shelter, Inc. (Mena)",https://www.dogtiredranch.com/,dogtiredjanet@hotmail.com,,
,,,"34.51612205630907, -94.05076665228819",For The Sake Of Animals,https://savearescue.org/,Bev@SaveARescue.org,,
,,,"34.61090583763775, -93.95786634520819",HSO - Humane Society of the Ouachitas,https://hsomena.org,hsoshelter@outlook.com,,
,,,,"Monticello 2nd Chance Fur Dogs, LLC",https://monticello2ndchancefurdogs.weebly.com/,monticello2ndchancefurdogs@yahoo.com,,
,,,,KC Pet Rescue (Morrilton),http://www.kcpetrescue.org/,info@kcpetrescue.org,,
,,,,Greener Days Ahead Rescue,https://greenerdaysar.rescuegroups.org/,gdarescue@gmail.com ,,
,,,"36.290499399063506, -92.31567839739253","Ozark Mutts and Stuff, Inc (Mountain Home)",https://www.ozarkmuttsandstuff.org/,Ozarkmuttsandstuff@gmail.com,,
,,,"35.858650980518206, -92.12571798703634",Stone County Humane Society (Mountain View),https://www.schspets.org/,schs@yelcot.net,,
,,,"35.28961445855759, -93.4200243300129",SBAH - Shoal Bay Animal Haven,https://shoalbayhaven.weebly.com/,shoalbayhaven@gmail.com,,
,,,"34.79661620325123, -92.23587261473843",RCR - Rock City Rescue (North Little Rock),https://www.rockcityrescue.org/,rockcityrescue@gmail.com,,
,,,,Fabulous Felines NWA,https://www.fabulousfelinesnwa.com/,fabulousfelinesnwa@gmail.com,,
,,,,Gail’s Pets Second Chance (Oakland),,gailspets@hotmail.com,,
,,,"36.06155302082981, -90.51840663793917",The Greene County Animal Farm - No-Kill shelter (Paragould),,greenecountyanimalfarm@40yahoo.com,,
,,,"35.238780508810514, -91.71352973150604",Paws Inn No-Kill Animal Shelter (Searcy),https://www.pawsinnhaven.org/,pawsinnhaven@gmail.com,,
,,,"35.12446431327041, -90.17929139510228",West Memphis Animal Shelter,http://www.westmemphisanimalshelter.com/,wmas@westmemphisar.gov,,
,,,,Blue Moon Cat Sanctuary (Witter),https://valleyofthebluemoon.net/kitty_retirement/,bluemooncatsanctuary@gmail.com,valleyofthebluemoon@yahoo.com,
,,,"35.740560388624694, -92.87879092906614",National Wildlife Humane Society (Witts Springs),http://www.humanewildlife.org/,info@humanewildlife.org,,
,,,"35.246586388678956, -90.79043074309371",The Wynne Animal Rescue Shelter,https://wynnefoa.weebly.com/,wynnefoa@gmail.com,kakn6755@gmail.com,
,,,"36.24345083153884, -92.70087000782323",Have A Heart Pet Shelter,https://www.haveaheartpetshelter.org/,haveaheartpetshelter@gmail.com,,
,,,,Humane Society of Marion County Arkansas,http://hsmcpets.org/,http://hsmcpets.org/contacts/,www.humanesocietyyellville@yahoo.com,
,,CALIFORNIA,,,,,,
,,,"34.47261261787867, -118.20935723072148",C.A.M.B.R.I.A. Canines and More Being Rescued in America (Acton),https://www.cambriasanctuary.org/,corkyhenyitz@gmail.com,,
,,,,The Brittany Foundation,http://www.brittanyfoundationonline.org/,brittanyfoundation@gmail.com,brittany_dogs@yahoo.com,
