,,,,,,,,
,,,NAME,WEB PAGE,EMAIL,EMAIL 2,EMAIL 3,EMAIL 4
,,,ANIMAL LOVE FOUNDATION,http://animallovefoundation.org/,ANIMALOVEFOUNDATION@YAHOO.COM,,,
,,,Animal Assistance Society of the Niagara Region,https://www.facebook.com/AnimalAsisstanceSocietyofNiagara,animalassistancesociety@gmail.com,,,
,,"49.15496455967909, -122.62739848502437",ANIMAL OUTREACH,http://animaloutreach.ca/,ANIMALOUTREACHINFO@YAHOO.CA,,,
,,,ANIMAL RESCUE COALITIONS NOVA SCOTIA,http://www.animalrescuecoalitions.com/,ARC@SEABRIGHT.CA,,,
,,,ANIMAL RESCUE FOUNDATION (ARF) OF ALBERTA,http://www.arf.ab.ca/,ARF.ALBERTA@ARF.AB.CA,,,
,,"47.60281355908238, -65.62747869098168",ANIMAL SHELTER (BATHURST) INC.,http://bathurstspca.com/,gloucesterspca@aibn.com,,,
,,"43.924239256630365, -80.00573557871715",ANIMAL TRACKERS INC,,ANIMAL.TRACKERS@SYMPATICO.CA,,,
,,"49.273987209860174, -123.12260843013242",ANIMAL WELFARE FOUNDATION OF CANADA,http://www.awfc.ca/,AWFC.INFO@GMAIL.COM,,,
,,,ANIMALERT PET ADOPTIONS INC,http://www.animalert.ca/,ANIMALERT@ROGERS.COM,,,
,,"44.29123653417594, -66.07529275326459",Baie Ste. Marie Animal Society,,BSMAS@LIVE.CA,,,
,,"55.16274494291721, -118.79339405843099",Bandaged Paws Animal Rescue Association,http://bandagedpaws.org/,INFO@BANDAGEDPAWS.ORG,,,
,,"53.49443152863269, -113.93889751744146",Barrhead Animal Rescue Society,http://www.barrheadanimalrescue.org/,TERRY@BARRHEADANIMALRESCUE.ORG,,,
,,,Beulah Burman Memorial Animal Shelter Society,http://www.petprojects.ca/,WENDY@PETPROJECTS.CA,,,
,,,Brooks Animal Protection Society,http://www.bapsociety.com/,INFO@BAPSOCIETY.COM,,,
,,,BIDE AWHILE ANIMAL SHELTER SOCIETY,http://www.bideawhile.org/,BIDEAWHILE@BIDEAWHILE.ORG,,,
,,"44.99240968722412, -75.55802108923336",BIG SKY RANCH ANIMAL SANCTUARY,http://www.bigskyranch.ca/,BIGSKYRANCH@RIPNET.COM,,,
,,,BONNYVILLE AND DISTRICT S.P.C.A. (SOCIETY FOR THE PREVENTIONOF CRUELTY TO ANIMALS),http://www.bonnyvillespca.ca/,HEATHERBONNYVILLESPCA@GMAIL.COM,,,
,,"49.820927913991376, -99.91626531044264",BRANDON SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,http://brandonhumanesociety.ca/,BRANDONHUMANESOCIETY@GMAIL.COM,,,
,,,BRITISH COLUMBIA FOUNDATION FOR NON ANIMAL RESEARCH,http://www.bcfnar.org/,GURTON@SPCA.BC.CA,,,
,,"49.264421806258746, -123.07816386511844",BRITISH COLUMBIA SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,http://www.spca.bc.ca/,donations@spca.bc.ca,https://spca.bc.ca/about-us/contact-us/,,
,,,Calgary Animal Rescue Society,http://www.calgaryanimalrescue.com/,info@calgaryanimalrescue.com,,,
,,,Campbell River Partners for Animal Welfare Society,http://www.crpaws.ca/,CAMPBELLRIVERPAWS@GMAIL.COM,,,
,,"49.30853340658793, -123.04069902780626",Canadian Abused and Abandoned Animal Protection Society/Caps,,LIBER@TELUS.NET,,,
,,"51.087374759944154, -114.00903602783286",Canadian Animal Task Force Society,http://www.cataskforce.org/,generalinquiries@cataskforce.org,,,
,,"43.70715089725, -79.39946489011409",Canadian Coalition for Farm Animals (CCFA) / Coalition canadienne pour la protection des animaux de ferme (CCPAF),http://https//www.humanefood.ca/,vicki@humanefood.ca,Info@humanefood.ca,,
,,"43.668517487885836, -79.37046160038447",Cat Busters Animal Rescue,http://www.catbusters.wordpress.com/,CATBUSTERS00@YAHOO.CA,,,
,,"48.648487270422464, -123.39682198207942",Cat's Cradle Animal Rescue,http://www.catscradleanimalrescue.com/,CCAR@SHAW.CA,,,
,,"48.46434910302654, -68.4946458477154",Centre de services animaliers de Rimouski,http://www.csar.ca/,info@csar.ca,,,
,,,Claresholm Animal Rescue Society,http://www.claresholmcares.com/,CLARESHOLMCARES@GMAIL.COM,,,
,,"45.59040456817987, -73.5183276959113",Communauté droit animalier Québec - DAQ,http://daq.quebec/,info@daq.quebec,,,
,,"42.93302823406999, -79.15625906076272",Community Animal Allies of Niagara,http://www.caan-catmobile.org/,CAAN-CATMOBILE@HOTMAIL.COM,,,
,,,Companion Animal Rescue Effort,http://www.care-ca.org/,INFO@CARE-CA.ORG,,,
,,"42.68956240719254, -80.84528860250353",Country Charm Animal Rescue,http://www.facebook.com/Country-Charm-Animal-Rescue-830469070367250,countrycharm@eastlink.ca,,,
,,"48.635468445736265, -123.55651686602292",Cowichan Valley Animal Rescue Association,http://cvanimalrescue.weebly.com/,HOPEFUL.HEARTS@HOTMAIL.COME,,,
,,,Critteraid Animal Sanctuary Society,http://www.criteraid.org/,INFO@CRITTERAID.ORG,,,
,,"50.95547452288818, -113.97106608560165",CALGARY HUMANE SOCIETY FOR PREVENTION OF CRUELTY TO ANIMALS,http://www.calgaryhumane.ca/,CARRIE.FRITZ@CALGARYHUMANE.CA,,,
,,"49.28578573628165, -123.11601937973434",CANADIAN ANIMAL ASSISTANCE TEAM (CAAT),http://www.caat-canada.org/,CAAT7@SHAW.CA,,,
,,"49.12554570514171, -122.65416953594834",CANADIAN ANIMAL RESCUE & EXTENDED SHELTER SOCIETY,http://www.carescatshelter.com/,CCBRINER@TELUS.NET,,,
,,"49.152784187036396, -122.31592256556074",CANADIAN DISASTER ANIMAL RESPONSE TEAM SOUTHWEST BC SOCIETY,http://www.cdart.org/,INFO@CDART.ORG,,,
,,"52.30342764298902, -113.8036200371691",CENTRAL ALBERTA HUMANE SOCIETY (FOR THE PREVENTION OF CRUELTY TO ANIMALS),http://www.cahumane.com/,executivedirector@cahumane.com,,,
,,"49.162132013336986, -121.84514796678087",CHILLIWACK ANIMAL SAFE HAVEN SOCIETY,https://chilliwacksafehaven.com/contact/,chwkanimalsafehaven@gmail.com,,,
,,"49.35259805063482, -123.41129372640043",COAST ANIMAL WELFARE & EDUCATION SOCIETY (C.A.W.E.S.),http://cawes.org/,INFO@CAWES.ORG,,,
,,,COMPANION ANIMAL PROTECTION SOCIETY ANNAPOLIS COUNTY,http://www.caps-annapolis.org/,INFO.CAPS@EASTLINK.CA,,,
,,"49.21314578775221, -123.03088306540074",COMPANION ANIMAL RESOURCES & EDUCATIONAL SERVICES SOCIETY,http://caresbc.org/,RITA@TELUS.NET,,,
,,"44.151926284154484, -81.02931681982109",Dogs and Cats of the DR Animal Rescue,http://www.dogsandcatsdr.com/,info@dogsandcatsdr.com,,,
,,"49.050973187459405, -122.33716165534229",Embrace A Discarded Animal Society,http://www.embracesociety.ca/,LESLIE.FEE@GMAIL.COM,,,
,,"44.73502858401185, -62.88680313850271",EARTHANIMAL HUMANE EDUCATION AND RESCUE SOCIETY,,EARS600@GMAIL.COM,,,
,,"53.598021513215436, -113.60456423662747",EDMONTON HUMANE SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,http://edmontonhumanesociety.com/,CDOBRANOWSKI@EDMONTONHUMANESOCIETY.COM,,,
,,"44.65174062694235, -63.57859067151122",Fly With Me Animal Rescue,http://www.flywithmeanimalrescue.com/,flywithme.animalrescue@gmail.com,,,
,,"52.310455410028815, -113.8425818361631",Fostering Hope Animal Rescue Foundation,http://www.fosteringhoperescue.com/,fosteringhoperescue@gmail.com,,,
,,"56.66023761851085, -111.32954353806784",FORT MCMURRAY SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,http://www.fmspca.ca/,ED@FORTMCMURRAYSPCA.CA,,,
,,"43.73863983339378, -79.69711421723446",Global Pets & Animals Foundation / La fondation pour animauxGlobal,http://globalpetfoods.com/,SFOTAK@GLOBALBANCORP.CA,,,
,,"43.92325806231391, -79.46049659692933",Gordon and Patricia Gray Animal Welfare Foundation,,GORDGRAY@GRANITECONDOS.COM,,,
,,,Greater Edmonton Animal Rescue Society (GEARS),http://www.edmontonanimalrescue.org/,info@edmontonanimalrescue.org,,,
,,,Gwaii Animal Helpline Society,http://www.gwaiianimalhelpline.com/,gwaiianimalhelpline@gmail.com,,,
,,,GREATER VICTORIA ANIMALS CRUSADERS,http://www.animalcrusaders.ca/,INFO@ANIMALCRUSADERS.CA,,,
,,,GREY Bruce Animal Shelter,http://GREY BRUCEANIMALSHELTER.COM,GB-ANIMALSHELTER@HOTMAIL,,,
,,,Humboldt and District Society for Prevention of Cruelty to animals Inc.,,HDSPCA@SASKTEL.NET,,,
,,,HAPPY VALLEY-GOOSE BAY SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,http://www.spca-hvgb.com/,SPCA-HUGB@HOTMAIL.COM,,,
,,,HARVEST SKY ANIMAL RESCUE SOCIETY,http://www.hannaspca.com/,INFO@HANNASPCA.COM,,,
,,,HIGHLAND ANIMAL RELIEF TEAM INC.,http://www.hartnamimalrelief.ca/,HARTTREASURER@GMAIL.COM,,,
,,"53.57740874559647, -113.55706511592061",HUMANE ANIMAL RESCUE TEAM SOCIETY (HARTS),http://www.humaneanimalrescueteam.ca/,WANDCTISCHER@SHAW.CA,,,
,,,In the Woods Animal Rescue Society,http://inthewoodsrescue.com/,INTHEWOODS@ZOHO.COM,,,
,,"49.21212937597865, -122.92048980087122",International Aid for Animals Foundation,http://www.iafaf.org/,intaid4animals@gmail.com,,,
,,"50.516656227672954, -116.03039771234204",Invermere Companion Animal Network Society,http://www.icanbc.com/,INFO@ICANBC.COM,,,
,,,Kaws Animal Rescue Inc.,http://www.kaws.ca/,KAWS@LIVE.CA,,,
,,"44.252452951778515, -76.6090686969959",Kingston Animal Rescue,http://www.kingstonanimalrescue.com/,INFO@KINGSTONANIMALRESCUE.COM,,,
,,"49.22958154981662, -122.61297791809214",KATIE'S PLACE DOMESTIC ANIMAL RESOURCE AND EDUCATION SOCIETY,http://www.katiesplaceshelter.com/,KATIES.PLACE@SHAW.CA,,,
,,,KCS Animal Rescue Society,http://www.kcsanimalrescue.com/,kcsanimalrescuesociety@gmail.com,,,
,,"43.13637383801783, -80.24859014823546",Ladybird Animal Sanctuary,http://www.ladybirdanimalsanctuary.com/,ladybirdanimalsanctuary@gmail.com,,,
,,,Lakes Animal Friendship Society,http://www.lakesanimalfriendship.ca/,ALISTAIR@LAKESANIMALFRIENDSHIP.CA,,,
,,"45.852665904758645, -65.85080997825234",Lily's Place Animal Sanctuary,http://lilysplace.ca/,hello@lilysplace.ca,,,
,,,Little Mittens Animal Rescue Association,http://www.littlemittens.org/,littlemittensrescue@gmail.com,,,
,,"45.394729730885075, -75.83311650937016",LA SOCIÉTÉ POUR LA PRÉVENTION CONTRE LA CRUAUTÉ ENVERS LES ANIMAUX DE L'OUEST DU QUÉBEC/THE SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS OF WESTERN QUEBEC,http://www.aylmer-hull-spca.qc.ca/,ahspca@storm.ca,info@spca.com,,
,,"46.80455613230857, -71.29892619991067",LA SOCIÉTÉ POUR LA PRÉVENTION CONTRE LA CRUAUTÉ ENVERS LES ANIMAUX DE L'OUEST DU QUÉBEC/THE SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS OF WESTERN QUEBEC,,info@spca.com,,,
,,"45.49588385412793, -73.65206548786814",LA SOCIÉTÉ POUR LA PRÉVENTION CONTRE LA CRUAUTÉ ENVERS LES ANIMAUX DE L'OUEST DU QUÉBEC/THE SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS OF WESTERN QUEBEC,http://spca.com/,info@spca.com,,,
,,"44.39049153189527, -78.28855936271265",LAKEFIELD ANIMAL WELFARE SOCIETY,http://www.lakefieldanimalwelfare.org/,INFO@LAKEFIELDANIMALWELFARE.ORG,,,
,,"44.916678646878715, -76.06626278735942",LANARK ANIMAL WELFARE SOCIETY,http://www.lanarkanimals.ca/,SHELTER@LANARKANIMALS.CA,,,
,,"49.10225326948914, -122.49738521831348",LANGLEY ANIMAL PROTECTION SOCIETY,http://www.lapsbc.ca/,INFO@LAPSBC.CA,,,
,,"49.689235380595875, -112.87834248701562",LETHBRIDGE PEOPLE FOR ANIMAL WELFARE (PAW) SOCIETY,http://www.pawsociety.com/,PAWSOCIETY@SHAW.CA,,,
,,"44.20597738128596, -76.89246039781273",LILLIAN ALLBON CUMBERLAND COUNTY ANIMAL SHELTER,http://www.laanimalshelter.ca/,laanimalshelter@seasidehighspeed.com,,,
,,"49.28093279774383, -122.74195559910237",LOWER MAINLAND NETWORK FOR ANIMALS SOCIETY,http://network4animals.com/,LMN4ANIMALS@HOTMAIL.COM,,,
,,,Mozart Sympawthy Animal Sanctuary Inc.,,lauriebourgeois1963@gmail.com,mozartsympathy@gmail.com,,
,,"44.645444950972134, -63.58501225892056",MARINE ANIMAL RESPONSE SOCIETY,http://www.marineanimals.ca/,MARS@MARINEANIMALS.CA,,,
,,,MUDHUSKIES ANIMAL SHELTER,,JUDITHCONNOR@YAHOO.COM,,,
,,"51.0464252722331, -113.38140143058928",No Borders Animal Rescue Society (NOBARS),,ROBIN.NOBARS@GMAIL.COM,,,
,,"49.67280342493807, -112.8706631002975",No-Kill Animal Association of Lethbridge,,lethbridge.noka@gmail.com,,,
,,,North Mountain Animal Sanctuary Society,http://www.nmas.ca/,info@nmas.ca,,,
,,,Northern Animal Rescue Inc.,http://www.northernanimalrescue.ca/,NORTHERNANIMALRESCUE@GMAIL.COM,,,
,,,NANTON & DISTRICT ANIMAL PROTECTION SOCIETY,http://www.nantonanimalprotection.com/,JOHNSON4@TELUSPLANET.NET,,,
,,"43.162931434375935, -79.24772167797589",NIAGARA ACTION FOR ANIMALS,http://www.niagaraactionforanimals.org/,niagaraactionforanimals@sympatico.ca,,,
,,,NORTHWEST ANIMAL SHELTER SOCIETY,http://www.nwas.ca/,INFO@NWAS.CA,,,
,,,Off The W.A.L. Animal Rescue,http://www.offthewalanimalsrescue.com/,OFFICEWALANIMALSRESCUE@GMAIL.COM,,,
,,"43.921787951626065, -79.45991156592007",Olivia Baloo's Animal Rescue,http://www.oliviabaloo.com/,hello@oliviabaloo.com,,,
,,"48.37895297658853, -64.5626970174776",Organisme d'aide animale espoir câlin MRC Rocher-Percé,http://www.oaaespoircalin.com/,oaa.espoircalin@hotmail.com,,,
,,"43.41005872639592, -81.06387651084373",Out of the Ashes Large Animal Rescue (OALAR),http://animalrescuedonate.wixsite.com/website,animalrescuedonate@gmail.com,ahurst@luckhart.com,,
,,"43.12951341028654, -80.76003735856388",Oxford County Animal Rescue,http://www.oxfordcountyanimalrescue.com/,INFO@OXFORDCOUNTYANMALRESCUE.COM,,,
,,"44.048217875621134, -79.4035756600093",ONTARIO SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,http://www.ontariospca.ca/,dhealey@ontariospca.ca,,,
,,"44.11179755503912, -79.28829807153878",ORA-ORGANIZATION FOR THE RESCUE OF ANIMALS,http://www.ora-animalsrescue.org/,VECCHIOCT@AOL.COM,,,
,,"49.15277750509879, -122.31591869885175",Pacific Volunteer Education and Assistance Team for Animals Society,,VEATASOCIETY@GMAIL.COM,,,
,,,Paws for Hope Animal Foundation,http://www.pawsforhope.org/,INFO@PAWSFORHOPE.ORG,,,
,,,People for Animals of Saskatchewan Inc.,http://www.reginacatrescue.com/,INFO@REGINACATRESCUE.COM,,,
,,,Pets Alive Animal Rescue Niagara Inc.,http://www.petsalivniagara.ca/,petsaliveniagara@gmail.com,,,
,,"44.31197003641096, -77.74469440750757",Promised Land Animal Sanctuary,,promisedlandanimalsanctuary@gmail.com,,,
,,"53.577003986047856, -113.45682379747791",Providing Animals with Safety for Life Foundation,http://www.paws-rescue.com/,PAWSRESCUE@HOTMAIL.COM,,,
,,"49.330156186077986, -123.06283555917993",PACIFIC ANIMAL FOUNDATION,http://www.pacificanimal.org/,ADMIN@PACIFICANIMAL.ORG,,,
,,"48.443143122373975, -123.37020913770924",PACIFIC ANIMAL THERAPY SOCIETY,http://patspets.ca/,INFO@PATSPETS.CA,,,
,,,PAWPRINTS ANIMAL RESCUE FOUNDATION,http://pawprintsanimalrescue.org/,PAMELA@PAWPRINTSANIMALRESCUE.ORG,,,
,,,PAWS AND CLAWS ANIMAL RESCUE FOUNDATION,http://www.pawsandclawsanimalrescue.ca/,JANET@PAWSANDCLAWSANIMALRESCUE.CA,,,
,,"56.23934323265779, -117.29762117509306",PEACE RIVER SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,,PRSPCA@TELUSPLANET.NET,,,
,,"48.80338830538211, -123.27615678971748",PENDER ANIMAL WELFARE SOCIETY,,MAUREEN.S.STONE@GMAIL.COM,,,
,,"43.63986542693706, -79.39372696774647",PNPC Animal Rescue,http://www.pnpc.ca/,PNPCANIMALRESCUE@GMAIL.COM,jeremy@pilots4paws.com,,
,,"49.97451585481469, -98.27361216450524",PORTAGE ANIMAL WELFARE SOCIETY INC.,http://www.portageanimalwelfaresociety.com/,PORTAGEANIMALWELFARESOCIETY@HOTMAIL.COM,,,
,,"44.23931822908889, -79.46909956239719",PROMOTING ANIMAL WELFARE SOCIETY (P A W S ) OF GEORGINA,http://www.pawsofgeorgina.com/,PAWS@PAWSOFGEORGINA.COM,,,
,,,PROTECTING ANIMAL LIFE SOCIETY (P.A.L.S.),http://www.nakusppals.com/,NAKUSP.PALS@GMAIL.COM,,,
,,"48.904328851909234, -123.7025501921264",R.A.S.T.A. (RESCUE AND SANCTUARY FOR THREATENED ANIMALS),http://www.rastarescue.org/,RASTASANCTUARY@GMAIL.COM,,,
,,"49.18870128275365, -123.06865186073344",Regional Animal Protection Society,http://www.rapsbc.com/,ADMIN@RAPSBC.COM,info@rapsbc.com,,
,,,Rocky Mountain Animal Rescue Foundation,http://rockymountainanimalrescue.com/,ROCKYMOUNTAINANIMALRESCUE@GMAIL.COM,,,
,,,Rocky Organization for Animal Rescue Society,http://www.roarsociety.ca/,ROARSOCIETY@YAHOO.CA,,,
,,,RESEAU SECOURS ANIMAL (R.S.A.)/ANIMAL RESCUE NETWORK (A.R.N.),http://www.animalrescuenetwork.org/,communications.rsa.arn@gmail.com,,,
,,,RESPONSIBLE ANIMAL CARE SOCIETY,http://www.tracs-bc.ca/,INFO@TRAC-BC.CA,,,
,,"48.90265715446314, -123.3487491607173",REST.Q ANIMAL SANCTUARY SOCIETY,http://www.restqsanctuary.org/,INFO@RESTQSANCTUARY.ORG,,,
,,"53.48420701244047, -113.48012655554284",Saving Animals From Euthanasia Team Edmonton Society,http://www.safeteam.ca/,SAFETEAMFUNDRAISER@HOTMAIL.COM,,,
,,"49.02300036004956, -122.71260306013632",Society of Semiahmoo Animal League,http://www.sali.ca/,KERYN@SALI.CA,,,
,,,Swan Valley Animal Protection League Incorporated,,KAT31@LIVE.CA,,,
,,,SALISH PEOPLES ANIMAL WELFARE SOCIETY,,Salishpaws@gmail.com,,,
,,,SASKATCHEWAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,http://www.sspca.ca/,FRANCES@SSPCA.CA,,,
,,"52.046837843399544, -106.64755789004458",SASKATOON SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS INC.,http://www.saskatoonspca.com/,EXECUTIVEDIRECTOR@SASKATOONSPCA.COM,,,
,,"49.20958990468387, -122.82630103723092",SAVE ANIMALS THROUGH RESCUE AND ADOPTION (S.A.R.A),http://sarasociety.com/,SARASOCIETY@GMAIL.COM,,,
,,"42.31964856340534, -82.98092763266264",SECOND CHANCE ANIMAL RESCUE OF WINDSOR-ESSEX COUNTY,http://www.scarescue.org/,info@scarescue.org,,,
,,,SECOND CHANCE ANIMAL RESCUE SOCIETY,http://www.scarscare.ca/,scars@scarscare.ca,,,
,,"49.1739008352246, -122.28482324488287",SENIOR ANIMALS IN NEED TODAY SOCIETY,http://www.saintsrescue.ca/,CJHINE@SHAW.CA,,,
,,,SOCIETE QUEBECOISE POUR LA DEFENCE DES ANIMAUX QUEBEC SOCIETY FOR THE DEFENCE OF ANIMALS,http://www.sqda.org/,SQDA1976@GMAIL.COM,info@sqda.org,,
,,,SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS SWIFT CURRENT BRANCH,http://www.spcaswiftcurrent.com/,DQUEBEC@SASKTEL.NET,infospcaswiftcurrent@gmail.com,infospcaswiftcurrent@gmail.com,
,,,STERI-ANIMAL,http://www.steri-animal.petfinder.org/,LINDA.H@SYMPATICO.CA,,,
,,"42.33190590280954, -82.94721051957502",T.L.C. ANIMAL AID,http://tlcanimalaid.org/,BAXIBOL@YAHOO.CA,,,
,,"51.2925394327763, -114.01297712424811",Tails to Tell Animal Rescue Shelter Ltd.,http://www.tailstotell.ca/,INFO@TAILSTOTELL.CA,,,
,,"51.0783338618188, -115.31922903881494",The Bow Valley Society for the Prevention of Cruelty to Animals,http://www.bowvalleyspca.org/,INFO@BOWVALLEYSPCA.ORG,,,
,,,The Parsons Animal Rescue Foundation,http://www.daynahammond.com/home/our-rescue-foundation,info@daynahammond.com,,,
,,"53.570748844676395, -113.62912805507692",THE ALBERTA SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,http://albertaspca.org/,ACCTNG.MGR@ALBERTASPCA.ORG,,,
,,,THE ANIMAL CANCER THERAPY SUBSIDIZATION SOCIETY (ACTSS),http://www.actssalberta.ca/,info@actssalberta.ca,,,
,,"44.0343583692918, -78.8088881134376",THE ANIMAL GUARDIAN SOCIETY,http://animalguardian.org/,TAGSINFO@YAHOO.CA,tagsinfo@animalguardian.org,,
,,"48.92771877560563, -57.9934048326802",THE BAY OF ISLANDS SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS CORP.,http://nlwestspca.com/,NLWESTSPCA@GMAIL.COM,,,
,,"45.33109532780212, -75.72317339065161",THE CANADIAN FOUNDATION FOR ANIMAL-ASSISTED SUPPORT SERVICES / LA FONDATION CANADIENNE DES SERVICES DE SOUTIEN ASSISTÉS PAR ANIMAUX,http://www.cf4aass.org/,GENERALINFO@CF4AASS.ORG,community@cf4aass.org,,
,,"43.7968085851759, -79.13143713034555",THE ELSA WILD ANIMAL APPEAL OF CANADA,http://www.elsacanada.com/,INFO@ELSACANADA.COM,,,
,,"42.929687768788064, -78.92968368318786",THE FORT ERIE SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,http://forteriespca.org/,ADMIN@FORTERIESPCA.CA,info@forteriespca.ca,,
,,"43.18372576731094, -79.83399612126132",THE HAMILTON/BURLINGTON SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,http://www.hbspca.com/,mbarlow@hbspca.com,info@hbspca.com,,
,,,THE NORTHERN ONTARIO ANIMAL WELFARE SOCIETY,http://www.noaws.com/,LINDA@NOAWS.COM,adoptions@noaws.com,,
,,"49.27797259588812, -123.09719774645014",THE ONLY ANIMAL THEATRE SOCIETY,http://www.theonlyanimal.com/,INFO@THEONLYANIMAL.COM,,,
,,"47.6224682991416, -52.73025900284279",THE SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS (NEWFOUNDLAND & LABRADOR),http://www.spcastjohns.org/,DIRECTOR@SPCASTJOHNS.ORG,info@spcastjohns.org,,
,,"49.84758735267522, -97.17554955282327",THE WINNIPEG HUMANE SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,http://www.winnipeghumanesociety.ca/,SHAWNEM@WINNIPEGHUMANESOCIETY.CA,reception@winnipeghumanesociety.ca,,
,,,Valley Animal Rescue,http://www.valleyanimalrescue.ca/,VALLEYANIMALRESCUE@HOTMAIL.COM,,,
,,"44.26293767750443, -77.133918320533",VALLEY CAT ANIMAL SANCTUARY,,PCG3SMP_2000@YAHOO.CA,,,
,,"46.81548954760194, -67.44509952725323",VICTORIA COUNTY ANIMAL SHELTER INC.,,SISSONRIDGE@GMAIL.COM,,,
,,"48.428307655259744, -123.3272892824494",VOICE OF CONCERN FOR ANIMAL LIFE SOCIETY,,INFO@VOCALVICTORIA.COM,,,
,,"43.70757119301623, -79.39573904224811",World Society for the Protection of Animals Canada /Société mondiale pour la protection des animaux Canada,http://worldanimalprotection.ca/,INFO@WORDANIMALPROTECTION.CA,,,
,,"50.00397984764808, -124.72753189108825",WEST COAST ANIMALS FOR COMMUNITY CARE AND EMOTIONAL SUPPORT SOCIETY,,ACCESSDOGS@GMAIL.COM,,,
,,,WHISTLER ANIMALS GALORE SOCIETY,http://www.whistlerwag.com/,WAG@WHISTERWAG.COM,,,
