MAP,NAME,WEB PAGE,EMAIL,EMAIL 2,EMAIL 3,EMAIL 4
"38.18738960489201, 15.55809304462587",ASSOCIAZIONE AMICI DEL CANE ONLUS,https://www.amicidelcaneonlus.it/,siciliamicidelcane@gmail.com,,,
"45.04598049844643, 8.682704455329606",Animabau,https://www.facebook.com/people/Animabau/100050808083930/?paipv=0&eav=AfbWTERSDodOh-VDL0Q5IShjUcZ6ng5NxMdgUDO_TPBXwh7FDaHg-XaZNAeeAeqODRU&_rdr,Animabau.2012@gmail.com,,,
"37.97366757536748, 16.088864019986183",Animal Empathy Onlus,https://www.facebook.com/animalempathyonlus/?locale=it_IT,animalempathyonlus@gmail.com,,,
"37.30895215870375, 13.588955059009347",ASSOCIAZIONE ANIMALISTA ARONNE,https://www.associazionearonne.it/,sandro.fanara@associazionearonne.it,emanuele.cipolla@associazionearonne.it,,
"41.90867589999433, 12.452156881104345",ASSOCIAZIONE ANIMALISTA FRANCA VALERI ONLUS,https://www.facebook.com/associazioneanimalistafrancavaleri/,assfrancavaleri@gmail.com,,,
"38.91772928958681, 16.587802476401237",ASSOCIAZIONE ANIMALISTI ATTIVI ONLUS,https://www.facebook.com/animalisti.attivionlus/?locale=it_IT,animalistiattivionlus@gmail.com,,,
"41.86800623345072, 12.52783041863205",ASSOCIAZIONE ANIMALISTI ITALIANI,https://animalisti.it/,segreteria@animalisti.it,news@animalisti.it,,
"44.54424760548749, 11.007287820912168",ASSOCIAZIONE BENESSERE ANIMALE,https://associazionebenessereanimale.it/,info@associazionebenessereanimale.it,,,
"45.30138291554604, 7.641407188204403",ASSOCIAZIONE CASA DEL CANE VAGABONDO,https://casadelcanevagabondo.wordpress.com/,casadelcanevagabondo@libero.it,,,
"44.2924816123983, 11.009881303804915",ASSOCIAZIONE CULTURALE CIRCOLO CINOFILO SLEGA IL CANE,https://www.facebook.com/slegailcane/?locale=it_IT,chiaravita@gmail.com,,,
,Rifugio dei picciriddi,https://www.facebook.com/rifugiodeipicciriddi/,picciriddisfortunati@gmail.com,,,
"45.48234119390986, 9.269600652050784",ASSOCIAZIONE GATTOFILA SEGRATESE ONLUS,https://gattofilasegratese.jimdofree.com/,gattofila.segratese@tiscali.it,,,
"44.75972584859084, 8.783219709021513",G.E.A. Animal’s Land,http://www.geanimalsland.it/,info@geanimalsland.it,,,
"44.83097591223603, 7.746114689672361",ASSOCIAZIONE GLI AMICI DI WOLF,https://www.amicidiwolf.com/,amicidiwolf@gmail.com,,,
"41.431949474360735, 14.202542314415522",Associazione la fattoria del cane ciuk onlus,https://www.facebook.com/fattoriadelcaneciuk/,onlusfattoriadelcane@gmail.com,,,
"44.445685602968304, 11.818935141799342",La Signora degli Animali Onlus,https://la-signora-degli-animali-onlus.business.site/,lasignoradeglianimalionlus@gmail.com,,,
"46.169176381737756, 12.25077122469671",ASSOCIAZIONE PROTEZIONE ANIMALI E CANI ABBANDONATI APACA,https://www.associazioneapaca.eu/chi-siamo-2/gli-organi-statutari/,rifugioapaca@gmail.com,,,
"45.52540984387454, 11.327030900506006",Associazione Gli Amici di Lazzy,https://www.facebook.com/associazionegliamicidilazzy/?locale=it_IT,gliamicidilazzy@gmail.com,,,
"44.71717866128612, 10.328290426583687",Zampe Alla Riscossa Onlus,https://www.facebook.com/associazione.zar/?locale=it_IT,associazione.zar@libero.it,,,
"45.81418170791829, 9.084693614388257",Associazione Cavalli del Bisbino ONLUS,http://cavallidelbisbino.com/,associazione@cavallidelbisbino.ch,,,
"38.51929700102418, 14.943398206915376",Cuori Randagi ONLUS,https://www.cuorirandagi.org/,associazione@cuorirandagi.org,,,
"37.5374415598702, 15.083200359466982",ENTE DI TUTELA ANIMALE L'ALTRA ZAMPA,http://www.laltrazampa.it/,info.laltrazampa@gmail.com,,,
"41.85735374854801, 12.407506692456998",Fattoria di Chiara e Arianna ONLUS,https://www.fattoriadichiaraearianna.com/,fattoriadichiaraearianna@gmail.com,,,
"45.75411171958691, 7.610308575186137",FIENILE ANIMATO,http://www.fienileanimato.it/,info@fienileanimato.it,,,
"43.400387923265896, 10.841292944495407",G.A.VOL. GRUPPO ANIMALISTI VOLTERRA ORGANIZZAZIONE DI VOLONTARIATO,https://www.gavolonlusvolterra.it/chi-siamo/,gavol2007@libero.it,,,
"45.06479326853079, 7.49812390156242",La Terra dei Cavalli,https://www.laterradeicavalli.com/,nellaterradeicavalli@hotmail.it,,,
"45.942164478503024, 11.112915623120866","Associazione Animalista ""Le Fusa"" O.N.L.U.S.",http://www.associazionelefusa.it/,info@associazionelefusa.it,,,
"42.13459662595836, 12.55022368306986",NON SOLO VITA DA CANI ONLUS,https://www.vitadacani.org/,info@vitadacani.org,,,
"45.36664736280717, 11.001000510232926",OMNIA LIBERA PROTEZIONE AMBIENTE E ANIMALI ONLUS,https://www.facebook.com/omnialibera/?locale=it_IT,info@omnialibera.com,,,
"43.81035254323221, 11.280487289954031",PRO ANIMALS ONLUS,http://proanimalsonlus.proanimals.it/,info@proanimals.it,,,
"42.74045624356882, 11.031662308749683",ONLUS proteggiamo i nostri amici animali in Maremma,https://www.facebook.com/people/ONLUS-proteggiamo-i-nostri-amici-animali-in-Maremma/100068494837208/?paipv=0&eav=AfaPp81MtmC7ENcPYW3VVlFBludpIG4ZhAs9PZdMfOzGwJIzJd81TPY79xA8J2kka8U&_rdr,serenaarri1975@gmail.com,,,
"44.81284498523232, 9.959027614133934",Rescue Boxer La Fenice Onlus,https://adozioniboxer.it/,sostieni.fenice.boxer@gmail.com,,,
,Rifugio per cani Agrilia,https://www.rifugiopercaniagrilia.org/,agrilia@agrilia.it,,,
"44.976882202965356, 7.757681240085209",Rifugio Ramondetti Cassardo Onlus,https://www.facebook.com/RifugioRamondettiCassardoOnlus/?locale=it_IT,posta@rifugiotrofarello.org,,,
,Un rifugio da salvare,https://www.facebook.com/sosprimosoccorsocaniegatti/?locale=it_IT,sosprimosoccorso@libero.it,,,
"45.467715747067736, 10.146656907083353",Telefono Difesa Animali O.D.V.,https://www.telefonodifesaanimali.it/,info@telefonodifesaanimali.it,segreteria@telefonodifesaanimali.it,,
"45.03270717882052, 8.522307098625475",Associazione Un Cane per Sorridere Onlus,https://www.uncanepersorridere.it/,info@uncanepersorridere.it,,,
"39.23263805375127, 9.0942366803818",Vita Da Gatti - Cagliari,https://www.facebook.com/profile.php?id=100064520838960&locale=it_IT,vitadagattionlus@gmail.com,,,
,VITA Randagia ONLUS - Volontari Italiani Tutela Animali,https://www.facebook.com/vitarandagia/,Vitarandagia@hotmail.com,,,
,Zampa Siciliana onlus,https://www.facebook.com/Zampasiciliana/?locale=it_IT,Zampsicilianaonlus@libero.it,,,
"45.84899833733068, 9.36418438497019",Zampamica Lecco ODV,https://www.zampamica2010.org/,zampamicalecco@gmail.com,,,
"41.675266086459295, 12.689361542471133",Zampe Felici Onlus,https://www.facebook.com/zampefelicionlus/,taniazampefelici@gmail.com,,,
"45.419244856862896, 12.140424434342982",4 zampe in riviera onlus,https://www.facebook.com/4zampeinriviera/,4zampeinriviera.onlus@gmail.com,,,
"40.83794146538207, 14.218378280438502",Associazione Rifugio del Cane San Francesco Onlu,http://www.rifugiosanfrancesco.it/,info@rifugiosanfrancesco.it,#ERROR!,,
"45.49829435340776, 7.97242681126994",Il Rifugio degli Asinelli ONLUS,https://www.ilrifugiodegliasinelli.org/,info@ilrifugiodegliasinelli.org,,,
