,,,,,,,,
,,,,,,,,
,,,NAME,WEB PAGE,EMAIL,EMAIL 2,EMAIL 3,EMAIL 4
,,"-28.329676833715336, 153.40131517726022",Friends of the Pound Tweed Inc.,https://friendsofthepound.com/,strichte@bigpond.net.au,levchapman1969@gmail.com,,
,,,Best Friends Pet Rescue (Wagga Wagga),https://bfpr.org.au/,info@bestfriendspetrescue.org.au,,,
,,,Siberian Husky Rescue Club of NSW (Wentworthville),http://www.shcnsw.org.au/,mikulovau@gmail.com,,,
,,,No Kill Pet Rescue (West Ryde),,nokilldogrescue@gmail.com,,,
,,"-12.42614565031261, 130.88217679872454",PAWS Darwin,https://pawsdarwin.org.au/,pawsdarwinteam@gmail.com,,,
,,,Beagle Rescue QLD,https://www.beaglerescueqld.com.au/,president@brendanh9.sg-host.com,publicity@brendanh9.sg-host.com,,
,,"-27.084692903676622, 152.98718521040988",Caboolture and District Animal Welfare Inc,https://caboolturebribieanimalwelfare.com.au/,teamcadawi@gmail.com,,,
,,,Capricorn Animal Aid,https://www.capricornanimalaid.org.au/,capricornanimalaid@gmail.com,,,
,,,Cavy Angel's Guinea Pig Rescue,https://www.cavyangelsguineapigrescue.com/,https://www.cavyangelsguineapigrescue.com/contact-us.php,,,
,,,Chihuahua Rescue Queensland,https://www.chihuahuarescueqld.com.au/,chihuahuarescueqld@gmail.com,,,
,,,Cocker Spaniel Rescue QLD,https://www.cockerspanielrescue.com.au/,admin@cockerspanielrescue.com.au,,,
,,,Crazy Cat Lady Rescue Queensland,https://www.facebook.com/crazycatladyqld/,crazycatladyqld@outlook.com,,,
,,,Deathrow Unchained Animal Rescue,https://www.facebook.com/deathrowunchained/,sanctuary@deathrowunchained.org,,,
,,,"ACS, Australian Cavy Sanctuary (Brisbane)",https://www.australiancavysanctuary.org/,acsmelbourne@gmail.com,,,
,,,Best Friends Refuge Rescue (Brisbane),https://www.bestfriendsrescue.com/,bfr@bestfriendsrescue.com,,,
,,,Little Paws Kitten Rescue (Brisbane),https://www.littlepawskittenrescue.org.au/,littlepawskr@gmail.com,,,
,,,Queensland Staffy and Amstaff Rescue (Brisbane),https://www.qldstaffyandamstaffrescue.org.au/,https://www.qldstaffyandamstaffrescue.org.au/contact,,,
,,,Brisbane Valley Cat Rescue,https://brisbanevalleycatrescue.com/,buster02@westnet.com.au,,,
,,,Cat Connections HQ,https://www.facebook.com/catconnectionshq/,cchq.bundy@yahoo.com.au,,,
,,,Cairns Animal Rescue Inc.,https://cairnsanimalrescue.org.au/,cairnsanimalrescue@gmail.com,,,
,,,Little Legs Cat & Dog Rescue,https://www.llsqld.com.au/,president@llsqld.com.au,fundraising@llsqld.com.au,,
,,,"AWLQ, Animal Welfare League Queensland (Helensvale Town Centre)",https://www.awlqld.com.au/,communications@awlqld.com.au,,,
,,"-16.998254989008775, 145.42349016272237",Animal Rescue Tablelands Inc,https://animalrescuetablelandsinc.net/,https://animalrescuetablelandsinc.net/contact,,,
,,"-27.242672375613015, 153.0739988217185","PAA, Peninsula Animal Aid (Margate)",https://peninsulaanimalaid.com.au/,paa@peninsulaanimalaid.com.au,,,
,,,4 Paws Animal Rescue (Maroochydore),https://www.4pawsanimalrescue.org.au/,4paws@4pawsanimalrescue.org.au,,,
,,,Bull Arab Rescue,https://www.bullarabrescue.com.au/,bullarabrescue@outlook.com,,,
,,"-16.82326521956362, 145.70633508458155",YAPS - Young Animal Protection Society (Smithfield Cairns),https://www.yaps.org.au/,pets@yaps.org.au,yapssmithfield@gmail.com,,
,,"-26.73322090102701, 153.0437150331947",Sunshine Coast Animal Refuge (Tanawha),https://sippycreek.com.au/,marketing@sippycreek.com.au,manager@sippycreek.com.au,,
,,"-34.25989607202461, 140.35155920547703",Moorook Animal Shelter,http://www.moorookanimalshelter.com.au/,info@moorookanimalshelter.com.au,,,
,,,Cat Adoption Foundation Incorporated,https://cafinc.org.au/,info@cafinc.org.au,,,
,,"-34.842417480468875, 138.54070933846378","AWL, Animal Welfare League of South Australia (Wingfield)",https://awl.org.au/,support@awl.org.au,,,
,,,Rescue Cats Safe Haven Inc,https://rescuecatssafehaven.com.au/,rescuecatsafehaven@gmail.com,,,
,,"-42.8487916567289, 147.31838280915233",Ten Lives Cat Centre,https://tenlives.com.au/index.html,info@tenlives.com.au,,,
,,,Big Ears Animal Sanctuary Inc. (Prospect),https://www.bigearsanimalsanctuary.com/,https://www.bigearsanimalsanctuary.com/contact/,,,
,,,All 4 Paws Dog Rescue Inc,https://www.all4pawsdogrescue.com.au/,all4pawsdogrescue@gmail.com,,,
,,,Arctic Rescue Victoria Inc,https://arcticrescue.org.au/,contact@arcticrescue.org.au,,,
,,,Australian Animal Rescue Inc,http://www.australiananimalrescue.org.au/main.html,Info@australiananimalrescue.org.au,,,
,,,Australian K9 Rescue Vic,https://www.facebook.com/Australiank9rescuevic/,australiank9rescuevic@gmail.com,,,
,,,Cheltenham Cat Rescue,https://www.cheltenhamcatrescue.org.au/,natasha@cheltenhamcatrescue.org.au,,,
,,,Cindys Promise - rescue & rehab inc,https://www.cindyspromise.org/,admin@cindyspromise.org,,,
,,"-37.95453687748344, 145.19085409543948",admin@cindyspromise.org,https://www.dandycatrescue.org.au/,dandycatrescue@yahoo.com,,,
,,,Dreamer's Hen Rescue,https://www.facebook.com/dreamershenrescue/,Dhenrescue@gmail.com,,,
,,"-36.625519132575135, 144.3298451423688","BAWCS, Bendigo Animal Welfare & Community Services",https://www.bawcs.org.au/,admin@bawcs.org.au,,,
,,"-37.24589665916667, 145.04425692687036",Ingrids Haven (Broadford),https://www.ingridshaven.net.au/,iarving042@gmail.com,,,
,,,RSPCA Victoria (Burwood East),https://rspcavic.org/,volunteer@rspcavic.org.au,info@rspcavic.org.au,,
,,"-37.61686108441273, 144.9416015900428",Second Chance Animal Rescue (Campbellfield),https://secondchanceanimalrescue.com.au/,info@secondchanceanimalrescue.com.au,sarah@secondchanceanimalrescue.com.au,,
,"-37.8348490336868, 147.61886781183975","-37.72280416043054, 145.3967418434159",Animal Aid (Coldstream),https://animalaid.org.au/,enquiries@animalaid.org.au,aag@animalaid.org.au,aaeg@animalaid.org.au,
,,,"VicDRG, Victorian Dog Rescue and Resource Group Inc (Elsternwick)",https://www.victoriandogrescue.org.au/,office@victoriandogrescue.org.au,,,
,,,The Cat Corner (Ferntree Gully),https://www.thecatcorner.com.au/,enquiries@thecatcorner.com.au,,,
,,,Menagerie Manor Animal Rescue and Re-homing (Healesville),https://www.facebook.com/MenagerieManor.Greyhound.Awareness.and.Rehoming/,menagerie.manor@gmail.com,,,
,,"-37.848430488651374, 145.0424953754669",Save A Dog Scheme (Iris),https://saveadog.org.au/,admin@saveadog.org.au,,,
,,,Pug Rescue and Adoption Victoria Inc. (Knox City Centre),https://www.pugrescue.org.au/,info@pugrescue.org.au,,,
,,,Bast Cat Club (Melbourne),https://www.facebook.com/bastcatclub,bastcatclub@optusnet.com.au,,,
,,,Halfway Home Animal Rescue Inc. (Melbourne),https://www.halfwayhome.org.au/,info@halfwayhome.org.au,,,
,,"-37.844528212530385, 145.36200176785292",Runaway Rabbit Orphanage (Olinda),https://www.rabbitrunaway.org.au/,info@rabbitrunaway.org.au,,,
,,,Give a Kitty a Home Rescue Inc,https://gakah.org.au/,gakah@gmail.com,inquiries.gakah@gmail.com,,
,,,Blue Cross Animals Society of Victoria (Wonga Park),https://www.facebook.com/AnimalsBlueCross/,enquiries@bluecrossanimals.org.au,,,
,,,South Gippsland Animal Aid (Wonthaggi),http://www.animalaidsouthgippsland.org.au/,iancole1950@dodo.com.au,,,
,,"-37.355364557927125, 144.5294471540434",Pets Haven Animal Shelter (Woodend),https://petshaven.org.au/,shelter@petshaven.org.au,,,
,,,Canine Welfare Alliance of Australia,https://www.facebook.com/CanineWelfareAustralia/,caninewelfareaustralia@gmail.com,,,
,,,CJ Animal Rescue,https://www.facebook.com/profile.php?id=100064695336647,cjanimalrescue@gmail.com,,,
,,,Express Wildlife Rescue,https://www.facebook.com/Expresswildliferescue/,expresswildliferescue@amnet.net.au,,,
,,"-34.99510265966767, 117.87347810956285",Albany Animal Welfare,https://www.facebook.com/albanyanimalwelfare/,albanyanimalwelfare@gmail.com,,,
,,,"SAFE Perth, Saving Perth Animals from Euthanasia Inc (Joondalup)",https://www.safeperth.com.au/,info@safeperth.com.au,,,
,,,Armadale Community Animal Rescue Group Inc,https://www.facebook.com/ArmadaleCommunityAnimalRescueGroup/,ACARG.Rescue@gmail.com,,,
,,"-31.95739289143285, 115.79782818401654",Dogs' Refuge Home (Shenton Park),https://www.dogshome.org.au/,enquiries@dogshome.org.au,,,
,,"-32.119000703903836, 115.95528976368608",Animal Protection Society WA (Southern River),https://www.apswa.asn.au/,info@apswa.asn.au,,,
