name,city,country,address,postal_code,email,phone,website,_source,_review_needed,_salvage_reason,_file
Humane Society of New Zealand Inc. (Greenwoods Corner),,NEW ZELAND +64,,,info@humanesociety.org.nz,,http://humanesociety.org.nz/,clean,no,,
SPCA NZ,,,"3/137 North Road, Kaitaia 0482",,,,https://www.spca.nz/,clean,no,,
"GSRT, German Shepherd Dog Rescue (North Shore City)",,NEW ZELAND +64,,,info@gsdrescue.org.nz,,https://www.gsdrescue.org.nz/,clean,no,,
Wellington Cats Protection League,,NEW ZELAND +64,,,,,https://www.cpl-wellington.org.nz/,clean,no,,
Alaska Humane Society,,US +1,,,ahs@adopt-a-cat.org,,http://www.adopt-a-cat.org/,clean,no,,
Alaska Krazy Kats Cat Rescue and Kitty Adoptions,,US +1,,,krazykatsrescue@gmail.com,,https://www.facebook.com/profile.php?id=100069568247747,clean,no,,
Friends of Pets (Anchorage),,US +1,,,mail@friendsofpets.org,,https://friendsofpets.org/,clean,no,,
Kitty and K-9 Connection - A New Leash on Life (Anchorage),,US +1,,,kkc.amberj@yahoo.com,,http://www.kittyandk-9connection.org/,clean,no,,
Mojo’s Hope (Anchorage),,US +1,,,mojoshope@gmail.com,,https://www.mojoshope.org/,clean,no,,
Bethel Friends of Canines,,US +1,,,bethelfriendsofcanines2011@gmail.com,,https://www.bethelfriendsofcanines.com/,clean,no,,
ACAT - Alaska Cat Adoption Team (Chugiak),,US +1,,,acat@alaskacatadoptionteam.org,,https://www.alaskacatadoptionteam.org/,clean,no,,
Alaska Equine Rescue,,US +1,,,,,https://alaskaequinerescue.com/,clean,no,,
Arctic German Shepard Rescue (Fairbanks),,US +1,,,agsrescue@gmail.com,,http://agsrescue.com/,clean,no,,
Pet Pride (Fairbanks),,US +1,,,petpridefairbanks@gmail.com,,https://www.facebook.com/petpridefairbanks/,clean,no,,
Haines Animal Rescue Kennel,,US +1,,,info@harkalaska.org,,https://harkalaska.org/,clean,no,,
Alaska Mindful Paws (AMP),,US +1,,,alaskamindfulpaws@gmail.com,,https://www.alaskamindfulpaws.org/,clean,no,,
Juneau Animal Rescue,,US +1,,,office@akjar.org,,https://www.juneauanimalrescue.org/,clean,no,,
Tinker's Dream (Kake),,US +1,,,Marcia@tinkers-dream.org,,http://www.tinkers-dream.org/,clean,no,,
WAIF Animal Shelter,,US +1,,,animal@kenai.city,,https://waifanimals.org/,clean,no,,
KPAL - Kenai Peninsula Animal Lovers Rescue,,US +1,,,kpalrescue@gmail.com,,https://kpalrescue.org/,clean,no,,
KHS - Ketchikan Humane Society,,US +1,,,ktnhumanesociety@yahoo.com,,http://www.ketchikanhumanesociety.org/,clean,no,,
Humane Society of Kodiak,,US +1,,,kodiakanimalshelter@gmail.com,,https://www.kodiakanimalshelter.org/,clean,no,,
Alaska's Extended Life Animal Sanctuary,,US +1,,,aelas@alaska.net,,https://www.petfinder.com/member/us/ak/nikiski/alaskas-extended-life-animal-sanctuary-ak15/,clean,no,,
Our Companions Animal Rescue,,US +1,,,helpline@ourcompanions.org,,https://www.ourcompanions.org/,clean,no,,
ADPR - Alaska Dog and Puppy Rescue (Palmer),,US +1,,,info@akdpr.com,,https://akdpr.com/,clean,no,,
Valdez City Animal Control,,US +1,,,ValdezShelter@ValdezAK.gov,,https://www.valdezak.gov/66/Animal-Shelter,clean,no,,
Clear Creek Cat Rescue (Wasilla),,US +1,,,clearcreekkitties@gmail.com,,http://clearcreekcatrescue.org/,clean,no,,
Buckeye Animal Rescue and Kennel (BARK),,US +1,,,bark.animalrescue@yahoo.com,,https://buckeyeanimalrescueandkennel.webs.com/,clean,no,,
SAINT - Saving Animals In Need Together,,US +1,,,contact@bhcsaint.org,,https://www.bhcsaint.org/,clean,no,,
Valley Humane Society (Casa Grande),,US +1,,,Valleyhumane@yahoo.com,,https://www.valleyhumane.net/,clean,no,,
Healing Hearts Animal Rescue (Cave Creek),,US +1,,,JBrumbaugh@healingheartsaz.org,,https://healingheartsaz.org/,clean,no,,
Hoof and Paw Rescue Inc,,US +1,,,yvette@hoofandpawrescue.com,,http://www.hoofandpawrescue.com/,clean,no,,
Cooper's Chance Animal Rescue (Chandler),,US +1,,,cooperschance@yahoo.com,,https://cooperschance.org/,clean,no,,
Cow Cats Pet Adoption Center (Chandler),,US +1,,,meow@cowcats.com,,http://www.cowcats.com/home,clean,no,,
Hope for Cats (Chandler),,US +1,,,hopeforcats@cox.net,,http://www.hopeforcats.org/,clean,no,,
Kattered Tails,,US +1,,,katteredtails@colello.org,,https://katteredtails.com/,clean,no,,
RAIN - Rescuing Animals in Need formerly Kit Kat Rescue (Chandler),,US +1,,,azrainrescue@gmail.com,,https://azrain.rescuegroups.org/,clean,no,,
Saving One Life (Chandler),,US +1,,,info@savingonelife.org,,https://www.savingonelife.org/,clean,no,,
Chino Valley Animal Shelter,,US +1,,,cvas@chinoaz.net,,https://www.facebook.com/cvanimalshelter/,clean,no,,
LOLA- Lots of Love For Animals (Chloride),,US +1,,,info@lolathesanctuary.org,,https://lotsofloveforanimals.org/,clean,no,,
Pets Return Home,,US +1,,,info@petsreturnhome.org,,www.petsreturnhome.org,clean,no,,
Star Ranch Animal Sanctuary (Concho),,US +1,,,Info@StarRanchAnimalSanctuary.org,,https://starranchanimalsanctuary.com/,clean,no,,
SOS Cat Rescue AZ - Saving Orphans and Seniors (Cortaro),,US +1,,,info@SOScatrescueAZ.org,,https://soscatrescueaz.org/,clean,no,,
VVHS - Verde Valley Humane Society,,US +1,,,frontdesk@verdevalleyhumanesociety.org,,https://verdevalleyhumane.org/,clean,no,,
ACDR - Arizona Cattle Dog Rescue (Flagstaff),,US +1,,,acdr@arizonacattledogrescue.org,,https://arizonacattledogrescue.org/,clean,no,,
Lanai Cat Sanctuary,,US +1,,,info@arkcatsanctuary.org,,https://lanaicatsanctuary.org/,clean,no,,
Coconino Humane Association (Flagstaff),,US +1,,,kindcrew@coconinohumane.org,,https://www.coconinohumane.org/,clean,no,,
High Country Humane,,US +1,,,support@highcountryhumane.org,,https://highcountryhumane.org/,clean,no,,
Fearless Kitty Rescue (Fountain Hills),,US +1,,,info@fearlesskittyrescue.org,,https://fearlesskittyrescue.org/,clean,no,,
BTBPR - Back The Blue Pet Rescue,,US +1,,,btbpr@backthebluepetrescue.org,,https://backthebluepetrescue.org/,clean,no,,
Carrie On Rescue (Gilbert),,US +1,,,carrieonrescuers@hotmail.com,,http://www.carrieonrescue.org/index.html,clean,no,,
Friends For Life Animal Sanctuary,,US +1,,,info@azfriends.org,,https://azfriends.org/,clean,no,,
Rotten Rottie Rescue,,US +1,,,rottenrottierescue@gmail.com,,https://www.rottenrottie.com/,clean,no,,
Save the Cats Arizona,,US +1,,,info@savethecatsaz.org,,https://savethecatsaz.org/,clean,no,,
Valley Dogs Rescue (Gilbert),,US +1,,,valleydogs@valleydogs.org,,https://www.valleydogs.org/,clean,no,,
We're The Cat's Meow Pet Rescue (Chandler),,US +1,,,azcatsmeow@gmail.com,,https://werethecatsmeow.com/,clean,no,,
Wildhorse Ranch Rescue (Gilbert),,US +1,,,info@whrr.org,,https://www.wildhorseranchrescue.com/who-we-are.html,clean,no,,
All About Animals Rescue,,US +1,,,allaboutanimalsaz@gmail.com,,https://allaboutanimalsrescue.org/,clean,no,,
Arizona Golden Rescue,,US +1,,,info@arizonagoldenrescue.org,,https://www.arizonagoldenrescue.org/,clean,no,,
Blues Kitty Rescue,,US +1,,,info@blueskittyrescue.org,,https://blueskittyrescue.org/,clean,no,,
Robin Hood Animal Rescue (Glendale),,US +1,,,rhar4all@yahoo.com,,https://www.petfinder.com/member/us/az/phoenix/robin-hood-animal-rescue-az168/,clean,no,,
Saving Orphan Souls Rescue (S.O.S),,US +1,,,savingorphansouls@yahoo.com,,https://www.savingorphansouls.org/,clean,no,,
Stealing Hearts Rescue,,US +1,,,AZBULLYGIRL@HOTMAIL.COM,,https://www.stealingheartsrescue.com/,clean,no,,
"Sun Valley Animal Shelter, Inc. (Glendale)",,US +1,,,contact@sunvalleypets.org,,https://sunvalleypets.org/,clean,no,,
"For the Luv of Paws II, Inc. (Golden Valley)",,US +1,,,flppupskits@yahoo.com,,https://www.fortheluvofpaws.org/,clean,no,,
Yorkie Luv Rescue (Goodyear),,US +1,,,Andrew@yorkieluvrescue.com,,https://yorkieluvrescue.com/,clean,no,,
"TALGV, The Animal League of Green Valley",,US +1,,,info@talgv.org,,https://talgv.org/,clean,no,,
Little Lotus Rescue & Sanctuary,,US +1,,,littleleaguerescue@gmail.com,,https://littlelotusrescueandsanctuary.org/,clean,no,,
Friends of the Alameda Animal Shelter,,US +1,,,info@alamedaanimalshelter.org,,https://www.alamedaanimalshelter.org/,clean,no,,
Mutt Matchers & Friends,,US +1,,,muttmatchers@frontiernet.net,,https://www.muttmatchers.org/,clean,no,,
Safe Haven Animal Rescue of AZ,,US +1,,,safe_haven_animal_rescue@live.com,,https://www.facebook.com/groups/1405138936478168/about,clean,no,,
Arizona Poodle Rescue (Maricopa),,US +1,,,aprvolunteers@gmail.com,,https://arizonapoodlerescue.org/,clean,no,,
Freedom Tails Rescue,,US +1,,,freedomtailsrescue@gmail.com,,https://freedomtailsrescue.com/,clean,no,,
Good Mews Animal Foundation (Marietta),,US +1,,,admin@goodmews.org,,https://www.goodmews.org/,clean,no,,
"Animal Rescue Friends, Ltd",,US +1,,,admin@animalrescuefriends.org,,https://www.animalrescuefriends.org/,clean,no,,
Cat-A-Do Cat Co-op (Mesa),,US +1,,,info@catado.org,,http://www.catado.org/,clean,no,,
Desert Paws Rescue (Mesa),,US +1,,,info@desertpawsrescue.org,,https://desertpawsrescue.org/,clean,no,,
Follow Your Heart Animal Rescue (Mesa),,US +1,,,followyourheartfoundation@gmail.com,,https://www.followyourheartanimalrescue.org/,clean,no,,
GTDR - Ghost Town Dog Rescue (Mesa),,US +1,,,ghosttowndogrescue@gmail.com,,https://www.ghosttowndogrescue.com/,clean,no,,
Lucky Dog Animal Rescue,,US +1,,,cristina@luckyangel.org,,https://www.luckydoganimalrescue.org/home,clean,no,,
P.A.W.S. (Pound Animals Worth Saving) Fur the Cause,,US +1,,,karmikus@cox.net,,http://poundanimalsworthsaving.org/,clean,no,,
Standing Proud Pit Bull Rescue (Mesa),,US +1,,,info@standingproudpitbulls.org,,https://www.standingproudpitbulls.org/,clean,no,,
VOTSDR - Valley of the Sun Dog Rescue (Mesa),,US +1,,,votsdradoptions@gmail.com,,https://www.valleyofthesundogrescue.org/,clean,no,,
Saint Francis Feline Sanctuary (New River),,US +1,,,Info@felinesanctuary.org,,https://felinesanctuary.org/,clean,no,,
SCHS - Santa Cruz Humane Society (Nogales),,US +1,,,schs5654@gmail.com,,https://santacruzhumanesociety.org/,clean,no,,
Center Valley Animal Rescue,,US +1,,,janders@lovar.org,,https://centervalleyanimalrescue.org/,clean,no,,
Page Animal Adoption Agency,,US +1,,,pageanimaladoption@gmail.com,,https://pageanimaladoptionagency.com/,clean,no,,
Arizona Desert Rottie & Pals Rescue (Patagonia),,US +1,,,azdesertrottis@aol.com,,http://azdesertrotti.com/,clean,no,,
HSCAZ - Humane Society of Central Arizona,,US +1,,,hs@humanesocietycentralaz.org,,https://humanesocietycentralaz.org/,clean,no,,
AZK9 Rescue,,US +1,,,azk9org@gmail.com,,https://www.azk9.org/,clean,no,,
Blistered Whiskers (Peoria),,US +1,,,blisteredwhiskers@gmail.com,,https://www.facebook.com/BlisteredWhiskers,clean,no,,
HALO Animal Rescue (Pheonix),,US +1,,,info@halorescue.org,,https://www.halorescue.org/,clean,no,,
2 Da Rescue (Phoenix),,US +1,,,karen@2darescue.org,,,clean,no,,
Adorable Dog Rescue (Phoenix),,US +1,,,AdorableDogRescue@yahoo.com,,https://www.facebook.com/AdorableDogRescue/,clean,no,,
Almost There: A Mom + Pups Rescue,,US +1,,,info@almostthererescue.org,,https://www.almostthererescue.org/,clean,no,,
Animals Benefit Club of Arizona (Phoenix),,US +1,,,info@animalsbenefitclub.com,,https://animalsbenefitclub.com/,clean,no,,
Arizona Animal Welfare League,,US +1,,,marketing@aawl.org,,https://aawl.org/,clean,no,,
Arizona Basset Hound Rescue (Phoenix),,US +1,,,intake@azbassetrescue.org,,https://azbassetrescue.org/,clean,no,,
Arizona Small Dog Rescue (Phoenix),,US +1,,,AZcockerRescue@aol.com,,https://azsmalldog.org/,clean,no,,
Arizona Humane Society (Phoenix),,US +1,,,,,https://www.azhumane.org/,clean,no,,
Sean Casey Animal Rescue,,US +1,,,azclaws@cox.net,,https://www.nyanimalrescue.org/,clean,no,,
AZBR - Arizona Beagle Rescue (Phoenix),,US +1,,,info@azbeaglerescue.com,,https://azbeaglerescue.com/,clean,no,,
Caring for Canines,,US +1,,,info@caringforcanines.org,,https://caringforcanines.org/,clean,no,,
Citizens For North Phoenix Strays,,US +1,,,CNPSrescue@gmail.com,,,clean,no,,
Cool Cats Rescue AZ,,US +1,,,coolcatsrescueaz@gmail.com,,https://coolcatsrescue-az.org/,clean,no,,
DHDR - Desert Harbor Doberman Rescue (Phoenix),,US +1,,,contact@azdoberescue.org,,https://azdoberescue.org/,clean,no,,
Four Peaks Animal Rescue (Phoenix),,US +1,,,4par@desertinet.com,,http://www.fourpeaksanimalrescue.org/,clean,no,,
Freedom Brothers Rescue and Recovery,,US +1,,,Robertmurtaugh2@aol.com,,https://freedombrothersrescueandrecovery.com/,clean,no,,
Home 'Fur' Good No-Kill Animal Rescue & Adoption (Phoenix),,US +1,,,info@homefurgood.org,,https://homefurgood.org/,clean,no,,
Little Rascals Rescue (Phoenix),,US +1,,,bu.ter.fly@hotmail.com,,https://www.littlerascalsrescue.com/,clean,no,,
Mayday Pit Bull Rescue & Advocacy (Phoenix),,US +1,,,info@maydaypitbullrescue.org,,https://www.maydaypitbullrescue.org/,clean,no,,
Mini Mighty Mutts Rescue,,US +1,,,info@minimightymutts.com,,http://www.minimightymutts.com/,clean,no,,
Povertys Pets,,US +1,,,info@povertyspets.org,,https://www.povertyspets.org/,clean,no,,
Rockstar Canine Rescue & Sanctuary,,US +1,,,info@rockstarrescue.org,,https://www.facebook.com/RockstarRescueAz/,clean,no,,
Ruby Ranch Pet Rescue and Sanctuary,,US +1,,,info@rubyranchrescue.org,,http://www.rubyranchrescue.org/,clean,no,,
Rustys Angels Sanctuary,,US +1,,,rustysangelssanctuary@gmail.com,,https://www.rustysangelssanctuary.org,clean,no,,
Saving Paws Rescue Arizona (Phoenix),,US +1,,,savingpawsrescueaz@gmail.com,,https://www.savingpawsrescueaz.org/,clean,no,,
The Foundation for Homeless Cats (Phoenix),,US +1,,,Jewell@TheFoundationForHomelessCats.org,,https://www.thefoundationforhomelesscats.org/,clean,no,,
VSGSR - Valley of the Sun Giant Schnauzer Rescue,,US +1,,,phxgsrescue@hotmail.com,,https://www.vsgiantschnauzerrescue.org/,clean,no,,
Chicago Canine Rescue,,US +1,,,info@cochisecaninerescue.org,,https://chicagocaninerescue.org/,clean,no,,
Miss Kitty's Cat House (Prescott),,US +1,,,misskittyscathouse@gmail.com,,,clean,no,,
"YHS, Yavapai Humane Society (Prescott)",,US +1,,,demo@example.com,,https://yavapaihumane.org/,clean,no,,
Circle L Ranch Animal Rescue & Sanctuary (Prescott Valley),,US +1,,,circlelranchdogs@gmail.com,,https://www.circlel.org/,clean,no,,
2nd Chance Dog Rescue,,US +1,,,cdczar96@aol.com,,https://2ndchance.rescuegroups.org/,clean,no,,
DCRSA - Desert Cat Rescue & Sanctuary of Arizona (Safford),,US +1,,,desertcatrescue@gmail.com,,https://www.facebook.com/DesertCatRescueAndSanctuaryArizona,clean,no,,
AZ CARE- AZ Center for Animal Rescue and Education (San Tan Valley),,US +1,,,AZCARE@azcarerescue.org,,https://azcarerescue.org/,clean,no,,
Saving Sage Animal Rescue,,US +1,,,starrescue1@gmail.com,,https://savingsagerescue.org/,clean,no,,
Fedwell Farm Rescue Inc. (Scottsdale),,US +1,,,fedwellfarm@yahoo.com,,https://www.fedwellfarm.com/,clean,no,,
Foothills Animal Rescue (Scottsdale),,US +1,,,support@foothillsanimal.org,,https://foothillsanimal.org/,clean,no,,
Forever Loved Pet Sanctuary (Scottsdale),,US +1,,,info@foreverlovedpets.org,,https://www.foreverlovedpets.org/,clean,no,,
"Liberty Wildlife Rehabilitaion Foundation, Inc. (Scottsdale)",,US +1,,,info@libertywildlife.org,,https://libertywildlife.org/,clean,no,,
Lost Our Home Pet Foundation (Scottsdale),,US +1,,,info@LostOurhome.org,,https://www.lostourhome.org/,clean,no,,
LOVE FOR DOGS,,US +1,,,info@lovefordogs.org,,https://www.lovefordogs.org/,clean,no,,
Lucky Dog Rescue (Scottsdale),,US +1,,,info@luckydogrescue.org,,http://www.luckydogrescue.org/home,clean,no,,
Safe Haven for Animals (Scottsdale),,US +1,,,shinfo@azshfa.org,,https://www.azshfa.org/,clean,no,,
Sky Sanctuary Rescue,,US +1,,,skysanctuaryrescue@gmail.com,,https://skysanctuaryrescue.org/,clean,no,,
HSS - Humane Society of Sedona,,US +1,,,info@humanesocietyofsedona.org,,https://humanesocietyofsedona.org/,clean,no,,
Pet Allies (Show Low),,US +1,,,,,https://petalliesaz.org/,clean,no,,
Great Spirit Animal Sanctuary Inc,,US +1,,,INFO@GREATSPIRITANIMALSANCTUARY.ORG,,https://www.greatspiritanimalsanctuary.org/,clean,no,,
Round Valley Animal Rescue (Springerville),,US +1,,,,,https://www.roundvalleyanimalrescue.org/,clean,no,,
Chance Shelter (Surprise),,US +1,,,info@chanceshelter.org,,https://www.facebook.com/chanceshelter,clean,no,,
Ohana Animal Rescue (Tempe),,US +1,,,info@ohanaanimalrescue.com,,https://www.ohanaanimalrescue.org/,clean,no,,
Paw Kindness,,US +1,,,pawkindness@gmail.com,,https://pkars.weebly.com/,clean,no,,
Tombstone Small Animal Shelter,,US +1,,,Tombstoneanimalshelter@gmail.com,,,clean,no,,
Living Water Ranch Rescue,,US +1,,,chartipton1@msn.com,,http://www.livingwaterranchrescue.com/,clean,no,,
Claws and Paws Rescue (Tucson),,US +1,,,info@clawsandpawsaz.org,,https://www.clawsandpawsaz.org/,clean,no,,
FAIR: Foundation for Animals in Risk (Tuczon),,US +1,,,info@faircares.org,,https://www.facebook.com/profile.php?id=100064777353928,clean,no,,
HOPE Animal Shelter in Tucson,,US +1,,,info@hopeanimalshelter.net,,https://www.hopeanimalshelter.net/,clean,no,,
Moon & Stars Animal Rescue,,US +1,,,moonandstarsanimalrescue@gmail.com,,https://www.moonandstarsanimalrescue.org/,clean,no,,
No Kill Pima County (Tucson),,US +1,,,admin@nokillpimacounty.org,,https://www.nokillpimacounty.org,clean,no,,
Pathways for Paws,,US +1,,,pathwaysforpaws@yahoo.com,,https://pathwaysforpaws.com/,clean,no,,
PAWSitively Cats,,US +1,,,savecats@pawsitivelycats.org,,https://pawsitivelycats.org/,clean,no,,
Pima Paws for Life,,US +1,,,Info@PimaPawsForLife.org,,https://www.pimapawsforlife.org/home.html,clean,no,,
SAFE - Saving Animals From Euthanasia (Tucson),,US +1,,,bekind2animalstucson@gmail.com,,http://safeanimals.com/,clean,no,,
SARA - Saving At Risk Animals (Tucson),,US +1,,,rescuesara@earthlink.net,,https://savingatriskanimals.org/,clean,no,,
SDR - Smiling Dog Rescue (Tucson),,US +1,,,SmilingDogRescue@gmail.com,,https://www.smilingdogrescue.com/,clean,no,,
"SoAZBR, Southern Arizona Beagle Rescue (Tucson)",,US +1,,,Information@soazbeaglerescue.com,,https://soazbeaglerescue.com/,clean,no,,
Southwest Oasis Lab Rescue,,US +1,,,SouthwestOasisLabRescue@gmail.com,,https://solraz.org/,clean,no,,
The Hermitage Cat Shelter,,US +1,,,info@hermitagecatshelter.org,,https://www.hermitagecatshelter.org/,clean,no,,
BARK (Baby Animal Rescue Koalition),,US +1,,,barkntucson@aol.com,,https://www.facebook.com/BARKTucson,clean,no,,
Humane Society of Wickenburg,,US +1,,,,,https://wickenburghumane.com/,clean,no,,
K9 Konnection,,US +1,,,shirleyk9konnection@mail.com,,https://www.k9konnectionrescue.org/,clean,no,,
Tara's Babies Animal Welfare,,US +1,,,info@tarasbabies.org,,,clean,no,,
"Cat's World Rescue, Inc",,US +1,,,catsworldrescue@yahoo.com,,https://www.facebook.com/catsworldrescue/,clean,no,,
Sun Cities 4 Paws Rescue (Youngtown),,US +1,,,info@4pawsrescue.org,,https://4pawsrescue.org/,clean,no,,
Give Me A Chance Equine Rescue,,US +1,,,tomcat0808@yahoo.com,,https://givemeachanceequinerescue.org/,clean,no,,
Humane Society of York County,,US +1,,,humanesocietyclarkcounty@yahoo.com,,https://humanesocietyofyorkcounty.org/,clean,no,,
A&B Animal Rescue of SW Arkansas,,US +1,,,abanimalrescue@gmail.com,,https://www.abanimalrescue.org/,clean,no,,
Pug Rescue of Northwest Arkansas,,US +1,,,pugrescuenwa@yahoo.com,,https://pugrescuenwa.org/,clean,no,,
Lone Pine Ranch Animal Shelter (Centerton),,US +1,,,lonepineshelter@yahoo.com,,,clean,no,,
The Charleston Dog Shelter (Charleston Animal Interest Group),,US +1,,,?charlestondogshelter@gmail.com,,https://www.charlestondogshelter.com/contact-us,clean,no,,
Forever Paws Animal Shelter,,US +1,,,info@needypawsanimalshelter.org,,https://www.foreverpaws.com/,clean,no,,
ArkanPaws Animal Rescue (Conway),,US +1,,,ArkanPaws@gmail.com,,http://arkanpaws.org/,clean,no,,
"FCSPCA, Faulkner County Society For The Prevention Of Cruelty (Conway)",,US +1,,,onedog2many@msn.com,,https://www.facebook.com/fcspca/,clean,no,,
Humane Society of Faulkner County (Conway),,US +1,,,contact@humane-fc.org,,,clean,no,,
Regional Animal Protection Society,,CANADA +1,,,ucaps1@yahoo.com,,http://www.rapsbc.com/,clean,no,,
Good Shepherd Humane Society (Eureka Springs),,US +1,,,adoptioncenter@goodshepherdhumane.org,,https://www.goodshepherd-hs.org/,clean,no,,
Fuzzy Hearts Animal Rescue,,US +1,,,fuzzyheartshome@gmail.com,,https://fuzzyheartsrescue.yolasite.com/,clean,no,,
Animal League of Washington County,,US +1,,,animalleaguewc@gmail.com,,https://animalleagueofwashingtoncounty.org/,clean,no,,
"House of Little Dogs, Inc.",,US +1,,,houseoflittledogs@gmail.com,,https://www.houseoflittledogs.com/,clean,no,,
Humane Society of the Palouse,,US +1,,,hsoadmin@hsozarks.com,,https://www.humanesocietyofthepalouse.org/,clean,no,,
LLAR - Lost Love Animal Rescue,,US +1,,,lostloveanimalrescue@gmail.com,,https://www.facebook.com/profile.php?id=100057340214663,clean,no,,
Spenser's Legacy Animal Rescue (Fayetteville),,US +1,,,Contact@SpensersLegacy.org,,http://www.spenserslegacy.org/,clean,no,,
Forrest City Area Humane Society,,US +1,,,fcadiva@sbcglobal.net,,https://www.fcahumane.org/,clean,no,,
Guardian Angels Cat Rescue and Adoption Shelter (Hot Springs),,US +1,,,gacr@att.net,,https://www.guardianangelscatshelter.org/,clean,no,,
Humane Society of Garland County (Hot Springs),,US +1,,,garlandcountyhumane@gmail.com,,https://hsgconline.org/,clean,no,,
Hot Springs Village Animal Welfare League,,US +1,,,hsvawlpr@gmail.com,,https://hsvawl.org/,clean,no,,
"Jacksonville Friends of the Animals, Inc / Jacksonville Animal Shelter",,US +1,,,clhenderson1@gmail.com,,https://jacksonvillefriendsoftheanimals.org/,clean,no,,
One Love Animal Rescue,,US +1,,,admin@alfarescue.com,,https://oneloveanimalrescue.com/,clean,no,,
Pender County Humane Society,,US +1,,,operationkindnessschs@gmail.com,,https://www.penderhumane.org/,clean,no,,
Feline Rescue and Rehome (Little Rock),,US +1,,,saveacat@teamfurr.org,,http://www.teamfurr.org/,clean,no,,
Out Of The Woods Animal Rescue of Arkansas (Little Rock),,US +1,,,contact@ootwrescue.org,,https://www.ootwrescue.org/,clean,no,,
Stop Animal Cruelty in Hot Spring/Garland County (Malvern),,US +1,,,mataft@netscape.com,,https://www.sachsgc.com/,clean,no,,
"Dogtired Ranch Small Dog Rescue and Shelter, Inc. (Mena)",,US +1,,,dogtiredjanet@hotmail.com,,https://www.dogtiredranch.com/,clean,no,,
For The Sake Of Animals,,US +1,,,Bev@SaveARescue.org,,https://savearescue.org/,clean,no,,
HSO - Humane Society of the Ouachitas,,US +1,,,hsoshelter@outlook.com,,https://hsomena.org,clean,no,,
"Monticello 2nd Chance Fur Dogs, LLC",,US +1,,,monticello2ndchancefurdogs@yahoo.com,,https://monticello2ndchancefurdogs.weebly.com/,clean,no,,
KC Pet Rescue (Morrilton),,US +1,,,info@kcpetrescue.org,,http://www.kcpetrescue.org/,clean,no,,
Greener Days Ahead Rescue,,US +1,,,gdarescue@gmail.com,,https://greenerdaysar.rescuegroups.org/,clean,no,,
"Ozark Mutts and Stuff, Inc (Mountain Home)",,US +1,,,Ozarkmuttsandstuff@gmail.com,,https://www.ozarkmuttsandstuff.org/,clean,no,,
Stone County Humane Society (Mountain View),,US +1,,,schs@yelcot.net,,https://www.schspets.org/,clean,no,,
SBAH - Shoal Bay Animal Haven,,US +1,,,shoalbayhaven@gmail.com,,https://shoalbayhaven.weebly.com/,clean,no,,
RCR - Rock City Rescue (North Little Rock),,US +1,,,rockcityrescue@gmail.com,,https://www.rockcityrescue.org/,clean,no,,
Fabulous Felines NWA,,US +1,,,fabulousfelinesnwa@gmail.com,,https://www.fabulousfelinesnwa.com/,clean,no,,
Gail’s Pets Second Chance (Oakland),,US +1,,,gailspets@hotmail.com,,,clean,no,,
The Greene County Animal Farm - No-Kill shelter (Paragould),,US +1,,,greenecountyanimalfarm@40yahoo.com,,,clean,no,,
Paws Inn No-Kill Animal Shelter (Searcy),,US +1,,,pawsinnhaven@gmail.com,,https://www.pawsinnhaven.org/,clean,no,,
