name,city,country,address,postal_code,email,phone,website,_source,_review_needed,_salvage_reason,_file,_reason
Salva una Vita,Alessandria (AL),,,,,,,clean,no,,,Not found in database
Un Gatto per Amico,Castelletto Sopra Ticino (NO),,,,,,,clean,no,,,Not found in database
Una Casa per Tutti,Torino (TO),,,,,,,clean,no,,,Not found in database
Una Cuccia per la Vita,Tarantasca (CN),,,,,,,clean,no,,,Not found in database
Una Zampa per la Vita,Vicoforte (CN),,,,,,,clean,no,,,Not found in database
ACT Animal Rescue (Canberra),,AUSTRALIA +61,,,info@petrescue.org.au,,https://www.petrescue.com.au/,clean,no,,,Not found in database
"ARF, ACT Rescue and Foster (Canberra)",,AUSTRALIA +61,,,enquiries@fosterdogs.org,,https://fosterdogs.org/,clean,no,,,Not found in database
Border Small Animal Rescue,,AUSTRALIA +61,,,bordersmallanimalrescue@hotmail.com,,https://www.facebook.com/bordersmallanimalrescue/,clean,no,,,Not found in database
Central Coast Animal Care Facility,,AUSTRALIA +61,,,ccacfpetadoptions@gmail.com,,https://www.facebook.com/Ccacf/,clean,no,,,Not found in database
Community Cat Crew,,US +1,,,erin@gmail.com,,https://communitycatcrew.org/,clean,no,,,Not found in database
Denise At Paws Inc,,AUSTRALIA +61,,,info@deniseatpaws.com.au,,https://www.deniseatpaws.com.au/,clean,no,,,Not found in database
Friends of Animal Rescue,,US +1,,,friendsofanimalrescue@gmail.com,,https://www.spifriendsofanimalrescue.com/,clean,no,,,Not found in database
Sydney Dogs and Cats Home (Carlton),,AUSTRALIA +61,,,info@sydneydogsandcatshome.org,,https://sydneydogsandcatshome.org/,clean,no,,,Not found in database
SoCares Animal Care Facility,,AUSTRALIA +61,,,socaresacf@gmail.com,,https://www.socaresanimalcarefacility.com.au/,clean,no,,,Not found in database
HappyPaws Haven (Eatonsville),,AUSTRALIA +61,,,//info@happypawshaven.com.au/,,https://www.happypawshaven.com.au/,clean,no,,,Not found in database
Monikas Doggie Rescue (Ingleside),,AUSTRALIA +61,,,admin@doggierescue.com,,https://doggierescue.com/,clean,no,,,Not found in database
Animal Rights and Rescue Group Inc. (Lismore),,AUSTRALIA +61,,,nonkill@animalrights.org.au,,https://animalrights.org.au/,clean,no,,,Not found in database
Beverly Animal Shelter,,US +1,,,BeverlyShelter@Yahoo.com,,https://beverlyanimalshelter.com/,clean,no,,,Not found in database
Friends Of The Hound Inc. (Murwillumbah South),,AUSTRALIA +61,,,enquiries@friendsofthehound.org.au,,https://www.friendsofthehound.org.au/,clean,no,,,Not found in database
Dog Rescue Newcastle,,AUSTRALIA +61,,,,,https://www.dogrescuenewcastle.com.au/,clean,no,,,Not found in database
Cat Protection Society NSW Inc (Newtown),,AUSTRALIA +61,,,info@catprotection.org.au,,https://catprotection.org.au/,clean,no,,,Not found in database
"AWDRI, Australian Working Dog Rescue Int. (Pitt Town)",,AUSTRALIA +61,,,contact@awdri.com.au,,https://www.workingdogrescue.com.au/,clean,no,,,Not found in database
Deaf dogs Rescue Australia,,AUSTRALIA +61,,,adminteam@deafdogsrescueaustralia.info,,https://www.deafdogsrescueaustralia.org/,clean,no,,,Not found in database
Staffy Rescue (Sydney),,AUSTRALIA +61,,,staffyrescueinc@gmail.com,,https://www.staffyrescue.org.au/,clean,no,,,Not found in database
Urban Kittens,,AUSTRALIA +61,,,info@urbankittens.com,,https://www.urbankittens.com/,clean,no,,,Not found in database
Friends of the Pound Tweed Inc.,,AUSTRALIA +61,,,strichte@bigpond.net.au,,https://friendsofthepound.com/,clean,no,,,Not found in database
Best Friends Pet Rescue (Wagga Wagga),,AUSTRALIA +61,,,info@bestfriendspetrescue.org.au,,https://bfpr.org.au/,clean,no,,,Not found in database
Siberian Husky Rescue Club of NSW (Wentworthville),,AUSTRALIA +61,,,mikulovau@gmail.com,,http://www.shcnsw.org.au/,clean,no,,,Not found in database
No Kill Pet Rescue (West Ryde),,AUSTRALIA +61,,,nokilldogrescue@gmail.com,,,clean,no,,,Not found in database
PAWS Darwin,,AUSTRALIA +61,,,pawsdarwinteam@gmail.com,,https://pawsdarwin.org.au/,clean,no,,,Not found in database
Beagle Rescue QLD,,AUSTRALIA +61,,,president@brendanh9.sg-host.com,,https://www.beaglerescueqld.com.au/,clean,no,,,Not found in database
Caboolture and District Animal Welfare Inc,,AUSTRALIA +61,,,teamcadawi@gmail.com,,https://caboolturebribieanimalwelfare.com.au/,clean,no,,,Not found in database
Capricorn Animal Aid,,AUSTRALIA +61,,,capricornanimalaid@gmail.com,,https://www.capricornanimalaid.org.au/,clean,no,,,Not found in database
Cavy Angel's Guinea Pig Rescue,,AUSTRALIA +61,,,,,https://www.cavyangelsguineapigrescue.com/,clean,no,,,Not found in database
Chihuahua Rescue Queensland,,AUSTRALIA +61,,,chihuahuarescueqld@gmail.com,,https://www.chihuahuarescueqld.com.au/,clean,no,,,Not found in database
Cocker Spaniel Rescue QLD,,AUSTRALIA +61,,,admin@cockerspanielrescue.com.au,,https://www.cockerspanielrescue.com.au/,clean,no,,,Not found in database
Crazy Cat Lady Rescue Queensland,,AUSTRALIA +61,,,crazycatladyqld@outlook.com,,https://www.facebook.com/crazycatladyqld/,clean,no,,,Not found in database
Deathrow Unchained Animal Rescue,,AUSTRALIA +61,,,sanctuary@deathrowunchained.org,,https://www.facebook.com/deathrowunchained/,clean,no,,,Not found in database
"ACS, Australian Cavy Sanctuary (Brisbane)",,AUSTRALIA +61,,,acsmelbourne@gmail.com,,https://www.australiancavysanctuary.org/,clean,no,,,Not found in database
Best Friends Refuge Rescue (Brisbane),,AUSTRALIA +61,,,bfr@bestfriendsrescue.com,,https://www.bestfriendsrescue.com/,clean,no,,,Not found in database
Little Paws Kitten Rescue (Brisbane),,AUSTRALIA +61,,,littlepawskr@gmail.com,,https://www.littlepawskittenrescue.org.au/,clean,no,,,Not found in database
Queensland Staffy and Amstaff Rescue (Brisbane),,AUSTRALIA +61,,,,,https://www.qldstaffyandamstaffrescue.org.au/,clean,no,,,Not found in database
Brisbane Valley Cat Rescue,,AUSTRALIA +61,,,buster02@westnet.com.au,,https://brisbanevalleycatrescue.com/,clean,no,,,Not found in database
Little Legs Cat & Dog Rescue,,AUSTRALIA +61,,,president@llsqld.com.au,,https://www.llsqld.com.au/,clean,no,,,Not found in database
"AWLQ, Animal Welfare League Queensland (Helensvale Town Centre)",,AUSTRALIA +61,,,communications@awlqld.com.au,,https://www.awlqld.com.au/,clean,no,,,Not found in database
Animal Rescue Tablelands Inc,,AUSTRALIA +61,,,,,https://animalrescuetablelandsinc.net/,clean,no,,,Not found in database
"PAA, Peninsula Animal Aid (Margate)",,AUSTRALIA +61,,,paa@peninsulaanimalaid.com.au,,https://peninsulaanimalaid.com.au/,clean,no,,,Not found in database
4 Paws Animal Rescue (Maroochydore),,AUSTRALIA +61,,,4paws@4pawsanimalrescue.org.au,,https://www.4pawsanimalrescue.org.au/,clean,no,,,Not found in database
Bull Arab Rescue,,AUSTRALIA +61,,,bullarabrescue@outlook.com,,https://www.bullarabrescue.com.au/,clean,no,,,Not found in database
YAPS - Young Animal Protection Society (Smithfield Cairns),,AUSTRALIA +61,,,pets@yaps.org.au,,https://www.yaps.org.au/,clean,no,,,Not found in database
Sunshine Coast Animal Refuge (Tanawha),,AUSTRALIA +61,,,marketing@sippycreek.com.au,,https://sippycreek.com.au/,clean,no,,,Not found in database
Red Door Animal Shelter,,US +1,,,info@RedDoorShelter.org,,https://www.reddoorshelter.org/,clean,no,,,Not found in database
Cat Adoption Foundation Incorporated,,AUSTRALIA +61,,,info@cafinc.org.au,,https://cafinc.org.au/,clean,no,,,Not found in database
"AWL, Animal Welfare League of South Australia (Wingfield)",,AUSTRALIA +61,,,support@awl.org.au,,https://awl.org.au/,clean,no,,,Not found in database
Rescue Cats Safe Haven Inc,,AUSTRALIA +61,,,rescuecatsafehaven@gmail.com,,https://rescuecatssafehaven.com.au/,clean,no,,,Not found in database
Ten Lives Cat Centre,,AUSTRALIA +61,,,info@tenlives.com.au,,https://tenlives.com.au/index.html,clean,no,,,Not found in database
Big Ears Animal Sanctuary Inc. (Prospect),,AUSTRALIA +61,,,,,https://www.bigearsanimalsanctuary.com/,clean,no,,,Not found in database
All 4 Paws Rescue,,US +1,,,info@all4pawsrescue.com,,https://www.all4pawsrescue.com/,clean,no,,,Not found in database
Arctic Rescue Victoria Inc,,AUSTRALIA +61,,,contact@arcticrescue.org.au,,https://arcticrescue.org.au/,clean,no,,,Not found in database
Australian Animal Rescue Inc,,AUSTRALIA +61,,,Info@australiananimalrescue.org.au,,http://www.australiananimalrescue.org.au/main.html,clean,no,,,Not found in database
Cheltenham Cat Rescue,,AUSTRALIA +61,,,natasha@cheltenhamcatrescue.org.au,,https://www.cheltenhamcatrescue.org.au/,clean,no,,,Not found in database
Cindys Promise - rescue & rehab inc,,AUSTRALIA +61,,,admin@cindyspromise.org,,https://www.cindyspromise.org/,clean,no,,,Not found in database
admin@cindyspromise.org,,AUSTRALIA +61,,,dandycatrescue@yahoo.com,,https://www.dandycatrescue.org.au/,clean,no,,,Not found in database
Dreamer's Hen Rescue,,AUSTRALIA +61,,,Dhenrescue@gmail.com,,https://www.facebook.com/dreamershenrescue/,clean,no,,,Not found in database
"BAWCS, Bendigo Animal Welfare & Community Services",,AUSTRALIA +61,,,admin@bawcs.org.au,,https://www.bawcs.org.au/,clean,no,,,Not found in database
Ingrids Haven (Broadford),,AUSTRALIA +61,,,iarving042@gmail.com,,https://www.ingridshaven.net.au/,clean,no,,,Not found in database
RSPCA Victoria (Burwood East),,AUSTRALIA +61,,,volunteer@rspcavic.org.au,,https://rspcavic.org/,clean,no,,,Not found in database
Second Chance Animal Rescue (Campbellfield),,AUSTRALIA +61,,,info@secondchanceanimalrescue.com.au,,https://secondchanceanimalrescue.com.au/,clean,no,,,Not found in database
Animal Aid (Coldstream),,AUSTRALIA +61,,,enquiries@animalaid.org.au,,https://animalaid.org.au/,clean,no,,,Not found in database
"VicDRG, Victorian Dog Rescue and Resource Group Inc (Elsternwick)",,AUSTRALIA +61,,,office@victoriandogrescue.org.au,,https://www.victoriandogrescue.org.au/,clean,no,,,Not found in database
The Cat Corner (Ferntree Gully),,AUSTRALIA +61,,,enquiries@thecatcorner.com.au,,https://www.thecatcorner.com.au/,clean,no,,,Not found in database
Menagerie Manor Animal Rescue and Re-homing (Healesville),,AUSTRALIA +61,,,menagerie.manor@gmail.com,,https://www.facebook.com/MenagerieManor.Greyhound.Awareness.and.Rehoming/,clean,no,,,Not found in database
Save A Dog Scheme (Iris),,AUSTRALIA +61,,,admin@saveadog.org.au,,https://saveadog.org.au/,clean,no,,,Not found in database
Pug Rescue and Adoption Victoria Inc. (Knox City Centre),,AUSTRALIA +61,,,info@pugrescue.org.au,,https://www.pugrescue.org.au/,clean,no,,,Not found in database
Bast Cat Club (Melbourne),,AUSTRALIA +61,,,bastcatclub@optusnet.com.au,,https://www.facebook.com/bastcatclub,clean,no,,,Not found in database
Halfway Home Animal Rescue Inc. (Melbourne),,AUSTRALIA +61,,,info@halfwayhome.org.au,,https://www.halfwayhome.org.au/,clean,no,,,Not found in database
Runaway Rabbit Orphanage (Olinda),,AUSTRALIA +61,,,info@rabbitrunaway.org.au,,https://www.rabbitrunaway.org.au/,clean,no,,,Not found in database
Give a Kitty a Home Rescue Inc,,AUSTRALIA +61,,,gakah@gmail.com,,https://gakah.org.au/,clean,no,,,Not found in database
Blue Cross Animals Society of Victoria (Wonga Park),,AUSTRALIA +61,,,enquiries@bluecrossanimals.org.au,,https://www.facebook.com/AnimalsBlueCross/,clean,no,,,Not found in database
South Gippsland Animal Aid (Wonthaggi),,AUSTRALIA +61,,,iancole1950@dodo.com.au,,http://www.animalaidsouthgippsland.org.au/,clean,no,,,Not found in database
Pets Haven Animal Shelter (Woodend),,AUSTRALIA +61,,,shelter@petshaven.org.au,,https://petshaven.org.au/,clean,no,,,Not found in database
Canine Welfare Alliance of Australia,,AUSTRALIA +61,,,caninewelfareaustralia@gmail.com,,https://www.facebook.com/CanineWelfareAustralia/,clean,no,,,Not found in database
Express Wildlife Rescue,,AUSTRALIA +61,,,expresswildliferescue@amnet.net.au,,https://www.facebook.com/Expresswildliferescue/,clean,no,,,Not found in database
Albany Animal Welfare,,AUSTRALIA +61,,,albanyanimalwelfare@gmail.com,,https://www.facebook.com/albanyanimalwelfare/,clean,no,,,Not found in database
"SAFE Perth, Saving Perth Animals from Euthanasia Inc (Joondalup)",,AUSTRALIA +61,,,info@safeperth.com.au,,https://www.safeperth.com.au/,clean,no,,,Not found in database
Armadale Community Animal Rescue Group Inc,,AUSTRALIA +61,,,ACARG.Rescue@gmail.com,,https://www.facebook.com/ArmadaleCommunityAnimalRescueGroup/,clean,no,,,Not found in database
Dogs' Refuge Home (Shenton Park),,AUSTRALIA +61,,,enquiries@dogshome.org.au,,https://www.dogshome.org.au/,clean,no,,,Not found in database
Animal Protection Society WA (Southern River),,AUSTRALIA +61,,,info@apswa.asn.au,,https://www.apswa.asn.au/,clean,no,,,Not found in database
Animal Protection Party,,CANADA +1,,,contact@animalprotectionparty.ca,,https://www.animalprotectionparty.ca/,clean,no,,,Not found in database
Alberta Animal Rescue Crew Society,,CANADA +1,,,info@aarcs.ca,,https://aarcs.ca/,clean,no,,,Not found in database
Alberta Helping Animals Society,,CANADA +1,,,AlbertaHelpingAnimalsSociety@gmail.com,,http://www.ahas.ca/,clean,no,,,Not found in database
Angel's Animal Rescue Society,,CANADA +1,,,aarsrescue@gmail.com,,https://angelsanimalrescue.ca/,clean,no,,,Not found in database
Animal Care Council,,US +1,,,info@animalcarecouncil.org,,https://www.animalcarecouncil.org/,clean,no,,,Not found in database
Animal Haven Rescue League,,CANADA +1,,,animalhavenrescue@gmail.com,,http://www.animalhavenrescue.ca/,clean,no,,,Not found in database
Animal Justice Canada,,CANADA +1,,,info@animaljustice.ca,,https://animaljustice.ca/,clean,no,,,Not found in database
ANIMAL AID FOUNDATION,,CANADA +1,,,INFO@ANIMALAIDFOUNDATION.CA,,http://www.animalaidfoundation.ca/,clean,no,,,Not found in database
Animal Rescue Committee of Slave Lake,,CANADA +1,,,info@arcofsl.com,,https://www.arcofsl.com/,clean,no,,,Not found in database
Animal Rescue Transfer Society,,CANADA +1,,,ANIMALRESCUETRANSFER@GMAIL.COM,,,clean,no,,,Not found in database
Animal Shelter & Adoption Society for St. Paul & Area,,CANADA +1,,,PAWSOFGOLD@LIVE.CA,,https://stpaulanimalshelter.org/,clean,no,,,Not found in database
Animals of Distinction Arts Society,,CANADA +1,,,JIM@ANIMALSOFDISTINCTION.ORG,,https://animalsofdistinction.org/,clean,no,,,Not found in database
Audrey's League for Wayward Animals Yearning for Safety,,CANADA +1,,,director@alwaysanimalrescue.ca,,,clean,no,,,Not found in database
Action For Animals Humane Society,,US +1,,,info@afashelter.org,,https://www.afashelter.org/,clean,no,,,Not found in database
Volunteers For Animals,,US +1,,,info@vol4animals.org,,https://www.vol4animals.org/,clean,no,,,Not found in database
ADOPTION ANIMALE ROSIE,,CANADA +1,,,ANNEDUBE@HOTMAIL.COM,,http://rosieanimaladoption.org/,clean,no,,,Not found in database
ANIMAL ADVOCATES SOCIETY of BC,,CANADA +1,,,ANIMALADVOCATES@TELUS.NET,,http://www.animaladvocates.com/,clean,no,,,Not found in database
ANIMAL AID & ADOPTION,,CANADA +1,,,ANIMALAIDADOPT@GMAIL.COM,,http://animalaidandadoption.com/,clean,no,,,Not found in database
ANIMAL AIDE ASSOCIATION OF ST. THOMAS-ELGIN,,CANADA +1,,,animalaidestthomas@gmail.com,,http://www.animalaidecats.com/,clean,no,,,Not found in database
ANIMAL ASSISTANCE GROUP,,CANADA +1,,,CHERYLALBERTA@HOTMAIL.COM,,http://www.animalassistancegroup.org/,clean,no,,,Not found in database
Animal Assistance Society of the Niagara Region,,CANADA +1,,,animalassistancesociety@gmail.com,,https://www.facebook.com/AnimalAsisstanceSocietyofNiagara,clean,no,,,Not found in database
ANIMAL OUTREACH,,CANADA +1,,,ANIMALOUTREACHINFO@YAHOO.CA,,http://animaloutreach.ca/,clean,no,,,Not found in database
ANIMAL RESCUE COALITIONS NOVA SCOTIA,,CANADA +1,,,ARC@SEABRIGHT.CA,,http://www.animalrescuecoalitions.com/,clean,no,,,Not found in database
ANIMAL RESCUE FOUNDATION (ARF) OF ALBERTA,,CANADA +1,,,ARF.ALBERTA@ARF.AB.CA,,http://www.arf.ab.ca/,clean,no,,,Not found in database
ANIMAL SHELTER (BATHURST) INC.,,CANADA +1,,,gloucesterspca@aibn.com,,http://bathurstspca.com/,clean,no,,,Not found in database
ANIMAL TRACKERS INC,,CANADA +1,,,ANIMAL.TRACKERS@SYMPATICO.CA,,,clean,no,,,Not found in database
ANIMAL WELFARE FOUNDATION OF CANADA,,CANADA +1,,,AWFC.INFO@GMAIL.COM,,http://www.awfc.ca/,clean,no,,,Not found in database
ANIMALERT PET ADOPTIONS INC,,CANADA +1,,,ANIMALERT@ROGERS.COM,,http://www.animalert.ca/,clean,no,,,Not found in database
Bandaged Paws Animal Rescue Association,,CANADA +1,,,INFO@BANDAGEDPAWS.ORG,,http://bandagedpaws.org/,clean,no,,,Not found in database
Beulah Burman Memorial Animal Shelter Society,,CANADA +1,,,WENDY@PETPROJECTS.CA,,http://www.petprojects.ca/,clean,no,,,Not found in database
Bide Awhile Animal Shelter (Dartmouth),,CANADA +1,,,PR@bideawhile.org,,https://bideawhile.org/,clean,no,,,Not found in database
BIG SKY RANCH ANIMAL SANCTUARY,,CANADA +1,,,BIGSKYRANCH@RIPNET.COM,,http://www.bigskyranch.ca/,clean,no,,,Not found in database
BONNYVILLE AND DISTRICT S.P.C.A. (SOCIETY FOR THE PREVENTIONOF CRUELTY TO ANIMALS),,CANADA +1,,,HEATHERBONNYVILLESPCA@GMAIL.COM,,http://www.bonnyvillespca.ca/,clean,no,,,Not found in database
BRITISH COLUMBIA FOUNDATION FOR NON ANIMAL RESEARCH,,CANADA +1,,,GURTON@SPCA.BC.CA,,http://www.bcfnar.org/,clean,no,,,Not found in database
Campbell River Partners for Animal Welfare Society,,CANADA +1,,,CAMPBELLRIVERPAWS@GMAIL.COM,,http://www.crpaws.ca/,clean,no,,,Not found in database
Canadian Abused and Abandoned Animal Protection Society/Caps,,CANADA +1,,,LIBER@TELUS.NET,,,clean,no,,,Not found in database
Canadian Animal Task Force Society,,CANADA +1,,,generalinquiries@cataskforce.org,,http://www.cataskforce.org/,clean,no,,,Not found in database
Canadian Coalition for Farm Animals (CCFA) / Coalition canadienne pour la protection des animaux de ferme (CCPAF),,CANADA +1,,,vicki@humanefood.ca,,http://https//www.humanefood.ca/,clean,no,,,Not found in database
Social Tees Animal Rescue,,US +1,,,contact@socialteesnyc.org,,https://www.socialteesnyc.org/,clean,no,,,Not found in database
Cat's Cradle Animal Rescue,,CANADA +1,,,CCAR@SHAW.CA,,http://www.catscradleanimalrescue.com/,clean,no,,,Not found in database
Centre de services animaliers de Rimouski,,CANADA +1,,,info@csar.ca,,http://www.csar.ca/,clean,no,,,Not found in database
Communauté droit animalier Québec - DAQ,,CANADA +1,,,info@daq.quebec,,http://daq.quebec/,clean,no,,,Not found in database
Community Animal Allies of Niagara,,CANADA +1,,,CAAN-CATMOBILE@HOTMAIL.COM,,http://www.caan-catmobile.org/,clean,no,,,Not found in database
Companion Animal Rescue Effort,,CANADA +1,,,INFO@CARE-CA.ORG,,http://www.care-ca.org/,clean,no,,,Not found in database
Cowichan Valley Animal Rescue Association,,CANADA +1,,,HOPEFUL.HEARTS@HOTMAIL.COME,,http://cvanimalrescue.weebly.com/,clean,no,,,Not found in database
REST.Q ANIMAL SANCTUARY SOCIETY,,CANADA +1,,,INFO@RESTQSANCTUARY.ORG,,http://www.restqsanctuary.org/,clean,no,,,Not found in database
THE WINNIPEG HUMANE SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,,CANADA +1,,,SHAWNEM@WINNIPEGHUMANESOCIETY.CA,,http://www.winnipeghumanesociety.ca/,clean,no,,,Not found in database
CANADIAN ANIMAL ASSISTANCE TEAM (CAAT),,CANADA +1,,,CAAT7@SHAW.CA,,http://www.caat-canada.org/,clean,no,,,Not found in database
CANADIAN ANIMAL RESCUE & EXTENDED SHELTER SOCIETY,,CANADA +1,,,CCBRINER@TELUS.NET,,http://www.carescatshelter.com/,clean,no,,,Not found in database
CANADIAN DISASTER ANIMAL RESPONSE TEAM SOUTHWEST BC SOCIETY,,CANADA +1,,,INFO@CDART.ORG,,http://www.cdart.org/,clean,no,,,Not found in database
CHILLIWACK ANIMAL SAFE HAVEN SOCIETY,,CANADA +1,,,chwkanimalsafehaven@gmail.com,,https://chilliwacksafehaven.com/contact/,clean,no,,,Not found in database
COAST ANIMAL WELFARE & EDUCATION SOCIETY (C.A.W.E.S.),,CANADA +1,,,INFO@CAWES.ORG,,http://cawes.org/,clean,no,,,Not found in database
COMPANION ANIMAL PROTECTION SOCIETY ANNAPOLIS COUNTY,,CANADA +1,,,INFO.CAPS@EASTLINK.CA,,http://www.caps-annapolis.org/,clean,no,,,Not found in database
COMPANION ANIMAL RESOURCES & EDUCATIONAL SERVICES SOCIETY,,CANADA +1,,,RITA@TELUS.NET,,http://caresbc.org/,clean,no,,,Not found in database
Dogs and Cats of the DR Animal Rescue,,CANADA +1,,,info@dogsandcatsdr.com,,http://www.dogsandcatsdr.com/,clean,no,,,Not found in database
Embrace A Discarded Animal Society,,CANADA +1,,,LESLIE.FEE@GMAIL.COM,,http://www.embracesociety.ca/,clean,no,,,Not found in database
EARTHANIMAL HUMANE EDUCATION AND RESCUE SOCIETY,,CANADA +1,,,EARS600@GMAIL.COM,,,clean,no,,,Not found in database
