Name,Address,Lat,Lon,Email,Website,Facebook,Extra1,Extra2
Ass. Oltre i Confini di Specie ODV,"Via Casella 1, 04100 Latina",41.4429143,12.8786886,,https://www.oltreiconfinidispecie.it,,AOICDSO,LT
Borgo Hermada - Terracina,"Strada Migliara 57, 04019 Terracina",41.331232,13.1714663,,,,BH-T,LT
Rifugio LAPA - Cassino,"Via Cimarosa 12, 03043 Cassino",41.4882914,13.834513,,,,RL-C,FR
Hotel Dog - Ceccano,"Via Gaeta 392, 03023 Ceccano",41.6146132,13.3367206,,,,HD-C,FR
Rifugio Le Orme - Ferentino,Ferentino (FR),41.6468944,13.2495815,,https://www.rifugioleorme.altervista.org,,RLO-F,FR
A.N.P.A.N.A. Frosinone,"Via Cavour, 03100 Frosinone",41.641246,13.3515552,,https://www.anpana.it,,ANPA,FR
Ass. Garibaldi - L'Isola che c'è - Vetralla,"Via Cassia 2/c, Cura di Vetralla, 01019 Vetralla",42.3156731,12.0625866,,,,AG-LCC-,VT
World Animal Solidarity Project,,43.5601941,10.3351606,,,,ITAWASP,Global
Contact: nfo,,,,nfo@hawr.co.uk,https://hawr.co.uk/,,OTH2758,
Contact: info,,,,info@rspcadrb.org.uk,https://www.rspca.org.uk/local/doncaster-rotherham-and-district-branch,,OTH2794,
L.I.D.A. - Sezione Chieri,,45.0138842,7.8223544,,,,OTH0010,Chieri (TO)
L.I.D.A. - Tutela Felini Torino,,45.0677551,7.6824892,,,,OTH0002,Torino (TO)
Rifugio Miao,"""Via Cervetti Cesare 22",45.0072629,7.5369192,,,,OTH0040,Orbassano (TO)
"""No Place 2 Go Rescue",US +1,39.019838,16.2032397,,,,OTH0790,"Inc."""
"""Rescue Angels of Southern Maryland",US +1,39.019838,16.2032397,,,,OTH0957,"Inc."""
"""Swan Sanctuary",UK +44,,,,,,OTH2145,"Shepperton"""
Location: address,address,,,,,,OTH2436,
L.I.D.A. - Sezione Cuneo,,,,,,,OTH0011,Cuneo (CN)
L.I.D.A. - Cirié Valli di Lanzo,"""Corso Nazioni Unite 32",,,,,,OTH0001,Cirié (TO)
L.I.D.A. - Sezione Alba-Bra,,,,,,,OTH0003,Bra (CN)
L.I.D.A. - Sezione Carrù-Mondovì-Ceva,,,,,,,OTH0004,Carrù (CN)
L.I.D.A. - Sezione Fossano-Savigliano,,,,,,,OTH0005,Fossano (CN)
L.I.D.A. - Sezione Garessio-Ormea,,,,,,,OTH0006,Garessio (CN)
Gattile di Cuneo (L.I.D.A.),"""Via Barolo 43/a",,,,,,OTH0007,Cuneo (CN)
L.I.D.A. - Sezione Asti,,,,,,,OTH0009,Valfenera (AT)
L.I.D.A. - Sezione Novara,,,,,,,OTH0012,Novara (NO)
L.I.D.A. - Sezione Pinerolo,"""Strada Poirino 101",,,,0121 321904,,OTH0013,Pinerolo (TO)
L.I.D.A. - Sezione Pino Torinese,,,,,,,OTH0014,Pino Torinese (TO)
L.I.D.A. - Sezione Torino,,,,,,,OTH0015,Torino (TO)
La Cuccia - Associazione per la Protezione degli Animali,"""Via Masini 29",,,,,,OTH0016,Galliate (NO)
La Fattoria,"""c/o C.I.B.I. S.a.s.",,,"13100 Vercelli (VC)""",info@canilevercelli.it,,OTH0017,Vercelli (VC)
La Rondine - Ass. di Protezione Animali ONLUS,"""Frazione Loreto",,,"12045 Fossano (CN)""",associazionelarondine@libero.it,,OTH0018,Fossano (CN)
La Scintilla,"""Via per Gozzano 68/A",,,,39 0322 831308,,OTH0019,Borgomanero (NO)
La Vie en Rose,"""Via del Ruata",,,,39 349 397 5981,,OTH0020,Vigone (TO)
RIFUGIO L'ANELLO DI RE SALOMONE,Strada Boschetto 38,,,info@lanellodiresalomone.net,lanellodiresalomone.net,,OTH0021,Piverone (TO)
Le Code Lunghe,"""Via Chiesa della Salute 6/C",,,,39 347 114 4944,,OTH0022,Torino (TO)
Le Sfigatte,,,,,,,OTH0023,Torino (TO)
Lega Animalista Piemontese,"""Frazione Levata",,,"15062 Bosco Marengo (AL)""",lap.alessandria@gmail.com,,OTH0024,Bosco Marengo (AL)
Lega Italiana per la Difesa del Gatto,"""Via Cumiana 27/A",,,,39 011 332000,,OTH0025,Torino (TO)
Maramiao - Associazione di Volontariato a Salvaguardia e Tutela dei Felini,,,,,,,OTH0026,Nizza Monferrato (AT)
Micio Villaggio,"""Strada Comunale della Berlia 106",,,,39 333 469 1199,,OTH0027,Collegno (TO)
Mondo Gatto Torino,"""Corso Quintino Sella 53",,,,39 348 861 9968,,OTH0028,Torino (TO)
Nati Liberi,"""Via Gramsci 6",,,,39 0323 60564,,OTH0029,Casale Corte Cerro (VB)
Nonsolocuccioli,"""Via Borgonuovo 48",,,,39 011 9947545,,OTH0030,Givoletto (TO)
Nonsologatti,"""Via Giulio Monteverde 20",,,,39 335 8232508,,OTH0031,Casale Monferrato (AL)
Oasi degli Animali,"""Via Barbavara 25",,,"28070 Tornaco (NO)""",oasideglianimali2012@gmail.com,,OTH0032,Tornaco (NO)
Parco Animalista,"""Piazza d'Armi",,,"10134 Torino (TO)""",info@parcoanimalistapiazzadarmi.it,,OTH0033,Torino (TO)
Progetto A-mici Animali,"""Corso Unione Sovietica 355",,,,39 349 468 1819,,OTH0034,Torino (TO)
Progetto Miao-Fido ONLUS,"""Via dei Fiori",,,"Trecate""",info@miaofido.it,,OTH0035,Trecate (NO)
Protezione Micio ODV,"""Corso Peschiera 325",,,,39 334 323 1030,,OTH0036,Torino (TO)
Quattro Zampe nel Cuore,"""Via Ottavio Rivetti 25",,,,39 347 531 3855,,OTH0037,Rovasenda (VC)
Rifugio Argo,"""Via Gibbione 24",,,,333.6870056,,OTH0038,Val della Torre (TO)
Rifugio Martini,,,,,,,OTH0039,Arquata Scrivia (AL)
Un Gatto per Amico,,,,,,,OTH0042,Castelletto Sopra Ticino (NO)
Una Casa per Tutti,,,,,,,OTH0043,Torino (TO)
Una Cuccia per la Vita,,,,,,,OTH0044,Tarantasca (CN)
Una Zampa per la Vita,,,,,,,OTH0045,Vicoforte (CN)
"""ARF",AUSTRALIA +61,,,,,,OTH0047,"ACT Rescue and Foster (Canberra)"""
"""AWDRI",AUSTRALIA +61,,,,,,OTH0062,"Australian Working Dog Rescue Int. (Pitt Town)"""
"""ACS",AUSTRALIA +61,,,,,,OTH0079,"Australian Cavy Sanctuary (Brisbane)"""
"""AWLQ",AUSTRALIA +61,,,,,,OTH0085,"Animal Welfare League Queensland (Helensvale Town Centre)"""
"""PAA",AUSTRALIA +61,,,,,,OTH0087,"Peninsula Animal Aid (Margate)"""
"""AWL",AUSTRALIA +61,,,,,,OTH0094,"Animal Welfare League of South Australia (Wingfield)"""
"""BAWCS",AUSTRALIA +61,,,,,,OTH0105,"Bendigo Animal Welfare & Community Services"""
"""VicDRG",AUSTRALIA +61,,,,,,OTH0110,"Victorian Dog Rescue and Resource Group Inc (Elsternwick)"""
"""SAFE Perth",AUSTRALIA +61,,,,,,OTH0125,"Saving Perth Animals from Euthanasia Inc (Joondalup)"""
"""West Suburban Humane Society",US +1,,,,,,OTH0382,"Inc."""
"""SCAT",CANADA +1,,,,,,OTH0383,"Saskatoon Street Cat Rescue"""
"""FRFA",CANADA +1,,,,,,OTH0306,"Feline Rescue Foundation of Alberta (Calgary)"""
"""MEOW",CANADA +1,,,,,,OTH0308,"Make Each One Wanted Foundation (Calgary)"""
"""KAAP",CANADA +1,,,,,,OTH0322,"Kootenay Animal Assistance Program Socierty (Nelson)"""
"""RescueCats",US +1,,,,,,OTH0417,"Inc."""
"""RAPS",CANADA +1,,,,,,OTH0323,"Richmond Animal Protection Society (Richmond)"""
"""S.A.R.A.",CANADA +1,,,,,,OTH0324,"Save Animals Through Rescue and Adoption Society (Surrey)"""
"""VOKRA",CANADA +1,,,,,,OTH0326,"Vancouver Orphan Kitten Rescue Association"""
"""PVHS",CANADA +1,,,,,,OTH0328,"Pembina Valley Humane Society (Morden)"""
"""S.H.A.I.D.",CANADA +1,,,,,,OTH0339,"Sheltering Helpless Animals In Distress (Bridgewater)"""
"""SOAR",CANADA +1,,,,,,OTH0347,"Southern Ontario Animal Rescue (Brampton)"""
"""CDR",CANADA +1,,,,,,OTH0354,"Canadian Dachshund Rescue (Haliburton)"""
"""N.A.R.C",CANADA +1,,,,,,OTH0360,"Navan Animal Rescue Corporation"""
"""B.A.R.K.",CANADA +1,,,,,,OTH0363,"Bytown Association for Rescued Kanines (Ottawa)"""
"""EHS",CANADA +1,,,,,,OTH0372,"Etobicoke Humane Society (Toronto)"""
"""AVA",CANADA +1,,,,,,OTH0375,"Action Volunteers for Animals (Unionville)"""
"""A.R.N.",CANADA +1,,,,,,OTH0379,"Animal Rescue Network (Montreal)"""
"""Laskeys Lucky Ones and Volunteers",US +1,,,,,,OTH0391,"LLOV"""
"""Petzone Dog Rescue",US +1,,,,,,OTH0398,"Inc."""
"""Cedartown Animal Rescue",US +1,,,,,,OTH0402,"Education and Sterilization"""
"""Georgia Canine Rescue and Rehabilitation",US +1,,,,,,OTH0404,"Inc"""
"""Doberman Rescue of Rockdale",US +1,,,,,,OTH0406,"Inc"""
"""Southern Comfort Animal Rescue",US +1,,,,,,OTH0419,"Inc."""
"""Mostly Mutts Animal Rescue and Adoption",US +1,,,,,,OTH0425,"Inc."""
"""Bliss Animal Haven",US +1,,,,,,OTH0426,"Inc"""
"""Safe Hollow Animal Sanctuary",US +1,,,,,,OTH0427,"Inc."""
"""Habitat 4 Hounds",US +1,,,,,,OTH0429,"Inc."""
"""Mutt Madd-ness",US +1,,,,,,OTH0431,"Inc."""
"""Georgia Animal Rescue & Defence",US +1,,,,,,OTH0441,"Inc"""
"""No Kill Glynn County",US +1,,,,,,OTH0448,"Inc."""
"""The Humane Society of Statesboro & Bulloch County",US +1,,,,,,OTH0450,"Inc."""
"""North Georgia Animal Alliance",US +1,,,,,,OTH0464,"Inc."""
"""Second Chance Animal Adoption",US +1,,,,,,OTH0483,"Inc"""
"""Helping Hands Rescue",US +1,,,,,,OTH0490,"Inc."""
"""Happy Jack Cats",US +1,,,,,,OTH0492,"Inc"""
"""POUND PETS",US +1,,,,,,OTH0551,"INC."""
"""Chicagoland Animal Rescue",US +1,,,,,,OTH0596,"NFP"""
"""Barb's Precious Rescue & Adoption Center",US +1,,,,,,OTH0599,"NFP"""
"""Noah's Ark Animal Sanctuary",US +1,,,,,,OTH0609,"Inc."""
"""Animal Rescue Associates",US +1,,,,,,OTH0628,"Inc"""
"""Helping Paws Woodstock",US +1,,,,,,OTH0629,"IL"""
"""Canine Castaways Rescue",US +1,,,,,,OTH0648,"INC"""
"""PurrHaven",US +1,,,,,,OTH0947,"Inc."""
"""P.A.W.S.- Partners for Animal Welfare Society",US +1,,,,,,OTH0651,"Inc."""
"""House Rabbit Society",US +1,,,,,,OTH0659,"Indiana Chapter"""
"""Cause for Paws",US +1,,,,,,OTH0665,"Inc."""
"""Scratching Post Cat Rescue",US +1,,,,,,OTH0688,"Inc"""
"""Indiana GSD & Siberian Husky Rescue",US +1,,,,,,OTH0692,"Inc"""
"""2nd Chance Animal Rescue of Richmond",US +1,,,,,,OTH0693,"Inc"""
"""HELP the Animals",US +1,,,,,,OTH0694,"Inc"""
"""Last Chance Rescue",US +1,,,,,,OTH0695,"Inc"""
"""One Dog at a Time Rescue",US +1,,,,,,OTH0700,"Inc."""
"""Canine Haven Rescue",US +1,,,,,,OTH0701,"Inc"""
"""ALL Creatures Matter Rescue",US +1,,,,,,OTH0703,"Inc."""
"""Animal Rescue of Carroll",US +1,,,,,,OTH0709,"Inc"""
"""PAWS Humane Society (Floyd County",US +1,,,,,,OTH0713,"IA)"""
"""Muddy Paws Second Chance Rescue",US +1,,,,,,OTH0716,"Inc"""
"""Hooves and Paws Rescue of the Heartland",US +1,,,,,,OTH0727,"Inc."""
"""Wichita Pug Rescue",US +1,,,,,,OTH0748,"Inc."""
"""Clay County Animal Rescue & Education Center",US +1,,,,,,OTH0749,"Inc."""
"""Silent Angels Advocate",US +1,,,,,,OTH0757,"Rescue & Shelter"""
"""Prairie Paws Animal Shelter",US +1,,,,,,OTH0763,"Inc."""
"""Wigglebutts Aussie Rescue",US +1,,,,,,OTH0766,"Inc."""
"""Beak N Wings",US +1,,,,,,OTH0768,"Inc."""
"""Beauties and Beasts",US +1,,,,,,OTH0772,"Inc."""
"""Ashland Animal Rescue Fund",US +1,,,,,,OTH0774,"Inc."""
"""Kentucky Kitty Cats",US +1,,,,,,OTH0779,"Inc."""
"""The Arrow Fund",US +1,,,,,,OTH0805,"Inc"""
"""Woodstock Animal Foundation",US +1,,,,,,OTH0806,"Inc"""
"""Hope for All Pets",US +1,,,,,,OTH0816,"Inc. (HAPI)"""
"""SOS",US +1,,,,,,OTH0827,"Save Our Strays"""
"""Avoyelles Animal Welfare Society",US +1,,,,,,OTH0833,"Inc. (AAWS)"""
"""Villalobos Rescue Center - Life 4 Paws",US +1,,,,,,OTH0859,"Inc"""
"""New England Lab Rescue",US +1,,,,,,OTH0888,"Inc."""
"""Animal Orphanage (Old Town",US +1,,,,,,OTH0890,"Maine)"""
"""HART for Animals",US +1,,,,,,OTH0900,"Inc."""
"""Animal Rescue Foundation",US +1,,,,,,OTH0903,"Inc (ARF)"""
"""Wings of Love",US +1,,,,,,OTH0905,"Kuwait"""
"""Randolph Regional Animal Shelter",US +1,,,,,,OTH1296,"NJ"""
"""HOTE - Heart of the Earth Sanctuary and Rescue",US +1,,,,,,OTH0914,"Inc"""
"""Pardoned Paws Rescue",US +1,,,,,,OTH0918,"Inc."""
"""Fallston Animal Rescue Movement",US +1,,,,,,OTH0920,"Inc."""
"""Animal Welfare League of Montgomery County",US +1,,,,,,OTH0921,"MD (AWLMC)"""
"""Friends of Montgomery County Animals",US +1,,,,,,OTH0922,"Inc"""
"""Feral Cat Rescue",US +1,,,,,,OTH0923,"Inc"""
"""So Many Whiskers",US +1,,,,,,OTH0931,"Inc."""
"""Small Angels Rescue",US +1,,,,,,OTH0933,"Inc."""
"""Pets-4-Pets Cat Rescue",US +1,,,,,,OTH0934,"Inc."""
"""The Ark of Hope Rescue",US +1,,,,,,OTH0936,"Inc."""
"""Potomac Stray Cat Rescue",US +1,,,,,,OTH0946,"Inc."""
"""Cat Canton Rescue",US +1,,,,,,OTH0970,"Inc."""
"""Animal Advocates",US +1,,,,,,OTH0972,"Inc. Nonprofit Spay/Neuter Assistance Program."""
"""PittieLove Rescue",US +1,,,,,,OTH0979,"Inc."""
"""Willy's Kitty Angels Rescue",US +1,,,,,,OTH1004,"Inc."""
"""Second Chance Animal Rescue",US +1,,,,,,OTH1006,"Inc. of Martha's Vineyard"""
"""Kitty Angels",US +1,,,,,,OTH1020,"Inc."""
"""Forgotten Angels Shelter",US +1,,,,,,OTH1025,"Inc."""
"""Special Animal Friends and Rescue",US +1,,,,,,OTH1029,"Inc."""
"""Just Cats",US +1,,,,,,OTH1052,"Inc."""
"""HELP US",US +1,,,,,,OTH1057,"HELP THEM Animal Rescue"""
"""TAILS",US +1,,,,,,OTH1066,"Inc."""
"""Malinois and Dutch Shepherd Rescue",US +1,,,,,,OTH1072,"Inc."""
"""Last Day Dog Rescue",US +1,,,,,,OTH1082,"Inc."""
"""Gemini Rottweiler and Pitbull Rescue",US +1,,,,,,OTH1136,"Inc."""
"""Pet Project Rescue - Minneapolis",US +1,,,,,,OTH1139,"MN"""
"""B.A.R.K",US +1,,,,,,OTH1151,"Being Advocates for Rescued K9's"""
"""Shaw Pit Bull Rescue",US +1,,,,,,OTH1155,"Inc"""
"""Adopt-A-Dog Animal Rescue",US +1,,,,,,OTH1232,"Inc."""
"""ONe Love Animal rescue Group",US +1,,,,,,OTH1264,"Inc."""
"""New Jersey Schnauzer Rescue Network",US +1,,,,,,OTH1276,"Inc"""
"""Animals in Distress",US +1,,,,,,OTH1279,"Inc."""
"""Cattitude",US +1,,,,,,OTH1280,"Inc"""
"""Because You Care",US +1,,,,,,OTH1577,"Inc"""
"""Furrever Friends Rescue & Volunteers",US +1,,,,,,OTH1306,"Inc."""
"""Finger Lakes SPCA",US +1,,,,,,OTH1330,"Inc."""
"""SPCA Westchester",US +1,,,,,,OTH1334,"Inc."""
"""Hope For Cats",US +1,,,,,,OTH1338,"Inc."""
"""HEART Animal Rescue and Adoption Team",US +1,,,,,,OTH1356,"Inc."""
"""Golden Paw Society",US +1,,,,,,OTH1360,"Inc"""
"""Small Companion Advocacy Team",US +1,,,,,,OTH1364,"Inc"""
"""WAYWARD PAWS",US +1,,,,,,OTH1374,"Inc."""
"""Heart and Hand Society",US +1,,,,,,OTH1376,"Inc."""
"""The SPCA Serving Erie County",US +1,,,,,,OTH1401,"NY"""
"""Precious Paws",US +1,,,,,,OTH1402,"Inc."""
"""Warwick Valley Humane Society",US +1,,,,,,OTH1403,"Inc."""
"""A Purr-fect Fit Animal Rescue & Adoption Center",US +1,,,,,,OTH1407,"Inc."""
"""Triad Golden Retriever Rescue",US +1,,,,,,OTH1428,"Inc. (TGRR)"""
"""Godbey Creek Canine Rescue",US +1,,,,,,OTH1434,"Inc."""
"""FUR of WNC """"Guardians of displaced felines"""" (Haywood County",US +1,,,,,,OTH1452,"NC)"""
"""Sarge's Animal Rescue Foundation",US +1,,,,,,OTH1453,"Inc."""
"""Furry Friends Rockin' Rescue",US +1,,,,,,OTH1458,"Inc. - Bismarck Mandan"""
"""Cat House Feline Sanctuary",US +1,,,,,,OTH1466,"Inc"""
"""Teddy's Rescue",US +1,,,,,,OTH1484,"Inc."""
"""Stop The Overpopulation of Pets",US +1,,,,,,OTH1488,"Inc."""
"""Champaign County Animal Welfare League",US +1,,,,,,OTH1490,"CCAWL"""
"""Kitten Krazy",US +1,,,,,,OTH1491,"Inc."""
"""Stay-A-While Cat Shelter",US +1,,,,,,OTH1493,"Inc."""
"""A-Parrot to A-Flamingo",US +1,,,,,,OTH1495,"Inc. Parrot Rescue"""
Thecatsite.com,,,,support@thecatsite.com,https://www.facebook.com/TheCatSite/,,OTH1519,
"""Oklahoma Alliance for Animals",US +1,,,,,,OTH1528,"Inc."""
"""Partnering for Pets",US +1,,,,,,OTH1530,"Inc."""
"""Kiski Valley Cat & Kitten Rescue",US +1,,,,,,OTH1535,"Inc"""
"""C.A.T.S. Bridge To Rescue",US +1,,,,,,OTH1536,"Inc"""
"""Forgotten Felines & Fidos",US +1,,,,,,OTH1561,"Inc."""
"""Humane Society of Harrisburg Area",US +1,,,,,,OTH1566,"Inc."""
"""One By One",US +1,,,,,,OTH1570,"Inc."""
"""Heavenly Paws Animal Rescue",US +1,,,,,,OTH1593,"Inc."""
"""Best Friends of Baker",US +1,,,,,,OTH1615,"Inc"""
"""PAWS Animal Shelter",US +1,,,,,,OTH1647,"a division of NW Oregon Animal Alliance"""
"""Rescue the Animals",US +1,,,,,,OTH1648,"SPCA"""
"""House Rabbit Resource Network",US +1,,,,,,OTH1653,"Inc."""
"""P.A.L.S",US +1,,,,,,OTH1666,"Pets and Animals Life Shelter"""
"""Humane Society of Dallas",US +1,,,,,,OTH1669,"aka Dog n Kitty City"""
"""S.T.A.A.R.",US +1,,,,,,OTH1700,"South Texas Animal Adoption Resource"""
"""Kaufman County Cats",US +1,,,,,,OTH1701,"Inc."""
"""Humane Society of the New Braunfels Area",US +1,,,,,,OTH1716,"Inc"""
"""Hardeman Adoptable Animals",US +1,,,,,,OTH1742,"Inc"""
"""Ark of Cleveland",US +1,,,,,,OTH1751,"Inc."""
"""Woonsocket Cat Sanctuary",US +1,,,,,,OTH1794,"Inc."""
"""Save Our Strays (Birmingham",US +1,,,,,,OTH1835,"Alabama)"""
"""Pets Are Worth Saving",US +1,,,,,,OTH1846,"Inc."""
"""Wags and Whiskers Mobile",US +1,,,,,,OTH1847,"Al."""
"""Rockin P Rescue",US +1,,,,,,OTH1857,"Inc."""
"""Brindlee Mountain Animal Rescue",US +1,,,,,,OTH1858,"Inc."""
"""New Hope Rescue",US +1,,,,,,OTH1868,"Inc"""
"""ASHR - Alabama Siberian Husky Rescue",US +1,,,,,,OTH1873,"Inc."""
"""The Shire Rescue & Sanctuary",US +1,,,,,,OTH1874,"Inc."""
"""Challenger's House",US +1,,,,,,OTH1876,"Inc."""
"""Underdog Animal Rescue and Rehab-Moab",US +1,,,,,,OTH1881,"Utah"""
"""The Animal Rescue and Protection Society",US +1,,,,,,OTH1887,"Inc. (TARPS)"""
"""Homeward Bound",US +1,,,,,,OTH1888,"Addison County’s Humane Society"""
"""Til the End of Time Sanctuary",US +1,,,,,,OTH1898,"Inc."""
"""Metro Ferals",US +1,,,,,,OTH1901,"Inc."""
"""Cat Adoption and Rescue Efforts",US +1,,,,,,OTH1920,"Inc. (C.A.R.E.)"""
"""Feline Foundation of Greater Washington",US +1,,,,,,OTH1927,"Inc."""
"""Hope For Life Rescue",US +1,,,,,,OTH1947,"Inc"""
"""Adopt-A-Pet of Shelton",US +1,,,,,,OTH1993,"Washington"""
"""Wags to Riches Animal Rescue and Sanctuary",US +1,,,,,,OTH2000,"Inc"""
"""Purr-Fect Match Animal Rescue",US +1,,,,,,OTH2019,"Inc."""
"""Lakeshore Humane Society",US +1,,,,,,OTH2025,"Inc."""
"""Little Orphan's Animal Rescue",US +1,,,,,,OTH2035,"Inc."""
"""Columbia County Humane Society Portage",US +1,,,,,,OTH2042,"Wisconsin"""
"""Feline/Canine Friends",US +1,,,,,,OTH2054,"Inc."""
"""Community Cat",US +1,,,,,,OTH2055,"Inc."""
"""Almost Heaven Golden Retriever Rescue and Sanctuary",US +1,,,,,,OTH2063,"Inc. (AHGRRS)"""
"""P.U.R.R. West Virginia",US +1,,,,,,OTH2065,"People United for Rescue & Rehabilitation"""
"""Olive Branch Animal Rescue & Refuge",US +1,,,,,,OTH2072,"Inc."""
"""Pet Pals",US +1,,,,,,OTH2077,"Inc"""
"""Santuario de Animales San Francisco de Asís",US +1,,,,,,OTH2082,"Inc."""
"""Brooke - London",UK +44,,,,,,OTH2084,"UK"""
"""Brooke - Amsterdam",UK +44,,,,,,OTH2085,"Holland"""
"""Brooke - Lahore",UK +44,,,,,,OTH2086,"Pakistan"""
"""Brooke - Dakar",UK +44,,,,,,OTH2087,"Senegal"""
"""Brooke - Kentucky",UK +44,,,,,,OTH2090,"USA"""
"""World Animal Protection - Chislehurst",UK +44,,,,,,OTH2093,"Regno Unito"""
"""World Animal Protection - Nairobi",UK +44,,,,,,OTH2094,"Kenya"""
"""World Animal Protection - NSW",UK +44,,,,,,OTH2095,"Australia"""
"""World Animal Protection - Toronto",UK +44,,,,,,OTH2096,"Canada"""
"""World Animal Protection - Beijing",UK +44,,,,,,OTH2097,"China"""
"""World Animal Protection - Copenaghen",UK +44,,,,,,OTH2098,"Denmark"""
"""World Animal Protection - New Delhi",UK +44,,,,,,OTH2099,"India"""
"""World Animal Protection - Den Haag",UK +44,,,,,,OTH2100,"Holland"""
RCVS Knowledge,,,,,,,OTH2169,
"""Cats Protection - Crawley",UK +44,,,,,,OTH2200,"Reigate & District"""
"""TVAW",UK +44,,,,,,OTH2246,"Thames Valley Animal Welfare (Wycombe)"""
"""Wood Green",UK +44,,,,,,OTH2247,"The Animals Charity (Godmanchester)"""
"""NASSL",UK +44,,,,,,OTH2269,"National Animal Sanctuaries Support League (Newton Aycliffe)"""
"""C.H.A.T",UK +44,,,,,,OTH2271,"Celia Hammond Animal Trust (Hastings)"""
"""GAR",UK +44,,,,,,OTH2282,"Greek Animal Rescue (Hendon)"""
"""GSDR",UK +44,,,,,,OTH2292,"German Shepherd Dog Rescue (Marden)"""
"""SEDR",UK +44,,,,,,OTH2302,"South East Dog Rescue (Swanley)"""
"""B.A.R.K.",UK +44,,,,,,OTH2327,"Berwick Animal Rescue Kennels"""
"""Whitby & Scarborough",UK +44,,,,,,OTH2331,"Dog Rescue"""
"""B.A.R.K.S",UK +44,,,,,,OTH2337,"Banbury Animal Rescue and Kindness Service"""
"""Lurcher SOS",UK +44,,,,,,OTH2348,"Lurcher and Greyhound Rescue (Esher)"""
"""STAR",UK +44,,,,,,OTH2355,"Starlight Trust Animal Rescue (Wallington)"""
"""AVAR",UK +44,,,,,,OTH2368,"Aldridge Voluntary Animal Rescue"""
"""BADAW",UK +44,,,,,,OTH2378,"Barnsley and District Animal Welfare"""
"""BARC",UK +44,,,,,,OTH2379,"Barnsley Animal Rescue Charity"""
"""SPCA  Kaitaia",NEW ZELAND +64,,,,,,OTH2401,"New Zeland"""
"""SPCA Whangarei",NEW ZELAND +64,,,,,,OTH2402,"New Zeland"""
"""SPCA Auckland",NEW ZELAND +64,,,,,,OTH2403,"New Zeland"""
"""SPCA Hamilton",NEW ZELAND +64,,,,,,OTH2404,"New Zealand"""
"""SPCA Rotorua",NEW ZELAND +64,,,,,,OTH2405,"New Zealand"""
"""SPCA New Plymouth",NEW ZELAND +64,,,,,,OTH2406,"New Zealand"""
"""SPCA Taumarunui",NEW ZELAND +64,,,,,,OTH2407,"New Zealand"""
"""SPCA Waipukurau",NEW ZELAND +64,,,,,,OTH2408,"New Zealand"""
